房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
B座613,72.75,83565.00,38.40,158316.50,6079353.75,在售,办公
B座612,56.85,77834.00,30.01,147446.28,4424862.90,在售,办公
B座611,54.46,87652.00,28.75,166035.75,4773527.92,在售,办公
B座610,61.23,80199.00,32.33,151889.41,4910584.77,在售,办公
B座609,79.75,78544.00,42.10,148785.84,6263884.00,在售,办公
B座608,116.57,80987.00,61.54,153406.80,9440654.59,在售,办公
B座607,166.92,79887.00,88.12,151324.76,13334738.04,在售,办公
B座606,177.82,78223.00,93.87,148179.54,13909613.86,在售,办公
B座2810,157.77,105196.00,111.50,148851.00,16596886.00,在售,办公
B座2809,147.94,104171.00,104.55,147403.00,15411057.00,在售,办公
B座2808,252.91,103000.00,178.74,145740.00,26049730.00,在售,办公
B座2807,298.59,96989.00,211.02,137237.00,28959945.00,在售,办公
B座2806,303.08,103145.00,214.20,145943.00,31261186.00,在售,办公
B座2805,157.77,104685.00,111.50,148126.00,16516152.00,在售,办公
B座2804,151.86,105930.00,107.33,149879.00,16086529.00,在售,办公
B座2803,291.57,105711.00,206.06,149578.00,30822156.00,在售,办公
B座2802,129.05,102926.00,91.20,145642.00,13282600.00,在售,办公
B座2801,340.52,100360.00,240.66,142003.00,34174587.00,在售,办公
B座2710,157.72,51709.00,111.50,73143.88,8155543.48,在售,办公
B座2709,149.38,51565.00,105.60,72942.98,7702779.70,在售,办公
B座2708,252.83,51942.00,178.74,73472.61,13132495.86,在售,办公
B座2707,300.44,50578.00,212.40,71542.62,15195654.32,在售,办公
B座2706,302.99,46000.00,214.20,65067.00,13937540.00,在售,办公
B座2705,157.72,51812.00,111.50,73289.58,8171788.64,在售,办公
B座2704,153.42,52253.00,108.46,73913.47,8016655.26,在售,办公
B座2703,291.48,53154.00,206.06,75188.43,15493327.92,在售,办公
B座2702,129.01,50251.00,91.20,71084.22,6482881.51,在售,办公
B座2701,340.89,51813.00,240.99,73291.56,17662533.57,在售,办公
B座2610,157.68,51509.00,111.50,72842.50,8121939.12,在售,办公
B座2609,150.70,51365.00,106.57,72634.93,7740705.50,在售,办公
B座2608,252.76,51742.00,178.74,73169.45,13078307.92,在售,办公
B座2607,302.21,50378.00,213.70,71243.49,15224735.38,在售,办公
B座2606,302.91,54834.00,214.20,77543.26,16609766.94,在售,办公
B座2605,157.68,51612.00,111.50,72988.16,8138180.16,在售,办公
B座2604,154.85,52053.00,109.50,73611.02,8060407.05,在售,办公
B座2603,291.40,52954.00,206.06,74884.96,15430795.60,在售,办公
B座2602,128.97,50051.00,91.20,70779.35,6455077.47,在售,办公
B座2601,341.31,29982.00,241.35,42401.00,10233481.00,在售,办公
B座2510,157.64,51309.00,111.50,72541.26,8088350.76,在售,办公
B座2509,151.92,51165.00,107.46,72333.76,7772986.80,在售,办公
B座2508,252.70,51542.00,178.74,72869.32,13024663.40,在售,办公
B座2507,303.90,50178.00,214.96,70939.21,15249094.20,在售,办公
B座2506,302.83,54634.00,214.20,77240.02,16544814.22,在售,办公
B座2505,157.64,51412.00,111.50,72686.88,8104587.68,在售,办公
B座2504,156.18,51853.00,110.47,73308.60,8098401.54,在售,办公
B座2503,291.33,52754.00,206.06,74584.21,15368822.82,在售,办公
B座2502,128.94,49851.00,91.20,70480.13,6427787.94,在售,办公
B座2501,341.80,51413.00,241.76,72687.63,17572963.40,在售,办公
B座2410,157.60,51109.00,111.50,72240.16,8054778.40,在售,办公
B座2409,153.04,50965.00,108.27,72039.19,7799683.60,在售,办公
B座2408,252.63,42948.19,178.74,60702.00,10850001.00,在售,办公
B座2407,305.53,40995.90,216.16,57945.00,12525477.00,在售,办公
B座2406,302.76,54434.00,214.20,76939.48,16480437.84,在售,办公
B座2405,157.60,51212.00,111.50,72385.75,8071011.20,在售,办公
B座2404,157.40,51653.00,111.36,73008.10,8130182.20,在售,办公
B座2403,291.25,44600.00,206.06,63038.00,12989750.00,在售,办公
B座2402,128.91,49651.00,91.20,70181.03,6400510.41,在售,办公
B座2401,342.35,42366.47,242.21,59882.00,14504161.00,在售,办公
B座2310,157.56,50909.00,111.50,71939.21,8021222.04,在售,办公
B座2309,154.06,50765.00,109.02,71737.80,7820855.90,在售,办公
B座2308,252.57,51142.00,178.74,72266.61,12916934.94,在售,办公
B座2307,307.09,41737.92,217.32,58978.00,12817297.00,在售,办公
B座2306,302.69,45175.12,214.20,63837.00,13674057.00,在售,办公
B座2305,157.56,51012.00,111.50,72084.75,8037450.72,在售,办公
B座2304,157.56,51453.00,111.50,72707.93,8106934.68,在售,办公
B座2303,292.14,52354.00,206.74,73980.35,15294697.56,在售,办公
B座2302,128.88,49451.00,91.20,69882.07,6373244.88,在售,办公
B座2301,342.97,43136.75,242.71,60955.00,14794611.00,在售,办公
B座2210,157.53,50709.00,111.50,71642.94,7988188.77,在售,办公
B座2209,154.98,50565.00,109.70,71436.31,7836563.70,在售,办公
B座2208,252.52,50942.00,178.74,71969.75,12863873.84,在售,办公
B座2207,308.59,49578.00,218.43,70042.00,15299275.02,在售,办公
B座2206,302.62,54034.00,214.20,76338.79,16351769.08,在售,办公
B座2205,157.53,50812.00,111.50,71788.46,8004414.36,在售,办公
B座2204,157.53,51253.00,111.50,72411.52,8073885.09,在售,办公
B座2203,293.13,52154.00,207.49,73680.18,15287902.02,在售,办公
B座2202,128.85,49251.00,91.20,69583.23,6345991.35,在售,办公
B座2201,343.66,50813.00,243.25,71787.85,17462395.58,在售,办公
B座2110,156.53,50509.00,110.50,71549.08,7906173.77,在售,办公
B座2109,154.83,50365.00,109.30,71345.04,7798012.95,在售,办公
