房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
2309,400.34,29203.00,324.25,36055.91,11691129.02,在售,未销售
2308,159.61,29879.00,129.27,36891.67,4768987.19,在售,未销售
2307,165.67,31073.00,134.10,38388.24,5147863.91,在售,未销售
2306,156.23,31179.00,126.46,38518.86,4871095.17,在售,未销售
2305,401.37,31187.00,325.65,38438.58,12517526.19,在售,未销售
2304,200.11,31882.00,162.36,39294.82,6379907.02,在售,未销售
2303,70.93,30590.00,57.55,37701.97,2169748.70,在售,未销售
2302,105.24,30511.00,85.39,37603.67,3210977.64,在售,未销售
2301,227.20,31319.00,184.34,38600.82,7115676.80,在售,未销售
2209,400.34,29073.00,324.25,35895.40,11639084.82,在售,未销售
2208,159.61,29749.00,129.27,36731.16,4748237.89,在售,未销售
2207,165.67,30944.00,134.10,38228.87,5126492.48,在售,未销售
2206,156.23,31049.00,126.46,38358.25,4850785.27,在售,未销售
2205,401.37,31057.00,325.65,38278.36,12465348.09,在售,未销售
2204,200.11,31752.00,162.36,39134.59,6353892.72,在售,未销售
2203,70.93,30460.00,57.55,37541.75,2160527.80,在售,未销售
2202,105.24,30382.00,85.39,37444.68,3197401.68,在售,未销售
2201,227.20,31190.00,184.34,38441.83,7086368.00,在售,未销售
2109,400.34,28944.00,324.25,35736.13,11587440.96,在售,未销售
2108,159.61,29619.00,129.27,36570.65,4727488.59,在售,未销售
2107,165.67,30814.00,134.10,38068.27,5104955.38,在售,未销售
2106,156.23,30919.00,126.46,38197.65,4830475.37,在售,未销售
2105,401.37,30927.00,325.65,38118.13,12413169.99,在售,未销售
2104,200.11,31622.00,162.36,38974.36,6327878.42,在售,未销售
2103,70.93,30330.00,57.55,37381.52,2151306.90,在售,未销售
2102,105.24,30252.00,85.39,37284.46,3183720.48,在售,未销售
2101,227.20,31060.00,184.34,38281.61,7056832.00,在售,未销售
2009,400.34,28814.00,324.25,35575.62,11535396.76,在售,未销售
2008,159.61,29490.00,129.27,36411.37,4706898.90,在售,未销售
2007,165.67,30684.00,134.10,37907.66,5083418.28,在售,未销售
2006,156.23,30790.00,126.46,38038.28,4810321.70,在售,未销售
2005,401.37,30798.00,325.65,37959.13,12361393.26,在售,未销售
2004,200.11,31492.00,162.36,38814.14,6301864.12,在售,未销售
2003,70.93,30200.00,57.55,37221.30,2142086.00,在售,未销售
2002,105.24,30122.00,85.39,37124.24,3170039.28,在售,未销售
