房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
C3单元4502,220.17,40461.00,161.63,55115.37,8908298.37,在售,商业性办公
C3单元4501,207.31,42315.00,152.19,57640.59,8772322.65,在售,商业性办公
C3单元4402,220.17,35041.00,161.63,47732.33,7714976.97,在售,商业性办公
C3单元4401,207.31,36395.00,152.19,49576.49,7545047.45,在售,商业性办公
C3单元4302,220.17,35321.00,161.63,48113.74,7776624.57,在售,商业性办公
C3单元4301,207.31,36675.00,152.19,49957.90,7603094.25,在售,商业性办公
C3单元4202,220.17,35301.00,161.63,48086.50,7772221.17,在售,商业性办公
C3单元4201,207.31,36655.00,152.19,49930.66,7598948.05,在售,商业性办公
C3单元4102,220.17,35281.00,161.63,48059.25,7767817.77,在售,商业性办公
C3单元4101,207.31,36635.00,152.19,49903.42,7594801.85,在售,商业性办公
C3单元4002,220.17,35761.00,161.63,48713.10,7873499.37,在售,商业性办公
C3单元4001,207.31,37115.00,152.19,50557.26,7694310.65,在售,商业性办公
C3单元3902,220.17,35741.00,161.63,48685.86,7869095.97,在售,商业性办公
C3单元3901,207.31,37095.00,152.19,50530.02,7690164.45,在售,商业性办公
C3单元3802,220.17,35721.00,161.63,48658.61,7864692.57,在售,商业性办公
C3单元3801,207.31,37075.00,152.19,50502.78,7686018.25,在售,商业性办公
C3单元3702,220.17,35701.00,161.63,48631.37,7860289.17,在售,商业性办公
C3单元3701,207.31,37055.00,152.19,50475.53,7681872.05,在售,商业性办公
C3单元3602,220.17,36581.00,161.63,49830.09,8054038.77,在售,商业性办公
C3单元3601,207.31,37035.00,152.19,50448.29,7677725.85,在售,商业性办公
C3单元3502,220.17,37221.00,161.63,50701.89,8194947.57,在售,商业性办公
C3单元3501,207.31,38375.00,152.19,52273.61,7955521.25,在售,商业性办公
C3单元3402,220.17,36861.00,161.63,50211.51,8115686.37,在售,商业性办公
C3单元3401,207.31,38015.00,152.19,51783.22,7880889.65,在售,商业性办公
C3单元3302,220.17,37101.00,161.63,50538.43,8168527.17,在售,商业性办公
C3单元3301,207.31,38255.00,152.19,52110.15,7930644.05,在售,商业性办公
C3单元3202,220.17,37341.00,161.63,50865.35,8221367.97,在售,商业性办公
C3单元3201,207.31,38495.00,152.19,52437.07,7980398.45,在售,商业性办公
C3单元3002,213.64,37431.00,156.68,51038.79,7996758.84,在售,商业性办公
C3单元3001,200.79,38585.00,147.26,52610.90,7747482.15,在售,商业性办公
C3单元2902,220.03,36921.00,161.52,50295.49,8123727.63,在售,商业性办公
C3单元2901,207.19,38075.00,152.10,51865.60,7888759.25,在售,商业性办公
C3单元2802,220.03,36861.00,161.52,50213.75,8110525.83,在售,商业性办公
C3单元2801,207.19,38015.00,152.10,51783.87,7876327.85,在售,商业性办公
C3单元2702,220.03,36801.00,161.52,50132.02,8097324.03,在售,商业性办公
C3单元2701,207.19,37955.00,152.10,51702.14,7863896.45,在售,商业性办公
C3单元2602,220.03,36741.00,161.52,50050.28,8084122.23,在售,商业性办公
C3单元2601,207.19,37895.00,152.10,51620.41,7851465.05,在售,商业性办公
C3单元2502,220.03,36681.00,161.52,49968.55,8070920.43,在售,商业性办公
C3单元2501,207.19,37835.00,152.10,51538.68,7839033.65,在售,商业性办公
C3单元2402,220.03,35721.00,161.52,48660.79,7859691.63,在售,商业性办公
C3单元2401,207.19,37475.00,152.10,51048.29,7764445.25,在售,商业性办公
C3单元2302,220.03,35661.00,161.52,48579.06,7846489.83,在售,商业性办公
C3单元2301,207.19,37415.00,152.10,50966.56,7752013.85,在售,商业性办公
C3单元2202,220.03,35601.00,161.52,48497.32,7833288.03,在售,商业性办公
C3单元2201,207.19,37355.00,152.10,50884.82,7739582.45,在售,商业性办公
C3单元2102,220.03,35541.00,161.52,48415.59,7820086.23,在售,商业性办公
C3单元2101,207.19,37295.00,152.10,50803.09,7727151.05,在售,商业性办公
C3单元2002,220.03,35481.00,161.52,48333.85,7806884.43,在售,商业性办公
C3单元2001,207.19,37235.00,152.10,50721.36,7714719.65,在售,商业性办公
C3单元1902,220.03,35421.00,161.52,48252.12,
