房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
3栋606,57.81,61895.00,35.37,101163.00,3578150.00,在售,商业
3栋605,64.43,61895.00,39.42,101164.00,3987895.00,在售,商业
3栋604,96.53,61895.00,59.06,101164.00,5974724.00,在售,商业
3栋603,53.97,61895.00,33.02,101165.00,3340473.00,在售,商业
3栋602,63.71,61895.00,38.98,101163.00,3943330.00,在售,商业
3栋601,40.49,61895.00,24.77,101176.00,2506129.00,在售,商业
3栋506,57.80,61895.00,35.37,101146.00,3577531.00,在售,商业
3栋505,64.42,61895.00,39.42,101149.00,3987276.00,在售,商业
3栋504,96.52,61895.00,59.06,101153.00,5974105.00,在售,商业
3栋503,53.96,61895.00,33.02,101146.00,3339854.00,在售,商业
3栋502,63.70,61895.00,38.98,101147.00,3942712.00,在售,商业
3栋501,40.49,61895.00,24.77,101176.00,2506129.00,在售,商业
3栋406,57.80,61895.00,35.37,101146.00,3577531.00,在售,商业
3栋405,64.42,61895.00,39.42,101149.00,3987276.00,在售,商业
3栋404,96.52,61895.00,59.06,101153.00,5974105.00,在售,商业
3栋403,53.96,61895.00,33.02,101146.00,3339854.00,在售,商业
3栋402,63.70,61895.00,38.98,101147.00,3942712.00,在售,商业
3栋401,40.49,61895.00,24.77,101176.00,2506129.00,在售,商业
3栋306,57.80,61895.00,35.37,101146.00,3577531.00,在售,商业
3栋305,64.42,61895.00,39.42,101149.00,3987276.00,在售,商业
3栋304,96.52,61895.00,59.06,101153.00,5974105.00,在售,商业
3栋303,53.96,61895.00,33.02,101146.00,3339854.00,在售,商业
3栋302,63.70,61895.00,38.98,101147.00,3942712.00,在售,商业
3栋301,40.49,61895.00,24.77,101176.00,2506129.00,在售,商业
3栋203,103.73,61895.00,59.91,107167.00,6420368.00,在售,商业
3栋103,19.70,158900.00,13.56,230850.00,3130330.00,在售,商业
2栋124,39.89,158900.00,38.69,163828.00,6338521.00,在售,商业
2栋123,64.04,158900.00,62.11,163838.00,10175956.00,在售,商业
2栋122,34.81,158900.00,33.76,163842.00,5531309.00,在售,商业
2栋121,38.93,158900.00,37.75,163867.00,6185977.00,在售,商业
2栋120,76.69,158900.00,74.38,163835.00,12186041.00,在售,商业
2栋119,62.19,158900.00,60.31,163853.00,9881991.00,在售,商业
2栋118,46.68,158900.00,45.27,163849.00,7417452.00,在售,商业
2栋117,46.71,158900.00,45.30,163846.00,7422219.00,在售,商业
2栋116,79.21,158900.00,76.82,163844.00,12586469.00,在售,商业
2栋115,72.25,158900.00,70.07,163844.00,11480525.00,在售,商业
2栋114,45.77,158900.00,44.38,163877.00,7272853.00,在售,商业
2栋113,53.72,158900.00,52.10,163841.00,8536108.00,在售,商业
2栋112,51.76,158900.00,50.20,163838.00,8224664.00,在售,商业
2栋111,64.12,158900.00,62.18,163858.00,10188668.00,在售,商业
2栋110,64.74,158900.00,62.79,163835.00,10287186.00,在售,商业
2栋109,90.82,158900.00,88.07,163862.00,14431298.00,在售,商业
2栋108,87.05,158900.00,84.43,163831.00,13832245.00,在售,商业
2栋107,45.46,158900.00,44.08,163875.00,7223594.00,在售,商业
2栋106,38.32,158900.00,37.16,163860.00,6089048.00,在售,商业
2栋105,54.48,158900.00,52.83,163863.00,8656872.00,在售,商业
2栋104,53.42,158900.00,51.81,163838.00,8488438.00,在售,商业
2栋103,43.48,158900.00,42.17,163836.00,6908972.00,在售,商业
2栋102,24.20,158900.00,23.47,163842.00,3845380.00,在售,商业
2栋101,47.85,158900.00,46.41,163830.00,7603365.00,在售,商业
3栋18F,48.78,57765.00,30.84,91368.00,2817777.00,在售,公寓
3栋18E,56.94,57165.00,35.99,90441.00,3254975.00,在售,公寓
3栋18D,69.12,61065.00,43.69,96608.00,4220813.00,在售,公寓
3栋18C,53.04,56715.00,33.53,89716.00,3008164.00,在售,公寓
3栋18B,62.21,58215.00,39.33,92081.00,3621555.00,在售,公寓
3栋18A,57.12,58215.00,36.11,92086.00,3325241.00,在售,公寓
3栋17F,48.78,57685.00,30.84,91241.00,2813874.00,在售,公寓
3栋17E,56.94,57085.00,35.99,90315.00,3250420.00,在售,公寓
3栋17D,69.12,60985.00,43.69,96482.00,4215283.00,在售,公寓
3栋17C,53.04,56635.00,33.53,89589.00,3003920.00,在售,公寓
3栋17B,62.21,58135.00,39.33,91955.00,3616578.00,在售,公寓
3栋17A,57.12,58135.00,36.11,91960.00,3320671.00,在售,公寓
3栋16F,48.78,57605.00,30.84,91115.00,2809972.00,在售,公寓
3栋16E,56.94,57005.00,35.99,90188.00,3245865.00,在售,公寓
3栋16D,69.12,60905.00,43.69,96355.00,4209754.00,在售,公寓
