房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
商业46,68.70,100000.00,66.67,103044.84,6870000.00,在售,商业
商业44,64.56,100000.00,62.65,103048.68,6456000.00,在售,商业
商业43,97.82,100000.00,94.93,103044.34,9782000.00,在售,商业
商业42,74.27,100000.00,72.08,103038.29,7427000.00,在售,商业
商业41,135.32,100000.00,131.32,103045.99,13532000.00,在售,商业
商业40,47.31,100000.00,45.91,103049.44,4731000.00,在售,商业
商业39,59.07,100000.00,57.32,103053.03,5907000.00,在售,商业
商业38,55.20,100000.00,53.57,103042.74,5520000.00,在售,商业
商业37,52.69,100000.00,51.13,103051.04,5269000.00,在售,商业
商业36,52.69,100000.00,51.13,103051.04,5269000.00,在售,商业
商业35,52.69,100000.00,51.13,103051.04,5269000.00,在售,商业
商业34,52.69,100000.00,51.13,103051.04,5269000.00,在售,商业
商业33,52.69,100000.00,51.13,103051.04,5269000.00,在售,商业
商业32,52.69,100000.00,51.13,103051.04,5269000.00,在售,商业
商业31,52.69,100000.00,51.13,103051.04,5269000.00,在售,商业
商业30,52.69,100000.00,51.13,103051.04,5269000.00,在售,商业
商业29,52.69,100000.00,51.13,103051.04,5269000.00,在售,商业
商业28,52.69,100000.00,51.13,103051.04,5269000.00,在售,商业
商业27,52.69,100000.00,51.13,103051.04,5269000.00,在售,商业
商业26,52.68,100000.00,51.13,103031.48,5268000.00,在售,商业
商业25,47.34,100000.00,45.94,103047.45,4734000.00,在售,商业
商业24,54.30,100000.00,52.69,103055.60,5430000.00,在售,商业
商业23,71.38,100000.00,69.28,103031.17,7138000.00,在售,商业
商业22,74.28,100000.00,72.09,103037.86,7428000.00,在售,商业
商业21,55.20,100000.00,53.57,103042.74,5520000.00,在售,商业
商业20,52.69,100000.00,51.13,103051.04,5269000.00,在售,商业
商业19,52.68,100000.00,51.13,103031.48,5268000.00,在售,商业
商业18,71.64,100000.00,69.53,103034.66,7164000.00,在售,商业
商业17,78.35,100000.00,76.03,103051.42,7835000.00,在售,商业
商业16,51.88,100000.00,50.35,103038.72,5188000.00,在售,商业
商业15,43.73,100000.00,42.44,103039.58,4373000.00,在售,商业
商业14,67.90,100000.00,65.89,103050.53,6790000.00,在售,商业
商业13,73.39,100000.00,71.23,103032.43,7339000.00,在售,商业
商业12,70.90,100000.00,68.80,103052.32,7090000.00,在售,商业
商业11,45.46,100000.00,44.12,103037.17,4546000.00,在售,商业
