房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
5栋-102,160.22,58800.00,156.83,60071.00,9420936.00,在售,商业
5栋-101,230.74,58800.00,225.86,60070.45,13567512.00,在售,商业
5栋-2207,67.75,42922.00,45.92,63326.77,2907965.50,在售,单身宿舍
5栋-2206,67.75,43022.00,45.92,63474.31,2914740.50,在售,单身宿舍
5栋-2205,67.66,41372.00,45.86,61038.58,2799229.52,在售,单身宿舍
5栋-2204,45.65,40322.00,30.94,59492.54,1840699.30,在售,单身宿舍
5栋-2203,54.43,40322.00,36.89,59493.80,2194726.46,在售,单身宿舍
5栋-2202,45.74,40322.00,31.00,59494.46,1844328.28,在售,单身宿舍
5栋-2201,67.66,40372.00,45.86,59563.22,2731569.52,在售,单身宿舍
5栋-2113,62.07,36072.00,45.86,48822.26,2238989.04,在售,单身宿舍
5栋-2112,39.79,37972.00,29.40,51391.35,1510905.88,在售,单身宿舍
5栋-2111,45.47,37972.00,33.60,51386.51,1726586.84,在售,单身宿舍
5栋-2110,51.97,37972.00,38.40,51390.75,1973404.84,在售,单身宿舍
5栋-2109,51.97,37972.00,38.40,51390.75,1973404.84,在售,单身宿舍
5栋-2108,45.47,37972.00,33.60,51386.51,1726586.84,在售,单身宿舍
5栋-2107,39.79,37972.00,29.40,51391.35,1510905.88,在售,单身宿舍
5栋-2106,62.07,35072.00,45.86,47468.79,2176919.04,在售,单身宿舍
5栋-2105,62.07,33422.00,45.86,45235.57,2074503.54,在售,单身宿舍
5栋-2104,41.87,33372.00,30.94,45161.13,1397285.64,在售,单身宿舍
5栋-2103,49.93,33372.00,36.89,45168.44,1666263.96,在售,单身宿舍
5栋-2102,41.95,33372.00,31.00,45159.85,1399955.40,在售,单身宿舍
5栋-2101,62.07,33422.00,45.86,45235.57,2074503.54,在售,单身宿舍
5栋-2013,62.07,30572.00,45.86,41378.19,1897604.04,在售,单身宿舍
5栋-2012,39.79,30472.00,29.40,41240.84,1212480.88,在售,单身宿舍
5栋-2011,45.47,30472.00,33.60,41236.95,1385561.84,在售,单身宿舍
5栋-2010,51.97,30472.00,38.40,41240.36,1583629.84,在售,单身宿舍
5栋-2009,51.97,30472.00,38.40,41240.36,1583629.84,在售,单身宿舍
5栋-2008,45.47,30472.00,33.60,41236.95,1385561.84,在售,单身宿舍
5栋-2007,39.79,30472.00,29.40,41240.84,1212480.88,在售,单身宿舍
5栋-2006,62.07,30572.00,45.86,41378.19,1897604.04,在售,单身宿舍
5栋-2005,62.07,28922.00,45.86,39144.97,1795188.54,在售,单身宿舍
5栋-2004,41.87,28872.00,30.94,39071.44,1208870.64,在售,单身宿舍
5栋-2003,49.93,28872.00,36.89,39077.77,1441578.96,在售,单身宿舍
5栋-2002,41.95,28872.00,31.00,39070.33,1211180.40,在售,单身宿舍
5栋-2001,62.07,28922.00,45.86,39144.97,1795188.54,在售,单身宿舍
5栋-1913,62.07,30572.00,45.86,41378.19,1897604.04,在售,单身宿舍
5栋-1912,39.79,30472.00,29.40,41240.84,1212480.88,在售,单身宿舍
5栋-1911,45.47,30472.00,33.60,41236.95,1385561.84,在售,单身宿舍
5栋-1910,51.97,30472.00,38.40,41240.36,1583629.84,在售,单身宿舍
5栋-1909,51.97,30472.00,38.40,41240.36,1583629.84,在售,单身宿舍
5栋-1908,45.47,30472.00,33.60,41236.95,1385561.84,在售,单身宿舍
5栋-1907,39.79,30472.00,29.40,41240.84,1212480.88,在售,单身宿舍
5栋-1906,62.07,30572.00,45.86,41378.19,1897604.04,在售,单身宿舍
5栋-1905,62.07,28922.00,45.86,39144.97,1795188.54,在售,单身宿舍
5栋-1904,41.87,28872.00,30.94,39071.44,1208870.64,在售,单身宿舍
5栋-1903,49.93,28872.00,36.89,39077.77,1441578.96,在售,单身宿舍
5栋-1902,41.95,28872.00,31.00,39070.33,1211180.40,在售,单身宿舍
5栋-1901,62.07,28922.00,45.86,39144.97,1795188.54,在售,单身宿舍
5栋-1813,62.07,30572.00,45.86,41378.19,1897604.04,在售,单身宿舍
5栋-1812,39.79,30472.00,29.40,41240.84,1212480.88,在售,单身宿舍
5栋-1811,45.47,30472.00,33.60,41236.95,1385561.84,在售,单身宿舍
5栋-1810,51.97,30472.00,38.40,41240.36,1583629.84,在售,单身宿舍
5栋-1809,51.97,30472.00,38.40,41240.36,1583629.84,在售,单身宿舍
5栋-1808,45.47,30472.00,33.60,41236.95,1385561.84,在售,单身宿舍
5栋-1807,39.79,30472.00,29.40,41240.84,1212480.88,在售,单身宿舍
5栋-1806,62.07,30572.00,45.86,41378.19,1897604.04,在售,单身宿舍
5栋-1805,62.07,28922.00,45.86,39144.97,1795188.54,在售,单身宿舍
5栋-1804,41.87,28872.00,30.94,39071.44,1208870.64,在售,单身宿舍
5栋-1803,49.93,28872.00,36.89,39077.77,1441578.96,在售,单身宿舍
5栋-1802,41.95,28872.00,31.00,39070.33,1211180.40,在售,单身宿舍
5栋-1801,62.07,28922.00,45.86,39144.97,1795188.54,在售,单身宿舍
5栋-1713,62.07,30472.00,45.86,41242.84,1891397.04,在售,单身宿舍
5栋-1712,39.79,30372.00,29.40,41105.50,1208501.88,在售,单身宿舍
5栋-1711,45.47,30372.00,33.60,41101.63,1381014.84,在售,单身宿舍
5栋-1710,51.97,30372.00,38.40,41105.02,1578432.84,在售,单身宿舍
