房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
415,4253.15,34807.20,2490.18,59449.61,148040242.68,在售,商业
319,5691.13,48000.00,3522.81,77544.41,273174240.00,在售,商业
218,4798.18,56000.00,3384.86,79382.33,268698080.00,在售,商业
150,3051.99,80000.00,2153.02,113403.12,244159200.00,在售,商业
—101,1123.53,40000.00,816.91,55013.64,44941200.00,在售,商业
149,60.60,110000.00,42.75,155929.82,6666000.00,在售,商业
148,51.03,113000.00,36.00,160177.50,5766390.00,在售,商业
147,51.03,113000.00,36.00,160177.50,5766390.00,在售,商业
146,74.63,106000.00,52.65,150252.23,7910780.00,在售,商业
145,74.63,106000.00,52.65,150252.23,7910780.00,在售,商业
143A,77.40,106000.00,54.60,150263.73,8204400.00,在售,商业
143,61.32,116000.00,43.26,164427.18,7113120.00,在售,商业
142,54.02,118600.00,38.11,168112.62,6406772.00,在售,商业
141,64.97,119800.00,45.83,169832.11,7783406.00,在售,商业
140,57.67,129800.00,40.68,184010.96,7485566.00,在售,商业
139,58.40,128900.00,41.20,182712.62,7527760.00,在售,商业
138,46.22,124800.00,32.60,176940.36,5768256.00,在售,商业
137,40.75,124800.00,28.75,176890.43,5085600.00,在售,商业
136,60.59,125000.00,42.74,177205.19,7573750.00,在售,商业
135,61.19,125000.00,43.16,177218.48,7648750.00,在售,商业
133A,55.02,126000.00,38.81,178627.15,6932520.00,在售,商业
133,60.59,123000.00,42.74,174369.91,7452570.00,在售,商业
132,59.86,98000.00,42.23,138912.62,5866280.00,在售,商业
131,48.18,105000.00,33.99,148834.95,5058900.00,在售,商业
130,105.20,98000.00,74.21,138924.67,10309600.00,在售,商业
129,50.12,125000.00,35.36,177177.60,6265000.00,在售,商业
128,99.28,129000.00,70.04,182854.36,12807120.00,在售,商业
127,92.09,106800.00,64.96,151404.12,9835212.00,在售,商业
126,79.26,108000.00,55.91,153104.63,8560080.00,在售,商业
125,83.57,108000.00,58.96,153079.37,9025560.00,在售,商业
123A,56.19,123000.00,39.64,174353.43,6911370.00,在售,商业
123,65.86,123000.00,46.46,174360.30,8100780.00,在售,商业
122,60.43,118850.00,42.63,168475.38,7182105.50,在售,商业
121,58.69,110100.00,41.40,156081.37,6461769.00,在售,商业
120,65.29,110200.00,46.06,156208.38,7194958.00,在售,商业
