房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
12栋3103,237.05,42279.71,186.21,53823.13,10022407.00,在售,住宅
12栋3102,82.92,25591.78,65.14,32577.07,2122071.00,初始登记,住宅
12栋3101,214.70,42764.72,168.66,54438.44,9181587.00,在售,住宅
12栋3003,163.41,26004.09,128.37,33102.20,4249330.00,初始登记,住宅
12栋3002,82.92,26655.12,65.14,33930.65,2210243.00,初始登记,住宅
12栋3001,146.24,26489.11,114.88,33720.12,3873768.00,初始登记,住宅
12栋2903,156.90,25174.04,123.26,32044.51,3949807.00,初始登记,住宅
12栋2902,82.92,25553.80,65.14,32528.73,2118922.00,初始登记,住宅
12栋2901,140.32,25659.05,110.23,32663.32,3600479.00,初始登记,住宅
12栋2803,157.11,26785.32,123.42,34096.92,4208243.00,在售,住宅
12栋2802,82.92,28792.65,65.14,36651.62,2387487.00,初始登记,住宅
12栋2801,140.51,27270.34,110.38,34714.22,3831756.00,在售,住宅
12栋2703,156.90,25141.49,123.26,32003.08,3944700.00,初始登记,住宅
12栋2702,82.92,25521.25,65.14,32487.29,2116222.00,初始登记,住宅
12栋2701,140.32,25626.50,110.23,32621.89,3595911.00,初始登记,住宅
12栋2603,157.11,26839.57,123.42,34165.98,4216766.00,在售,住宅
12栋2602,83.89,26676.82,65.90,33959.31,2237919.00,初始登记,住宅
12栋2601,140.51,27324.59,110.38,34783.28,3839379.00,初始登记,住宅
12栋2503,156.90,25108.93,123.26,31961.64,3939593.00,初始登记,住宅
12栋2502,83.89,25488.70,65.90,32446.84,2138247.00,初始登记,住宅
12栋2501,140.32,25593.95,110.23,32580.45,3591343.00,初始登记,住宅
12栋2403,157.11,26720.22,123.42,34014.05,4198015.00,初始登记,住宅
12栋2402,83.89,26557.46,65.90,33807.37,2227906.00,初始登记,住宅
12栋2401,140.51,27205.23,110.38,34631.34,3822608.00,初始登记,住宅
12栋2303,156.90,25092.66,123.26,31940.92,3937039.00,初始登记,住宅
12栋2302,83.89,25472.42,65.90,32426.13,2136882.00,初始登记,住宅
12栋2301,140.32,25577.67,110.23,32559.73,3589060.00,初始登记,住宅
12栋2203,157.11,26790.75,123.42,34103.83,4209095.00,初始登记,住宅
12栋2202,83.89,26627.99,65.90,33897.15,2233823.00,初始登记,住宅
12栋2201,140.51,27275.76,110.38,34721.12,3832518.00,初始登记,住宅
12栋2103,156.90,25060.11,123.26,31899.49,3931932.00,初始登记,住宅
12栋2102,83.89,25439.87,65.90,32384.69,2134151.00,初始登记,住宅
12栋2101,140.32,25545.12,110.23,32518.29,3584492.00,初始登记,住宅
12栋2003,157.11,26655.12,123.42,33931.18,4187786.00,在售,住宅
12栋2002,83.89,26492.36,65.90,33724.50,2222445.00,初始登记,住宅
12栋2001,140.51,27140.13,110.38,34548.47,3813461.00,初始登记,住宅
12栋1903,156.90,24995.00,123.26,31816.62,3921717.00,初始登记,住宅
12栋1902,83.89,25374.77,65.90,32301.81,2128690.00,初始登记,住宅
12栋1901,140.32,25480.02,110.23,32435.42,3575357.00,初始登记,住宅
12栋1803,157.11,26590.02,123.42,33848.30,4177558.00,初始登记,住宅
12栋1802,83.89,26427.26,65.90,33641.62,2216983.00,初始登记,住宅
12栋1801,140.51,27075.03,110.38,34465.60,3804313.00,初始登记,住宅
12栋1703,156.90,24929.90,123.26,31733.75,3911502.00,初始登记,住宅
12栋1702,83.89,25309.67,65.90,32218.94,2123228.00,初始登记,住宅
12栋1701,140.32,25414.92,110.23,32352.55,3566222.00,初始登记,住宅
12栋1603,157.11,26611.72,123.42,33875.93,4180967.00,初始登记,住宅
12栋1602,83.89,26448.96,65.90,33669.25,2218804.00,初始登记,住宅
12栋1601,140.51,27096.73,110.38,34493.22,3807362.00,初始登记,住宅
12栋1503,156.90,24864.80,123.26,31650.88,3901288.00,初始登记,住宅
12栋1502,83.89,25244.56,65.90,32136.06,2117767.00,初始登记,住宅
12栋1501,140.32,25349.81,110.23,32269.67,3557086.00,初始登记,住宅
12栋1403,157.11,26459.81,123.42,33682.56,4157102.00,初始登记,住宅
12栋1402,83.89,26297.05,65.90,33475.87,2206060.00,初始登记,住宅
12栋1401,140.51,26944.82,110.38,34299.85,3786018.00,初始登记,住宅
12栋1303,156.90,24832.25,123.26,31609.44,3896181.00,初始登记,住宅
12栋1302,83.89,25212.01,65.90,32094.63,2115036.00,住宅
15栋B座2409,73.24,30878.21,55.03,41096.00,2261520.00,在售,住宅
15栋B座2408,73.24,31000.65,55.03,41259.00,2270487.00,在售,住宅
15栋B座2313,75.12,33278.54,56.45,44284.00,2499883.00,在售,住宅
15栋B座2312,70.75,34578.36,53.16,46019.00,2446418.00,在售,住宅
15栋B座2311,74.04,31604.29,55.63,42063.00,2339981.00,在售,住宅
15栋B座2310,74.02,31440.57,55.62,41841.00,2327230.00,在售,住宅
15栋B座2309,73.24,31988.68,55.03,42574.00,2342850.00,在售,住宅
15栋B座2308,73.24,32111.12,55.03,42737.00,2351818.00,在售,住宅
15栋B座2213,75.12,32225.01,56.45,42882.00,2420742.00,在售,住宅
15栋B座2212,70.75,33510.60,53.16,44598.00,2370874.00,在售,住宅
15栋B座2211,74.04,32814.42,55.63,43673.00,2429579.00,在售,住宅
15栋B座2210,74.02,32650.70,55.62,43452.00,2416804.00,在售,住宅
