房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
8栋商业及01层配套134,42.96,65000.00,39.90,69984.00,2792400.00,在售,商业
8栋商业及01层配套133,65.13,115000.00,60.48,123841.76,7489950.00,在售,商业
8栋商业及01层配套132,74.98,65000.00,69.63,69994.00,4873700.00,在售,商业
8栋商业及01层配套131,86.21,65000.00,80.06,69993.00,5603650.00,在售,商业
8栋商业及01层配套130,72.36,65000.00,67.20,69991.00,4703400.00,在售,商业
8栋商业及01层配套129,68.81,65000.00,63.90,69994.00,4472650.00,在售,商业
8栋商业及01层配套128,82.05,65000.00,76.20,69990.00,5333250.00,在售,商业
8栋商业及01层配套127,68.81,65000.00,63.90,69994.00,4472650.00,在售,商业
8栋商业及01层配套126,80.06,65000.00,74.35,69991.00,5203900.00,在售,商业
8栋商业及01层配套125,65.50,65000.00,60.83,69990.00,4257500.00,在售,商业
8栋商业及01层配套124,62.07,115000.00,57.64,123838.48,7138050.00,在售,商业
8栋商业及01层配套123,63.96,115000.00,59.40,123828.28,7355400.00,在售,商业
8栋商业及01层配套122,65.86,65000.00,61.16,69995.00,4280900.00,在售,商业
8栋商业及01层配套121,67.75,65000.00,62.92,69989.00,4403750.00,在售,商业
8栋商业及01层配套120,63.96,65000.00,59.40,69989.00,4157400.00,在售,商业
8栋商业及01层配套119,65.86,115000.00,61.16,123837.47,7573900.00,在售,商业
8栋商业及01层配套118,65.12,115000.00,60.47,123843.22,7488800.00,在售,商业
8栋商业及01层配套117,35.42,65000.00,32.90,69978.00,2302300.00,在售,商业
2栋商业及配套107,53.71,65000.00,52.03,67098.00,3491150.00,在售,商业
4栋3903,124.02,37427.20,98.44,47152.00,4641721.00,在售,住宅
4栋3803,124.02,29234.00,98.44,36831.16,3625660.00,在售,住宅
4栋3703,124.02,29234.00,98.44,36831.16,3625660.00,在售,住宅
4栋3603,124.02,29234.00,98.44,36831.16,3625660.00,在售,住宅
4栋3503,124.02,29234.00,98.44,36831.16,3625660.00,在售,住宅
4栋3403,124.02,29234.00,98.44,36831.16,3625660.00,在售,住宅
4栋3303,124.02,29234.00,98.44,36831.16,3625660.00,在售,住宅
4栋3203,124.02,29234.00,98.44,36831.16,3625660.00,在售,住宅
4栋3103,124.02,29234.00,98.44,36831.16,3625660.00,在售,住宅
4栋3003,124.02,29234.00,98.44,36831.16,3625660.00,在售,住宅
4栋2903,124.02,37427.20,98.44,47152.00,4641721.00,在售,住宅
