房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
C座1506,101.12,73675.30,73.64,101168.46,7450046.00,在售,商务公寓
C座1505,86.08,63448.23,62.69,87121.13,5461624.00,在售,商务公寓
C座1504,57.78,60438.82,42.08,82988.47,3492155.00,在售,商务公寓
C座1414,57.89,62785.89,42.16,86211.45,3634675.00,在售,商务公寓
C座1413,57.79,62785.88,42.08,86226.14,3628396.00,在售,商务公寓
,在售,商务公寓
2栋H座2902,130.86,65173.00,96.15,88700.35,8528539.00,在售,商务公寓
2栋H座2901,69.33,61997.00,50.94,84378.72,4298252.00,在售,商务公寓
2栋H座2812,76.65,68195.00,55.52,94148.90,5227147.00,在售,商务公寓
2栋H座2811,101.82,65305.00,73.76,90148.52,6649355.00,在售,商务公寓
2栋H座2810,101.88,65305.00,73.80,90152.75,6653273.00,在售,商务公寓
2栋H座2809,101.88,64736.00,73.80,89367.26,6595304.00,在售,商务公寓
2栋H座2808,132.73,65278.00,96.15,90112.83,8664349.00,在售,商务公寓
2栋H座2721,31.40,67695.00,22.54,94304.48,2125623.00,在售,商务公寓
2栋H座2720,77.33,63150.01,55.52,87957.31,4883390.00,在售,商务公寓
2栋H座2719,50.81,60260.01,36.48,83931.22,3061811.00,在售,商务公寓
2栋H座2718,50.87,60260.00,36.52,83938.28,3065426.00,在售,商务公寓
2栋H座2717,50.86,60260.01,36.52,83921.80,3064824.00,在售,商务公寓
2栋H座2716,50.87,60260.00,36.52,83938.28,3065426.00,在售,商务公寓
2栋H座2715,50.86,59690.99,36.52,83129.35,3035884.00,在售,商务公寓
2栋H座2714,50.87,59691.00,36.52,83145.70,3036481.00,在售,商务公寓
2栋H座2713,50.86,59690.99,36.52,83129.35,3035884.00,在售,商务公寓
2栋H座2712,78.35,62233.01,56.26,86668.25,4875956.00,在售,商务公寓
2栋H座2621,31.40,67650.00,22.54,94241.79,2124210.00,在售,商务公寓
2栋H座2620,77.33,63105.00,55.52,87894.63,4879910.00,在售,商务公寓
2栋H座2619,50.81,60215.00,36.48,83868.53,3059524.00,在售,商务公寓
2栋H座2618,50.87,60215.00,36.52,83875.60,3063137.00,在售,商务公寓
2栋H座2617,50.86,60215.00,36.52,83859.12,3062535.00,在售,商务公寓
2栋H座2616,50.87,60215.00,36.52,83875.60,3063137.00,在售,商务公寓
