房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
29G,133.34,59481.65,87.02,91143.23,7931284.00,在售,办公
29F,187.77,58298.22,122.53,89338.59,10946658.00,在售,办公
29E,166.64,60073.37,108.75,92051.74,10010627.00,在售,办公
29D,148.40,62440.23,96.85,95675.07,9266131.00,在售,办公
29C,207.60,65043.78,135.48,99668.51,13503091.00,在售,办公
29B,207.56,64511.24,135.45,98855.32,13389954.00,在售,办公
29A,140.58,59777.51,91.74,91601.51,8403523.00,在售,办公
28G,128.91,59281.65,87.02,87818.88,7641999.00,在售,办公
28F,181.52,58098.22,122.53,86068.63,10545990.00,在售,办公
28E,161.33,59873.37,108.91,88691.32,9659372.00,在售,办公
28D,143.71,62240.23,97.01,92202.29,8944545.00,在售,办公
28C,200.65,64843.78,135.45,96056.89,13010906.00,在售,办公
28B,200.65,64311.24,135.45,95268.00,12904051.00,在售,办公
28A,392.80,61213.55,265.16,90679.90,24044684.00,在售,办公
27H,128.86,59081.65,87.02,87488.65,7613263.00,在售,办公
27G,181.46,57898.22,122.53,85743.99,10506212.00,在售,办公
27F,162.62,59673.37,109.81,88371.58,9704084.00,在售,办公
27E,145.27,62040.23,98.09,91880.78,9012586.00,在售,办公
27D,200.58,64643.78,135.45,95727.21,12966251.00,在售,办公
27C,200.58,64111.24,135.45,94938.60,12859434.00,在售,办公
27B,135.08,59377.51,91.21,87936.79,8020715.00,在售,办公
27A,257.59,57010.65,173.95,84422.96,14685374.00,在售,办公
26H,128.85,59681.65,87.02,88370.28,7689982.00,在售,办公
26G,181.43,58498.22,122.53,86618.24,10613333.00,在售,办公
26F,163.20,60273.37,110.22,89245.28,9836615.00,在售,办公
26E,145.93,62640.23,98.56,92746.44,9141090.00,在售,办公
26D,200.56,65243.78,135.45,96606.08,13085294.00,在售,办公
26C,200.56,64711.24,135.45,95817.54,12978487.00,在售,办公
26B,135.06,59977.51,91.22,88802.48,8100563.00,在售,办公
26A,257.56,57610.65,173.95,85301.52,14838200.00,在售,办公
25H,128.83,56681.65,87.02,83915.16,7302298.00,在售,办公
25G,181.41,55498.22,122.53,82167.08,10067933.00,在售,办公
25F,163.77,57273.37,110.62,84791.72,9379661.00,在售,办公
25E,146.58,59640.23,99.01,88294.77,8742066.00,在售,办公
25D,200.52,62243.78,135.45,92145.62,12481125.00,在售,办公
25C,200.52,61711.24,135.45,91357.24,12374339.00,在售,办公
25B,135.04,56977.51,91.21,84357.46,7694244.00,在售,办公
25A,257.52,54610.65,173.95,80846.99,14063335.00,在售,办公
24H,128.81,56481.65,87.02,83606.09,7275402.00,在售,办公
24G,181.38,55298.22,122.53,81857.43,10029992.00,在售,办公
24F,164.36,57073.37,111.03,84486.89,9380580.00,在售,办公
24E,147.22,59440.23,99.46,87983.02,8750792.00,在售,办公
24D,200.50,62043.78,135.45,91840.38,12439780.00,在售,办公
24C,200.50,61511.24,135.45,91052.08,12333005.00,在售,办公
24B,135.02,56777.51,91.22,84039.68,7666100.00,在售,办公
24A,257.49,54410.65,173.95,80541.52,14010199.00,在售,办公
23H,128.79,56281.65,87.02,83297.11,7248515.00,在售,办公
23G,181.36,55098.22,122.53,81552.38,9992614.00,在售,办公
23F,164.94,56873.37,111.44,84177.08,9380694.00,在售,办公
23E,147.83,59240.23,99.88,87680.06,8757485.00,在售,办公
23D,200.47,61843.78,135.45,91530.63,12397824.00,在售,办公
23C,200.47,61311.24,135.45,90742.45,12291065.00,在售,办公
23B,135.00,56577.51,91.21,83740.43,7637965.00,在售,办公
23A,257.45,54210.65,173.95,80233.01,13956533.00,在售,办公
22H,128.78,56881.65,87.02,84178.57,7325220.00,在售,办公
22G,181.33,55698.22,122.53,82426.83,10099760.00,在售,办公
22F,165.51,57473.37,111.84,85053.80,9512418.00,在售,办公
22E,148.42,59840.23,100.30,88549.23,8881488.00,在售,办公
22D,200.45,62443.78,135.45,92409.43,12516858.00,在售,办公
22C,200.45,61911.24,135.45,91621.32,12410109.00,在售,办公
22B,134.99,57177.51,91.21,84622.22,7718393.00,在售,办公
22A,257.42,54810.65,173.95,81111.57,14109358.00,在售,办公
