房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
2栋40层C,300.28,39291.00,245.48,48062.16,11798301.48,在售,住宅
2栋40层B,318.03,40851.00,259.86,49995.54,12991843.53,在售,住宅
2栋40层A,318.58,39691.00,260.31,48575.77,12644758.78,在售,住宅
2栋39层C,172.43,39281.00,140.28,48283.59,6773222.83,在售,住宅
2栋39层B,196.83,40841.00,160.13,50201.29,8038734.03,在售,住宅
2栋39层A,197.38,39681.00,160.58,48774.66,7832235.78,在售,住宅
2栋38层C,172.43,39271.00,140.28,48271.30,6771498.53,在售,住宅
2栋38层B,196.83,40831.00,160.13,50189.00,8036765.73,在售,住宅
2栋38层A,197.38,39671.00,160.58,48762.37,7830261.98,在售,住宅
2栋37层C,172.43,39261.00,140.28,48259.01,6769774.23,在售,住宅
2栋37层B,196.83,40821.00,160.13,50176.71,8034797.43,在售,住宅
2栋37层A,197.38,39661.00,160.58,48750.08,7828288.18,在售,住宅
2栋36层C,172.43,39251.00,140.28,48246.72,6768049.93,在售,住宅
2栋36层B,196.83,40811.00,160.13,50164.42,8032829.13,在售,住宅
2栋36层A,197.38,39651.00,160.58,48737.79,7826314.38,在售,住宅
2栋35层C,172.43,39241.00,140.28,48234.42,6766325.63,在售,住宅
2栋35层B,196.83,40801.00,160.13,50152.13,8030860.83,在售,住宅
2栋35层A,197.38,39641.00,160.58,48725.49,7824340.58,在售,住宅
2栋34层C,172.43,39211.00,140.28,48197.55,6761152.73,在售,住宅
2栋34层B,196.83,40771.00,160.13,50115.25,8024955.93,在售,住宅
2栋34层A,197.38,39611.00,160.58,48688.62,7818419.18,在售,住宅
2栋33层C,172.43,39181.00,140.28,48160.67,6755979.83,在售,住宅
2栋33层B,196.83,40741.00,160.13,50078.38,8019051.03,在售,住宅
2栋33层A,197.38,39581.00,160.58,48651.74,7812497.78,在售,住宅
2栋32层C,172.43,39151.00,140.28,48123.80,6750806.93,在售,住宅
