房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
5栋2706,80.05,41761.00,59.95,55762.60,3342968.05,在售,
5栋2705,123.84,42457.00,92.74,56694.79,5257874.88,在售,
5栋2703,88.55,42106.00,66.31,56228.11,3728486.30,在售,
5栋2702,87.07,42667.00,65.21,56970.03,3715015.69,在售,
5栋2701,131.78,42322.00,98.69,56512.24,5577193.16,在售,
5栋2606,80.05,42086.00,59.95,56196.56,3368984.30,在售,
5栋2605,123.84,42781.00,92.74,57127.44,5297999.04,在售,
5栋2603,88.55,42430.00,66.31,56660.78,3757176.50,在售,
5栋2602,87.07,42991.00,65.21,57402.64,3743226.37,在售,
5栋2601,131.78,42647.00,98.69,56946.21,5620021.66,在售,
5栋2506,80.05,42074.00,59.95,56180.54,3368023.70,在售,
5栋2505,123.84,42769.00,92.74,57111.41,5296512.96,在售,
5栋2503,88.55,42419.00,66.31,56646.09,3756202.45,在售,
5栋2502,87.07,42980.00,65.21,57387.95,3742268.60,在售,
5栋2501,131.78,42635.00,98.69,56930.18,5618440.30,在售,
5栋2406,80.05,42007.00,59.95,56091.08,3362660.35,在售,
5栋2405,123.84,42702.00,92.74,57021.95,5288215.68,在售,
5栋2403,88.55,42352.00,66.31,56556.62,3750269.60,在售,
5栋2402,87.07,42913.00,65.21,57298.49,3736434.91,在售,
5栋2401,131.78,42568.00,98.69,56840.72,5609611.04,在售,
5栋2306,80.05,42052.00,59.95,56151.16,3366262.60,在售,
5栋2305,123.84,42747.00,92.74,57082.04,5293788.48,在售,
5栋2303,88.55,42396.00,66.31,56615.37,3754165.80,在售,
5栋2302,87.07,49518.00,65.21,66117.00,4311532.00,在售,
5栋2301,131.78,42613.00,98.69,56900.81,5615541.14,在售,
5栋2206,80.05,42041.00,59.95,56136.48,3365382.05,在售,
5栋2205,123.84,42736.00,92.74,57067.35,5292426.24,在售,
5栋2203,88.55,42385.00,66.31,56600.68,3753191.75,在售,
5栋2202,87.07,42946.00,65.21,57342.55,3739308.22,在售,
5栋2201,131.78,42602.00,98.69,56886.12,5614091.56,在售,
