房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
4座32D,85.98,41842.99,66.39,54190.00,3597661.00,在售,住宅
4座32C,114.07,42691.99,88.08,55289.00,4869876.00,在售,住宅
4座32B,141.31,38015.00,109.11,49234.00,5371900.00,在售,住宅
4座32A,140.89,38947.00,108.78,50443.00,5487243.00,在售,住宅
4座31D,85.98,41754.00,66.39,54075.00,3590009.00,在售,住宅
4座31C,114.07,42602.99,88.08,55174.00,4859724.00,在售,住宅
4座31B,141.31,37948.00,109.11,49147.00,5362432.00,在售,住宅
4座31A,140.89,38879.99,108.78,50357.00,5477803.00,在售,住宅
4座30D,85.98,41665.00,66.39,53959.00,3582357.00,在售,住宅
4座30C,114.07,42514.00,88.08,55059.00,4849572.00,在售,住宅
4座30B,141.31,37880.99,109.11,49060.00,5352964.00,在售,住宅
4座30A,140.89,38813.99,108.78,50271.00,5468504.00,在售,住宅
4座29D,85.98,41575.99,66.39,53844.00,3574704.00,在售,住宅
4座29C,114.07,42425.00,88.08,54943.00,4839420.00,在售,住宅
4座29B,141.31,37813.99,109.11,48973.00,5343496.00,在售,住宅
4座29A,140.89,38747.00,108.78,50184.00,5459065.00,在售,住宅
4座28D,85.98,41486.99,66.39,53729.00,3567052.00,在售,住宅
4座28C,114.07,42336.00,88.08,54828.00,4829268.00,在售,住宅
4座28B,141.31,37747.00,109.11,48887.00,5334029.00,在售,住宅
4座28A,140.89,38679.99,108.78,50098.00,5449625.00,在售,住宅
4座27D,85.98,41397.99,66.39,53613.00,3559400.00,在售,住宅
4座27C,114.07,42246.99,88.08,54713.00,4819115.00,在售,住宅
4座27B,141.31,37680.00,109.11,48800.00,5324561.00,在售,住宅
4座27A,140.89,38613.00,108.78,50011.00,5440186.00,在售,住宅
4座26D,85.98,41308.00,66.39,53497.00,3551662.00,在售,住宅
4座26C,114.07,42157.99,88.08,54598.00,4808963.00,在售,住宅
4座26B,141.31,37612.99,109.11,48713.00,5315093.00,在售,住宅
4座26A,140.89,38546.00,108.78,49924.00,5430746.00,在售,住宅
4座25D,85.98,41219.00,66.39,53382.00,3544010.00,在售,住宅
4座25C,114.07,42068.00,88.08,54481.00,4798697.00,在售,住宅
4座25B,141.31,37547.00,109.11,48628.00,5305767.00,在售,住宅
4座25A,140.89,38478.99,108.78,49837.00,5421306.00,在售,住宅
4座24D,85.98,40774.00,66.39,52805.00,3505749.00,在售,住宅
4座24C,114.07,41623.00,88.08,53905.00,4747936.00,在售,住宅
4座24B,141.31,37457.00,109.11,48511.00,5293049.00,在售,住宅
