房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
C座3931,84.59,64915.62,59.37,92491.37,5491213.00,在售,商务公寓
C座3930,38.36,68277.08,26.92,97292.31,2619109.00,在售,商务公寓
C座3929,57.90,66304.16,40.64,94463.85,3839011.00,在售,商务公寓
C座3928,38.32,68207.28,26.90,97163.68,2613703.00,在售,商务公寓
C座3927,31.83,68861.45,22.34,98113.69,2191860.00,在售,商务公寓
C座3926,32.09,69082.29,22.52,98439.20,2216851.00,在售,商务公寓
C座3925,31.83,68831.25,22.34,98070.68,2190899.00,在售,商务公寓
C座3923,31.83,68790.60,22.34,98012.75,2189605.00,在售,商务公寓
C座3922,32.09,69011.46,22.52,98338.27,2214578.00,在售,商务公寓
C座3921,31.83,68760.41,22.34,97969.74,2188644.00,在售,商务公寓
C座3920,38.32,68076.04,26.90,96976.72,2608674.00,在售,商务公寓
C座3919,57.90,65862.50,40.64,93834.62,3813439.00,在售,商务公寓
C座3918,38.36,68045.85,26.92,96962.81,2610239.00,在售,商务公寓
C座3917,84.59,64684.37,59.37,92161.88,5471651.00,在售,商务公寓
C座3916,86.38,62820.83,60.63,89501.30,5426464.00,在售,商务公寓
C座3915,40.93,66642.70,28.72,94975.13,2727686.00,在售,商务公寓
C座3913,61.94,64057.28,43.47,91274.62,3967708.00,在售,商务公寓
C座3912,40.88,66582.28,28.69,94872.22,2721884.00,在售,商务公寓
C座3911,34.01,66834.40,23.87,95225.72,2273038.00,在售,商务公寓
C座3910,34.01,67115.61,23.87,95626.39,2282602.00,在售,商务公寓
