房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
8座4806,90.30,47624.60,63.91,67289.96,4300501.68,在售,住宅
8座4805,103.70,46307.67,73.39,65432.70,4802105.93,在售,住宅
8座4801,132.50,46433.30,93.78,65604.74,6152412.69,在售,住宅
8座4706,90.19,47592.11,63.91,67162.14,4292332.70,在售,住宅
8座4705,103.56,46275.18,73.39,65298.51,4792258.19,在售,住宅
8座4703,108.48,48372.95,76.84,68291.23,5247498.30,在售,住宅
8座4702,108.49,48377.28,76.84,68303.64,5248452.01,在售,住宅
8座4701,132.33,46400.81,93.78,65474.72,6140219.63,在售,住宅
8座4606,90.30,47559.62,63.91,67198.15,4294633.99,在售,住宅
8座4605,103.70,46242.69,73.39,65340.88,4795367.51,在售,住宅
8座4601,132.50,46368.32,93.78,65512.93,6143802.84,在售,住宅
8座4506,90.19,47527.13,63.91,67070.44,4286472.15,在售,住宅
8座4505,103.56,46210.20,73.39,65206.82,4785528.86,在售,住宅
8座4503,108.48,48307.97,76.84,68199.49,5240449.27,在售,住宅
8座4502,108.49,48312.30,76.84,68211.89,5241402.33,在售,住宅
8座4501,132.33,46335.83,93.78,65383.03,6131620.83,在售,住宅
8座4406,90.30,47494.64,63.91,67106.34,4288766.29,在售,住宅
8座4405,103.70,46177.71,73.39,65249.06,4788629.08,在售,住宅
8座4401,132.50,46303.34,93.78,65421.12,6135192.99,在售,住宅
8座4306,90.19,47462.15,63.91,66978.74,4280611.61,在售,住宅
8座4305,103.56,46145.22,73.39,65115.13,4778799.53,在售,住宅
8座4303,108.48,48242.99,76.84,68107.75,5233400.24,在售,住宅
8座4302,108.49,48247.32,76.84,68120.15,5234352.65,在售,住宅
8座4301,132.33,46270.85,93.78,65291.34,6123022.02,在售,住宅
8座4206,90.30,47429.66,63.91,67014.52,4282898.60,在售,住宅
8座4205,103.70,46112.73,73.39,65157.25,4781890.65,在售,住宅
8座4201,132.50,46238.36,93.78,65329.31,6126583.14,在售,住宅
8座4106,90.19,47397.17,63.91,66887.04,4274751.06,在售,住宅
8座4105,103.56,46080.24,73.39,65023.43,4772070.21,在售,住宅
8座4103,108.48,48178.01,76.84,68016.02,5226351.21,在售,住宅
8座4102,108.49,48182.34,76.84,68028.40,5227302.97,在售,住宅
8座4101,132.33,46205.87,93.78,65199.65,6114423.22,在售,住宅
8座4006,90.30,47364.68,63.91,66922.71,4277030.90,在售,住宅
8座4005,103.70,46047.75,73.39,65065.43,4775152.23,在售,住宅
8座4001,132.50,46173.38,93.78,65237.50,6117973.29,在售,住宅
