房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
5座B单元4505,172.99,73835.44,129.56,98585.93,12772793.65,在售,住宅
5座A单元2105,148.48,71093.27,111.20,94927.42,10555929.90,在售,住宅
2座A单元4702,368.70,115390.40,259.21,164131.17,42544442.52,在售,住宅
2座A单元4701,364.86,117260.34,256.52,166784.69,42783610.73,在售,住宅
2座A单元4502,218.34,86401.66,153.51,122890.63,18864940.62,在售,住宅
2座A单元4501,216.42,88271.58,152.16,125550.32,19103737.22,在售,住宅
2座A单元4402,218.34,86214.66,153.51,122624.65,18824111.04,在售,住宅
2座A单元4401,216.42,88084.58,152.16,125284.34,19063266.68,在售,住宅
2座A单元4302,218.34,86027.66,153.51,122358.68,18783281.46,在售,住宅
2座A单元4301,216.42,87897.58,152.16,125018.37,19022796.14,在售,住宅
2座A单元4202,218.34,85840.66,153.51,122092.70,18742451.88,在售,住宅
2座A单元4201,216.42,87710.58,152.16,124752.40,18982325.60,在售,住宅
2座A单元4102,218.34,85653.66,153.51,121826.73,18701622.30,在售,住宅
2座A单元4101,216.42,87523.58,152.16,124486.42,18941855.06,在售,住宅
2座A单元4002,218.34,85466.66,153.51,121560.76,18660792.72,在售,住宅
2座A单元4001,216.42,87336.58,152.16,124220.45,18901384.52,在售,住宅
2座A单元3902,218.34,85279.66,153.51,121294.78,18619963.14,在售,住宅
2座A单元3901,216.42,87149.58,152.16,123954.48,18860913.98,在售,住宅
2座A单元3802,218.34,85092.66,153.51,121028.81,18579133.56,在售,住宅
2座A单元3801,216.42,86962.58,152.16,123688.50,18820443.44,在售,住宅
2座A单元3702,218.34,84905.66,153.51,120762.84,18538303.98,在售,住宅
2座A单元3701,216.42,86775.58,152.16,123422.53,18779972.90,在售,住宅
2座A单元3602,218.34,84625.16,153.51,120363.88,18477059.61,在售,住宅
2座A单元3601,216.42,86495.08,152.16,123023.57,18719267.09,在售,住宅
2座A单元3502,218.34,84344.66,153.51,119964.92,18415815.24,在售,住宅
2座A单元3501,216.42,86214.58,152.16,122624.61,18658561.28,在售,住宅
2座A单元3402,218.34,82661.66,153.51,117571.16,18048349.02,在售,住宅
2座A单元3401,216.42,84531.58,152.16,120230.85,18294326.42,在售,住宅
2座A单元3302,218.34,82381.16,153.51,117172.20,17987104.65,在售,住宅
2座A单元3301,216.42,84251.08,152.16,119831.89,18233620.61,在售,住宅
2座A单元3102,296.57,81822.58,208.51,116378.70,24266124.39,在售,住宅
2座A单元3101,292.73,83692.49,205.81,119038.45,24499304.87,在售,住宅
2座A单元3002,218.34,81539.66,153.51,115975.32,17803371.54,在售,住宅
2座A单元3001,216.42,83409.58,152.16,118635.01,18051503.18,在售,住宅
2座A单元2902,218.34,81259.16,153.51,115576.36,17742127.17,在售,住宅
2座A单元2901,216.42,83129.08,152.16,118236.05,17990797.37,在售,住宅
2座A单元2802,218.34,80978.66,153.51,115177.40,17680882.80,在售,住宅
2座A单元2801,216.42,82848.58,152.16,117837.08,17930091.56,在售,住宅
2座A单元2702,218.34,80698.16,153.51,114778.44,17619638.43,在售,住宅
2座A单元2701,216.42,82568.08,152.16,117438.12,17869385.75,在售,住宅
2座A单元2602,218.34,80417.66,153.51,114379.48,17558394.06,在售,住宅
2座A单元2601,216.42,82287.58,152.16,117039.16,17808679.94,在售,住宅
2座A单元2502,218.34,109049.06,153.51,155102.00,23809771.00,在售,住宅
2座A单元2501,216.42,82007.08,152.16,116640.20,17747974.13,在售,住宅
2座A单元2402,218.34,79856.66,153.51,113581.56,17435905.32,在售,住宅
2座A单元2401,216.42,81726.58,152.16,116241.24,17687268.32,在售,住宅
2座A单元2302,218.34,79576.16,153.51,113182.60,17374660.95,在售,住宅
2座A单元2301,216.42,81446.08,152.16,115842.28,17626562.51,在售,住宅
2座A单元2202,218.34,79295.66,153.51,112783.64,17313416.58,在售,住宅
2座A单元2201,216.42,81165.58,152.16,115443.32,17565856.70,在售,住宅
2座A单元2102,218.34,79015.16,153.51,112384.67,17252172.21,在售,住宅
2座A单元2101,216.42,80885.08,152.16,115044.36,17505150.89,在售,住宅
2座A单元2002,218.34,78734.66,153.51,111985.71,17190927.84,在售,住宅
2座A单元2001,216�
壹方商业中心一期商业01层-17,78.46,600000.00,66.00,713272.72,47076000.00,在售,商业
