房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
301、402,9860.07,17849.78,8176.32,21525.00,176000080.00,在售,商业-商铺
230,138.95,23031.46,100.48,31849.00,3200221.00,在售,商业-商铺
224,168.67,23803.17,121.98,32914.00,4014880.00,在售,商业-商铺
202,152.44,40704.00,110.24,56285.53,6204917.76,在售,商业-商铺
201,1006.17,22320.69,727.64,30864.00,22458408.00,在售,商业-商铺
185,89.40,66322.56,77.59,76417.00,5929236.00,在售,商业-商铺
162,108.89,124398.40,94.52,143310.86,13545742.60,在售,商业-商铺
161,54.05,70025.91,46.91,80684.00,3784900.00,在售,商业-商铺
159,122.96,109901.25,106.72,126625.35,13513458.19,在售,商业-商铺
154,107.10,60771.16,92.95,70022.00,6508591.00,在售,商业-商铺
122,123.70,119488.44,107.37,137661.54,14780720.39,在售,商业-商铺
119,127.18,119487.08,110.38,137673.20,15196367.93,在售,商业-商铺
118,80.91,79246.61,70.23,91297.00,6411843.00,在售,商业-商铺
114,156.71,80030.63,136.02,92204.00,12541600.00,在售,商业-商铺
105,51.45,122008.00,44.66,140557.80,6277311.60,在售,商业-商铺
104,93.22,121944.34,80.91,140497.48,11367651.51,在售,商业-商铺
102,129.54,124442.33,112.43,143380.41,16120260.49,在售,商业-商铺
101,221.96,90106.33,192.65,103815.00,20000001.00,在售,商业-商铺
B105,61.06,149001.03,60.42,150579.33,9098003.44,在售,商业-商铺
B104,234.78,103196.90,232.33,104285.15,24228569.77,在售,商业-商铺
B103,45.65,148311.65,45.18,149854.51,6770427.02,在售,商业-商铺
B102,41.34,105121.82,40.91,106226.00,4345736.00,在售,商业-商铺
