房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
8栋102,225.69,76044.63,213.63,80337.00,17162513.00,在售,商业
8栋101,321.11,76044.63,304.01,80322.00,24418692.00,在售,商业
6栋102,277.71,88000.00,265.97,91884.34,24438480.00,在售,商业
6栋101,393.82,88000.00,377.17,91884.72,34656160.00,在售,商业
5栋103,316.53,57935.30,302.41,60640.00,18338260.00,在售,商业
5栋102,339.37,57936.00,324.22,60643.00,19661740.00,在售,商业
5栋101,377.52,90000.00,360.67,94204.67,33976800.00,在售,商业
4栋102,306.20,100000.00,273.08,112128.31,30620000.00,在售,商业
4栋101,374.71,100000.00,334.18,112128.19,37471000.00,在售,商业
3栋102,362.09,100000.00,349.25,103676.44,36209000.00,在售,商业
3栋101,339.05,100000.00,327.02,103678.67,33905000.00,在售,商业
2栋102,375.95,100000.00,360.88,104175.90,37595000.00,在售,商业
2栋101,344.97,100000.00,331.14,104176.48,34497000.00,在售,商业
1栋102,309.89,100000.00,282.87,109552.09,30989000.00,在售,商业
1栋101,312.18,100000.00,284.96,109552.21,31218000.00,在售,商业
