房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
6栋B座3003,140.65,62528.81,113.06,77787.70,8794677.00,在售,住宅
6栋B座3002,166.34,57885.91,133.72,72006.75,9628743.00,在售,住宅
6栋B座3001,166.34,57841.18,133.72,71951.11,9621302.00,在售,住宅
6栋B座2903,140.65,63408.91,113.06,78882.57,8918463.00,在售,住宅
6栋B座2902,166.34,58764.94,133.72,73100.21,9774960.00,在售,住宅
6栋B座2901,166.34,58720.18,133.72,73044.53,9767515.00,在售,住宅
6栋B座2803,140.65,63321.86,113.06,78774.28,8906220.00,在售,住宅
6栋B座2802,166.34,58678.00,133.72,72992.07,9760499.00,在售,住宅
6栋B座2801,166.34,58633.25,133.72,72936.39,9753054.00,在售,住宅
6栋B座2703,140.65,63234.82,113.06,78666.00,8893978.00,在售,住宅
6栋B座2702,166.34,58591.07,133.72,72883.92,9746038.00,在售,住宅
6栋B座2701,166.34,58546.31,133.72,72828.25,9738594.00,在售,住宅
6栋B座2603,140.65,63147.78,113.06,78557.71,8881735.00,在售,住宅
6栋B座2602,166.34,58504.13,133.72,72775.78,9731577.00,在售,住宅
6栋B座2601,166.34,58459.38,133.72,72720.11,9724133.00,在售,住宅
6栋B座2503,140.65,63060.74,113.06,78449.43,8869493.00,在售,住宅
6栋B座2502,166.34,58417.19,133.72,72667.63,9717116.00,在售,住宅
6栋B座2501,166.34,58372.44,133.72,72611.97,9709672.00,在售,住宅
6栋B座2403,140.65,62973.69,113.06,78341.15,8857250.00,在售,住宅
6栋B座2402,166.34,58330.26,133.72,72559.49,9702655.00,在售,住宅
6栋B座2401,166.34,58285.51,133.72,72503.83,9695212.00,在售,住宅
6栋B座2303,140.65,62886.65,113.06,78232.87,8845008.00,在售,住宅
6栋B座2302,166.34,57856.94,133.72,71970.71,9623923.00,在售,住宅
6栋B座2301,166.34,57812.20,133.72,71915.06,9616482.00,在售,住宅
6栋B座2203,140.65,62799.61,113.06,78124.58,8832765.00,在售,住宅
6栋B座2202,166.34,57741.02,133.72,71826.52,9604642.00,在售,住宅
6栋B座2201,166.34,57696.29,133.72,71770.87,9597201.00,在售,住宅
6栋B座2103,140.65,62683.55,113.06,77980.21,8816442.00,在售,住宅
6栋B座2102,166.34,57625.11,133.72,71682.32,9585360.00,在售,住宅
6栋B座2101,166.34,57580.38,133.72,71626.69,9577921.00,在售,住宅
6栋B座2003,140.65,62567.49,113.06,77835.82,8800118.00,在售,住宅
6栋B座2002,166.34,57509.19,133.72,71538.13,9566079.00,在售,住宅
6栋B座2001,166.34,57464.47,133.72,71482.50,9558640.00,在售,住宅
6栋B座1803,140.65,62335.38,113.06,77547.06,8767471.00,在售,住宅
6栋B座1802,166.34,57277.37,133.72,71249.75,9527517.00,在售,住宅
6栋B座1801,166.34,57232.64,133.72,71194.12,9520078.00,在售,住宅
6栋B座1703,140.65,62219.32,113.06,77402.69,8751148.00,在售,住宅
6栋B座1702,166.34,57161.45,133.72,71105.56,9508235.00,在售,住宅
6栋B座1701,166.34,57116.74,133.72,71049.94,9500798.00,在售,住宅
6栋B座1603,140.65,62103.27,113.06,77258.31,8734825.00,在售,住宅
6栋B座1602,166.34,57045.53,133.72,70961.37,9488954.00,在售,住宅
6栋B座1601,166.34,57000.82,133.72,70905.75,9481517.00,在售,住宅
6栋B座1503,140.65,61987.21,113.06,77113.93,8718501.00,在售,住宅
6栋B座1502,166.34,56929.62,133.72,70817.18,9469673.00,在售,住宅
6栋B座1501,166.34,56884.91,133.72,70761.56,9462236.00,在售,住宅
6栋B座1403,140.65,61871.16,113.06,76969.56,8702178.00,在售,住宅
6栋B座1402,166.34,56813.71,133.72,70672.99,9450392.00,在售,住宅
6栋B座1401,166.34,56769.00,133.72,70617.37,9442955.00,在售,住宅
6栋B座1303,140.65,61755.09,113.06,76825.17,8685854.00,在售,住宅
6栋B座1302,166.34,56697.79,133.72,70528.79,9431110.00,在售,住宅
6栋B座1301,166.34,56653.09,133.72,70473.19,9423675.00,在售,住宅
6栋B座1203,140.65,61639.04,113.06,76680.80,8669531.00,在售,住宅
6栋B座1202,166.34,56581.87,133.72,70384.60,9411829.00,在售,住宅
6栋B座1201,166.34,56537.18,133.72,70329.00,9404394.00,在售,住宅
6栋B座1103,140.65,61203.83,113.06,76139.38,8608318.00,在售,住宅
6栋B座1102,166.34,56436.98,133.72,70204.36,9387727.00,在售,住宅
6栋B座1101,166.34,56392.29,133.72,70148.77,9380293.00,在售,住宅
6栋B座1003,140.65,61058.76,113.06,75958.91,8587914.00,在售,住宅
6栋B座1002,166.34,56292.09,133.72,70024.13,9363626.00,在售,住宅
6栋B座1001,166.34,56247.40,133.72,69968.53,9356192.00,在售,住宅
