房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
8座3302,76.16,31257.16,59.04,40320.00,2380545.00,在售,住宅
8座3206,89.45,20837.36,69.38,26865.00,1863903.00,在售,住宅
8座3205,89.45,21018.32,69.38,27098.00,1880089.00,在售,住宅
8座3202,79.55,21676.35,61.70,27947.00,1724354.00,在售,住宅
8座3201,79.90,21898.43,61.97,28234.00,1749685.00,在售,住宅
8座3105,89.45,20988.32,69.38,27060.00,1877406.00,在售,住宅
8座3102,79.55,21646.35,61.70,27909.00,1721968.00,在售,住宅
8座3005,89.45,20958.32,69.38,27021.00,1874722.00,在售,住宅
8座3002,79.55,21616.35,61.70,27870.00,1719581.00,在售,住宅
8座2905,89.45,20928.32,69.38,26982.00,1872039.00,在售,住宅
8座2902,79.06,21586.35,61.32,27831.00,1706617.00,在售,住宅
8座2805,89.45,20898.32,69.38,26944.00,1869355.00,在售,住宅
8座2802,79.06,31041.15,61.32,40021.00,2454113.00,在售,住宅
8座2705,89.45,20868.32,69.38,26905.00,1866672.00,在售,住宅
8座2702,79.06,21526.35,61.32,27754.00,1701874.00,在售,住宅
8座2605,89.45,20838.32,69.38,26866.00,1863988.00,在售,住宅
8座2602,79.06,21496.35,61.32,27715.00,1699502.00,在售,住宅
8座2505,89.45,20808.32,69.38,26828.00,1861305.00,在售,住宅
8座2502,79.06,21466.35,61.32,27677.00,1697130.00,在售,住宅
8座2405,89.45,20778.32,69.38,26789.00,1858621.00,在售,住宅
8座2402,79.06,21436.35,61.32,27638.00,1694758.00,在售,住宅
8座2305,89.45,20748.32,69.38,26750.00,1855938.00,在售,住宅
8座2302,79.06,21406.35,61.32,27599.00,1692386.00,在售,住宅
8座2205,89.45,20718.32,69.38,26712.00,1853254.00,在售,住宅
8座2202,79.06,21376.35,61.32,27561.00,1690015.00,在售,住宅
8座2105,89.45,20688.32,69.38,26673.00,1850571.00,在售,住宅
8座2102,79.06,21346.35,61.32,27522.00,1687643.00,在售,住宅
8座2101,79.41,21568.43,61.58,27813.00,1712750.00,在售,住宅
8座2005,89.45,20658.32,69.38,26634.00,1847887.00,在售,住宅
8座2002,79.06,30695.55,61.32,39575.00,2426790.00,在售,住宅
8座2001,79.41,21538.43,61.58,27775.00,1710367.00,在售,住宅
8座1905,89.45,20628.32,69.38,26596.00,1845204.00,在售,住宅
8座1902,79.06,21286.35,61.32,27445.00,1682899.00,在售,住宅
8座1901,79.41,21508.43,61.58,27736.00,1707985.00,在售,住宅
8座1805,89.45,20598.32,69.38,26557.00,1842520.00,在售,住宅
8座1802,79.06,30609.15,61.32,39464.00,2419959.00,在售,住宅
8座1801,79.41,21478.43,61.58,27697.00,1705603.00,在售,住宅
8座1705,89.45,20368.32,69.38,26260.00,1821947.00,在售,住宅
8座1702,79.06,21026.35,61.32,27109.00,1662344.00,在售,住宅
8座1701,79.41,21248.43,61.58,27401.00,1687339.00,在售,住宅
8座1605,89.45,20338.32,69.38,26222.00,1819263.00,在售,住宅
8座1602,79.06,20996.35,61.32,27071.00,1659972.00,在售,住宅
8座1601,79.41,21218.43,61.58,27362.00,1684956.00,在售,住宅
8座1505,89.45,20308.32,69.38,26183.00,1816580.00,在售,住宅
8座1502,79.06,20966.35,61.32,27032.00,1657600.00,在售,住宅
