房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
2004,442.68,31300.00,350.56,39525.00,13855884.00,在售,产业研发用房
2003,542.52,31500.00,429.63,39776.00,17089380.00,在售,产业研发用房
2002,380.41,31800.00,301.25,40156.00,12097038.00,在售,产业研发用房
2001,657.63,31000.00,520.78,39146.00,20386530.00,在售,产业研发用房
1904,442.68,31200.00,350.56,39398.00,13811616.00,在售,产业研发用房
1903,542.52,31400.00,429.63,39650.00,17035128.00,在售,产业研发用房
1902,380.41,31700.00,301.25,40029.00,12058997.00,在售,产业研发用房
1901,657.63,30900.00,520.78,39019.00,20320767.00,在售,产业研发用房
1804,436.98,31100.00,345.77,39303.00,13590078.00,在售,产业研发用房
1803,542.91,31300.00,429.59,39556.00,16993083.00,在售,产业研发用房
1802,370.76,31600.00,293.38,39934.00,11716016.00,在售,产业研发用房
1801,658.02,30800.00,520.67,38924.00,20267016.00,在售,产业研发用房
1704,436.98,31000.00,345.77,39177.00,13546380.00,在售,产业研发用房
1703,542.91,31200.00,429.59,39430.00,16938792.00,在售,产业研发用房
1702,370.76,31500.00,293.38,39808.00,11678940.00,在售,产业研发用房
1701,658.02,30700.00,520.67,38798.00,20201214.00,在售,产业研发用房
1604,460.60,30900.00,364.89,39005.00,14232540.00,在售,产业研发用房
1603,536.18,31100.00,424.76,39257.00,16675197.00,在售,产业研发用房
1602,386.18,31400.00,305.93,39636.00,12126052.00,在售,产业研发用房
1601,647.14,30600.00,512.67,38626.00,19802484.00,在售,产业研发用房
1504,460.60,30800.00,364.89,38878.00,14186480.00,在售,产业研发用房
1503,536.18,31000.00,424.76,39131.00,16621579.00,在售,产业研发用房
1502,386.18,31300.00,305.93,39510.00,12087434.00,在售,产业研发用房
1501,647.14,30500.00,512.67,38499.00,19737770.00,在售,产业研发用房
1404,460.97,30700.00,369.72,38277.00,14151779.00,在售,产业研发用房
1403,523.55,30900.00,419.92,38525.00,16177694.00,在售,产业研发用房
1402,391.41,31200.00,313.94,38899.00,12211992.00,在售,产业研发用房
1401,629.21,30400.00,504.66,37902.00,19127984.00,在售,产业研发用房
1304,460.89,30600.00,369.72,38145.00,14103234.00,在售,产业研发用房
1303,523.79,30800.00,420.18,38394.00,16132731.00,在售,产业研发用房
1302,391.66,31100.00,314.18,38769.00,12180626.00,在售,产业研发用房
1301,629.11,30300.00,504.66,37772.00,19062033.00,在售,产业研发用房
1204,461.45,30500.00,369.76,38063.00,14074225.00,在售,产业研发用房
1203,518.32,30700.00,415.33,38312.00,15912424.00,在售,产业研发用房
1202,392.23,31000.00,314.29,38687.00,12159130.00,在售,产业研发用房
1201,610.29,30200.00,489.02,37689.00,18430758.00,在售,产业研发用房
1104,461.45,30400.00,369.76,37938.00,14028080.00,在售,产业研发用房
1103,518.32,30600.00,415.33,38187.00,15860592.00,在售,产业研发用房
1102,392.23,30900.00,314.29,38562.00,12119907.00,在售,产业研发用房
1101,610.29,30100.00,489.02,37564.00,18369729.00,在售,产业研发用房
1004,461.13,30300.00,369.76,37787.00,13972239.00,在售,产业研发用房
1003,523.98,30500.00,420.16,38036.00,15981390.00,在售,产业研发用房
1002,391.95,30800.00,314.29,38410.00,12072060.00,在售,产业研发用房
1001,619.81,30000.00,497.00,37413.00,18594300.00,在售,产业研发用房
904,461.13,30200.00,369.76,37662.00,13926126.00,在售,产业研发用房
903,523.98,30400.00,420.16,37911.00,15928992.00,在售,产业研发用房
902,391.95,30700.00,314.29,38285.00,12032865.00,在售,产业研发用房
901,619.81,29900.00,497.00,37288.00,18532319.00,在售,产业研发用房
804,460.22,30100.00,369.76,37463.00,13852622.00,在售,产业研发用房
803,535.35,30300.00,430.12,37712.00,16221105.00,在售,产业研发用房
802,391.49,30600.00,314.54,38086.00,11979594.00,在售,产业研发用房
801,648.20,29800.00,520.78,37091.00,19316360.00,在售,产业研发用房
704,460.22,30000.00,369.76,37339.00,13806600.00,在售,产业研发用房
703,535.35,30200.00,430.12,370.00,271.13,25745.29,6980323.00,在售,产业研发用房
3栋塔楼D座1502,365.21,19500.00,287.62,24760.43,7121595.00,在售,产业研发用房
3栋塔楼D座1501,399.23,19700.00,309.62,25401.55,7864831.00,在售,产业研发用房
3栋塔楼D座1406,340.16,19900.00,268.29,25230.84,6769184.00,在售,产业研发用房
3栋塔楼D座1405,308.83,19200.00,247.34,23973.21,5929536.00,在售,产业研发用房
3栋塔楼D座1404,294.56,19000.00,231.54,24171.37,5596640.00,在售,产业研发用房
3栋塔楼D座1403,344.91,19800.00,271.13,25187.98,6829218.00,在售,产业研发用房
3栋塔楼D座1402,359.12,19400.00,287.62,24222.68,6966928.00,在售,产业研发用房
3栋塔楼D座1401,392.57,19600.00,309.62,24851.01,7694372.00,在售,产业研发用房
3栋塔楼C座2206,285.32,20700.00,221.05,26718.49,5906124.00,在售,产业研发用房
3栋塔楼C座2205,258.14,20700.00,204.63,26112.97,5343498.00,在售,产业研发用房
3栋塔楼C座2204,386.49,20500.00,301.38,26289.21,7923045.00,在售,产业研发用房
3栋塔楼C座2203,419.92,20300.00,327.45,26032.60,8524376.00,在售,产业研发用房
3栋塔楼C座2202,327.74,20100.00,259.80,25356.32,6587574.00,在售,产业研发用房
3栋塔楼C座2201,294.19,19900.00,227.92,25686.12,5854381.00,在售,产业研发用房
3栋塔楼C座2106,259.93,20600.00,200.52,26703.36,5354558.00,在售,产业研发用房
3栋塔楼C座2105,259.03,20600.00,204.69,26068.77,5336018.00,在售,产业研发用房
3栋塔楼C座2104,388.06,20400.00,301.38,26267.25,7916424.00,在售,产业研发用房
3栋塔楼C座2103,379.70,20200.00,294.89,26009.49,7669940.00,在售,产业研发用房
3栋塔楼C座2102,328.98,20000.00,259.97,25309.07,6579600.00,在售,产业研发用房
3栋塔楼C座2101,295.45,19800.00,227.92,25666.50,5849910.00,在售,产业研发用房
3栋塔楼C座2006,259.93,20500.00,200.52,26573.73,5328565.00,在售,产业研发用房
3栋塔楼C座2005,259.03,20500.00,204.69,25942.22,5310115.00,在售,产业研发用房
3栋塔楼C座2004,388.06,20300.00,301.38,26138.48,7877618.00,在售,产业研发用房
3栋塔楼C座2003,379.70,20100.00,294.89,25880.73,7631970.00,在售,产业研发用房
3栋塔楼C座2002,328.98,19900.00,259.97,25182.52,6546702.00,在售,产业研发用房
3栋塔楼C座2001,295.45,19700.00,227.92,25536.87,5820365.00,在售,产业研发用房
3栋塔楼C座1906,285.73,20400.00,221.04,26370.30,5828892.00,在售,产业研发用房
3栋塔楼C座1905,242.55,20400.00,191.99,25772.27,4948020.00,在售,产业研发用房
3栋塔楼C座1904,386.91,20200.00,301.27,25942.11,7815582.00,在售,产业研发用房
3栋塔楼C座1903,420.53,20000.00,327.45,25685.14,8410600.00,在售,产业研发用房
3栋塔楼C座1902,312.90,19800.00,247.68,25013.80,6195420.00,在售,产业研发用房
3栋塔楼C座1901,294.63,19600.00,227.92,25336.73,5774748.00,在售,产业研发用房
3栋塔楼C座1806,285.73,20300.00,221.04,26241.03,5800319.00,在售,产业研发用房
3栋塔楼C座1805,242.55,20300.00,191.99,25645.94,4923765.00,在售,产业研发用房
3栋塔楼C座1804,386.91,20100.00,301.27,25813.69,7776891.00,在售,产业研发用房
3栋塔楼C座1803,420.53,19900.00,327.45,25556.71,8368547.00,在售,产业研发用房
3栋塔楼C座1802,312.90,19700.00,247.68,24887.47,6164130.00,在售,产业研发用房
3栋塔楼C座1801,294.63,19500.00,227.92,25207.46,5745285.00,在售,产业研发用房
3栋塔楼C座1706,286.14,20200.00,221.13,26138.59,5780028.00,在售,产业研发用房
3栋塔楼C座1705,247.94,20200.00,196.06,25545.18,5008388.00,在售,产业研发用房
3栋塔楼C座1704,376.41,20000.00,292.72,25718.09,7528200.00,在售,产业研发用房
3栋塔楼C座1703,420.88,19800.00,327.31,25460.34,8333424.00,在售,产业研发用房
3栋塔楼C座1702,298.50,19600.00,236.04,24786.47,5850600.00,在售,产业研发用房
3栋塔楼C座1701,294.64,19400.00,227.70,25103.27,5716016.00,在售,产业研发用房
3栋塔楼C座1606,286.14,20100.00,221.13,26009.19,5751414.00,在售,产业研发用房
3栋塔楼C座1605,247.94,20100.00,196.06,25418.71,4983594.00,在售,产业研
