房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
5栋2单元3204,132.81,68658.43,103.49,88110.22,9118527.22,在售,在售
5栋2单元3104,128.90,38958.74,100.30,50067.61,5021781.84,在售,在售
5栋2单元3004,128.90,38958.74,100.30,50067.61,5021781.84,在售,在售
5栋2单元2904,128.90,38958.74,100.30,50067.61,5021781.84,在售,在售
5栋2单元2804,128.90,38958.74,100.30,50067.61,5021781.84,在售,在售
5栋2单元2704,128.90,38958.74,100.30,50067.61,5021781.84,在售,在售
5栋2单元2604,128.90,38958.74,100.30,50067.61,5021781.84,在售,在售
5栋2单元2504,128.90,38534.06,100.30,49521.83,4967040.40,在售,在售
5栋2单元2404,128.90,38534.06,100.30,49521.83,4967040.40,在售,在售
5栋2单元2304,128.90,38534.06,100.30,49521.83,4967040.40,在售,在售
