房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
E206,88.78,35263.65,68.10,45972.20,3130707.38,在售,商品住宅
E306,88.78,35148.65,68.10,45822.28,3120497.68,在售,商品住宅
E406,88.78,35723.65,68.10,46571.89,3171546.18,在售,商品住宅
E506,88.78,35378.65,68.10,46122.13,3140917.08,在售,商品住宅
E606,88.78,35953.65,68.10,46871.74,3191965.58,在售,商品住宅
E706,88.78,35608.65,68.10,46421.97,3161336.48,在售,商品住宅
E806,88.78,36183.65,68.10,47171.58,3212384.98,在售,商品住宅
E906,88.78,35723.65,68.10,46571.89,3171546.18,在售,商品住宅
E1006,88.78,36298.65,68.10,47321.50,3222594.68,在售,商品住宅
E1106,88.78,35838.65,68.10,46721.81,3181755.88,在售,商品住宅
E1206,88.78,36413.65,68.10,47471.43,3232804.38,在售,商品住宅
E1306,88.78,36068.65,68.10,47021.66,3202175.28,在售,商品住宅
E1406,88.78,36528.65,68.10,47621.35,3243014.08,在售,商品住宅
E1506,88.78,36298.65,68.10,47321.50,3222594.68,在售,商品住宅
E1606,88.78,36873.65,68.10,48071.11,3273643.18,在售,商品住宅
E1706,88.78,36528.65,68.10,47621.35,3243014.08,在售,商品住宅
E1806,88.78,37103.65,68.10,48370.96,3294062.58,在售,商品住宅
E1906,88.78,36758.65,68.10,47921.19,3263433.48,在售,商品住宅
E2004,157.52,47808.16,120.84,62319.95,7530742.84,在售,复式住宅
E205,88.37,31305.12,67.79,40808.88,2766434.26,在售,商品住宅
E305,88.37,31420.12,67.79,40958.79,2776596.81,在售,商品住宅
E405,88.37,31535.12,67.79,41108.70,2786759.36,在售,商品住宅
E505,88.37,31650.12,67.79,41258.62,2796921.91,在售,商品住宅
E605,88.37,31765.12,67.79,41408.53,2807084.46,在售,商品住宅
E705,88.37,31880.12,67.79,41558.44,2817247.01,在售,商品住宅
E805,88.37,31995.12,67.79,41708.35,2827409.56,在售,商品住宅
E905,88.37,32110.12,67.79,41858.26,2837572.11,在售,商品住宅
E1005,88.37,32225.12,67.79,42008.18,2847734.66,在售,商品住宅
E1105,88.37,32340.12,67.79,42158.09,2857897.21,在售,商品住宅
E1205,88.37,32455.12,67.79,42308.00,2868059.76,在售,商品住宅
E1305,88.37,32570.12,67.79,42457.91,2878222.31,在售,商品住宅
E1405,88.37,32570.12,67.79,42457.91,2878222.31,在售,商品住宅
E1505,88.37,32800.12,67.79,42757.74,2898547.41,在售,商品住宅
E1605,88.37,32915.12,67.79,42907.65,2908709.96,在售,商品住宅
E1705,88.37,33030.12,67.79,43057.56,2918872.51,在售,商品住宅
E1805,88.37,33145.12,67.79,43207.47,2929035.06,在售,商品住宅
E1905,88.37,33260.12,67.79,43357.39,2939197.61,在售,商品住宅
E204,77.58,34038.96,59.52,44367.32,2640742.98,在售,商品住宅
E304,77.58,34153.96,59.52,44517.21,2649664.68,在售,商品住宅
E404,77.58,34268.96,59.52,44667.11,2658586.38,在售,商品住宅
E504,77.58,34383.96,59.52,44817.00,2667508.08,在售,商品住宅
E604,77.58,34498.96,59.52,44966.89,2676429.78,在售,商品住宅
E704,77.58,34613.96,59.52,45116.79,2685351.48,在售,商品住宅
E804,77.58,34728.96,59.52,45266.68,2694273.18,在售,商品住宅
E904,77.58,34843.96,59.52,45416.58,2703194.88,在售,商品住宅
E1004,77.58,34958.96,59.52,45566.47,2712116.58,在售,商品住宅
E1104,77.58,35073.96,59.52,45716.36,2721038.28,在售,商品住宅
E1204,77.58,35188.96,59.52,45866.26,2729959.98,在售,商品住宅
E1304,77.58,35303.96,59.52,46016.15,2738881.68,在售,商品住宅
E1404,77.58,35303.96,59.52,46016.15,2738881.68,在售,商品住宅
E1504,77.58,35533.96,59.52,46315.94,2756725.08,在售,商品住宅
E1604,77.58,35648.96,59.52,46465.83,2765646.78,在售,商品住宅
E1704,77.58,35763.96,59.52,46615.73,2774568.48,在售,商品住宅
E1804,77.58,35878.96,59.52,46765.62,2783490.18,在售,商品住宅
E1904,77.58,35993.96,59.52,46915.52,2792411.88,在售,商品住宅
E203,77.58,33405.55,59.52,43541.71,2591603.05,在售,商品住宅
E303,77.58,33520.55,59.52,43691.61,2600524.75,在售,商品住宅
E403,77.58,33635.55,59.52,43841.50,2609446.45,在售,商品住宅
E503,77.58,33750.55,59.52,43991.40,2618368.15,在售,商品住宅
E603,77.58,33865.55,59.52,44141.29,2627289.85,在售,商品住宅
E7
