房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
B4栋25层2座2504,88.70,49231.00,66.07,66093.00,4366789.00,在售,住宅
B4栋25层2座2503,85.58,46371.00,63.74,62259.00,3968430.00,在售,住宅
B4栋25层2座2502,85.58,46371.00,63.74,62259.00,3968430.00,在售,住宅
B4栋25层2座2501,88.86,49917.00,66.18,67023.00,4435624.00,在售,住宅
B4栋24层2座2404,88.70,49583.00,66.07,66565.00,4398012.00,在售,住宅
B4栋24层2座2403,85.58,46723.00,63.74,62732.00,3998554.00,在售,住宅
B4栋24层2座2402,85.58,46723.00,63.74,62732.00,3998554.00,在售,住宅
B4栋24层2座2401,88.86,50269.00,66.18,67496.00,4466903.00,在售,住宅
B4栋23层2座2304,88.70,49528.00,66.07,66492.00,4393133.00,在售,住宅
B4栋22层2座2303,85.58,46668.00,63.74,62658.00,3993847.00,在售,住宅
B4栋22层2座2302,85.58,46668.00,63.74,62658.00,3993847.00,在售,住宅
B4栋22层2座2301,88.86,50214.00,66.18,67422.00,4462016.00,在售,住宅
B4栋22层2座2204,88.70,49473.00,66.07,66418.00,4388255.00,在售,住宅
B4栋22层2座2203,85.58,46613.00,63.74,62584.00,3989140.00,在售,住宅
B4栋22层2座2202,85.58,46613.00,63.74,62584.00,3989140.00,在售,住宅
B4栋22层2座2201,88.86,50159.00,66.18,67348.00,4457128.00,在售,住宅
B4栋21层2座2104,88.70,49418.00,66.07,66344.00,4383376.00,在售,住宅
B4栋21层2座2103,85.58,46558.00,63.74,62510.00,3984433.00,在售,住宅
B4栋21层2座2102,85.58,46558.00,63.74,62510.00,3984433.00,在售,住宅
B4栋21层2座2101,88.86,50104.00,66.18,67274.00,4452241.00,在售,住宅
B4栋20层2座2004,88.70,49363.00,66.07,66270.00,4378498.00,在售,住宅
B4栋20层2座2003,85.58,46503.00,63.74,62436.00,3979726.00,在售,住宅
B4栋20层2座2002,85.58,46503.00,63.74,62436.00,3979726.00,在售,住宅
B4栋20层2座2001,88.86,50049.00,66.18,67200.00,4447354.00,在售,住宅
B4栋19层2座1904,88.70,40740.00,66.07,54694.08,3613638.00,在售,住宅
B4栋19层2座1903,85.58,46371.00,63.74,62259.00,3968430.00,在售,住宅
B4栋19层2座1902,85.58,46371.00,63.74,62259.00,3968430.00,在售,住宅
B4栋18层2座1901,88.86,49917.00,66.18,67023.00,4435624.00,在售,住宅
B4栋18层2座1804,88.70,49099.00,66.07,65916.00,4355081.00,在售,住宅
B4栋18层2座1803,85.58,46239.00,63.74,62082.00,3957133.00,在售,住宅
B4栋18层2座1802,85.58,46239.00,63.74,62082.00,3957133.00,在售,住宅
B4栋18层2座1801,88.86,49785.00,66.18,66846.00,4423895.00,在售,住宅
B4栋17层2座1704,88.70,48967.00,66.07,65738.00,4343372.00,在售,住宅
