房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
1栋1604,257.88,94199.00,185.22,131152.34,24292038.12,在售,复式办公
1栋1603,127.74,96199.00,86.30,142392.35,12288460.26,在售,办公
1栋1602,388.19,95699.00,262.25,141656.41,37149394.81,在售,办公
1栋1601,396.99,95199.00,268.20,140913.68,37793051.01,在售,办公
1栋1504,135.15,93999.00,89.66,141690.43,12703964.85,在售,办公
1栋1503,135.15,95999.00,89.66,144705.16,12974264.85,在售,办公
1栋1502,400.26,95499.00,265.51,143966.06,38224429.74,在售,办公
1栋1501,408.90,94999.00,271.25,143207.70,38845091.10,在售,办公
1栋1404,135.18,93799.00,89.66,141420.35,12679748.82,在售,办公
1栋1403,135.18,95799.00,89.66,144435.74,12950108.82,在售,办公
1栋1402,400.29,95299.00,265.48,143691.56,38147236.71,在售,办公
1栋1401,407.65,94799.00,270.37,142933.06,38644812.35,在售,办公
1栋1304,135.15,93599.00,89.66,141087.49,12649904.85,在售,办公
1栋1303,135.15,95599.00,89.66,144102.21,12920204.85,在售,办公
1栋1302,400.26,95099.00,265.51,143363.05,38064325.74,在售,办公
1栋1301,408.90,94599.00,271.25,142604.72,38681531.10,在售,办公
1栋1204,135.18,93399.00,89.66,140817.27,12625676.82,在售,办公
1栋1203,135.18,95399.00,89.66,143832.66,12896036.82,在售,办公
1栋1202,400.29,94899.00,265.48,143088.44,37987120.71,在售,办公
1栋1201,407.65,94399.00,270.37,142329.96,38481752.35,在售,办公
1栋1104,135.15,93199.00,89.66,140484.55,12595844.85,在售,办公
1栋1103,135.15,95199.00,89.66,143499.27,12866144.85,在售,办公
1栋1102,400.26,94699.00,265.51,142760.05,37904221.74,在售,办公
1栋1101,408.90,94199.00,271.25,142001.73,38517971.10,在售,办公
1栋1004,135.18,92999.00,89.66,140214.19,12571604.82,在售,办公
1栋1003,135.18,94999.00,89.66,143229.58,12841964.82,在售,办公
1栋1002,400.29,94499.00,265.48,142485.32,37827004.71,在售,办公
1栋1001,407.65,93999.00,270.37,141726.86,38318692.35,在售,办公
1栋904,135.15,92799.00,89.66,139881.60,12541784.85,在售,办公
1栋903,135.15,94799.00,89.66,142896.32,12812084.85,在售,办公
1栋902,400.26,94299.00,265.51,142157.04,37744117.74,在售,办公
1栋901,408.90,93799.00,271.25,141398.75,38354411.10,在售,办公
1栋804,135.18,92599.00,89.66,139611.11,12517532.82,在售,办公
1栋803,135.18,94599.00,89.66,142626.50,12787892.82,在售,办公
1栋802,400.29,94099.00,265.48,141882.20,37666888.71,在售,办公
1栋801,407.65,93599.00,270.37,141123.76,38155632.35,在售,办公
1栋704,135.15,92399.00,89.66,139278.66,12487724.85,在售,办公
1栋703,135.15,94399.00,89.66,142293.38,12758024.85,在售,办公
1栋702,400.26,93899.00,265.51,141554.04,37584013.74,在售,办公
1栋701,408.90,93399.00,271.25,140795.76,38190851.10,在售,办公
1栋604,135.18,92199.00,89.66,139008.03,12463460.82,在售,办公
1栋603,135.18,94199.00,89.66,142023.43,12733820.82,在售,办公
1栋602,400.29,93699.00,265.48,141279.08,37506772.71,在售,办公
1栋601,407.65,93199.00,270.37,140520.66,37992572.35,在售,办公
1栋504,135.23,91999.00,89.66,138757.80,12441024.77,在售,办公
1栋503,135.23,93999.00,89.66,141774.31,12711484.77,在售,办公
1栋502,396.47,93499.00,262.86,141023.92,37069548.53,在售,办公
1栋501,409.07,92999.00,271.21,140271.74,38043100.93,在售,办公
1栋405,698.15,90899.00,476.63,133145.49,63461136.85,在售,办公
1栋404,135.99,91899.00,92.85,134597.14,12497345.01,在售,办公
1栋403,131.32,93899.00,89.66,137528.62,12330816.68,在售,办公
1栋402,182.78,93399.00,124.79,136801.58,17071469.22,在售,办公
1栋401,213.24,92899.00,145.58,136074.89,19809782.76,在售,办公
1栋305,736.94,90799.00,497.71,134442.57,66913415.06,在售,办公
1栋304,132.50,91799.00,89.49,135918.73,12163367.50,在售,办公
1栋303,127.78,93799.00,86.30,138883.38,11985636.22,在售,办公
1栋302,182.82,93299.00,123.47,138146.29,17056923.18,在售,办公
1栋301,215.30,92799.00,145.40,137411.44,19979624.70,在售,办公
1栋202,76.04,93199.00,49.77,142392.04,7086851.96,在售,办公
1栋201,477.03,92699.00,312.24,141622.,11639506.00,在售,商业
3栋121,66.50,172335.00,60.73,188708.67,11460278.00,在售,商业
3栋120,55.69,167335.00,50.87,183190.21,9318886.00,在售,商业
3栋119,50.41,168335.00,46.04,184312.92,8485767.00,在售,商业
3栋118,48.61,168335.00,44.40,184296.48,8182764.00,在售,商业
3栋117,42.33,168335.00,38.66,184315.08,7125621.00,在售,商业
3栋116,58.61,167335.00,53.53,183215.09,9807504.00,在售,商业
3栋115,48.72,168335.00,44.50,184298.44,8201281.00,在售,商业
3栋114,56.13,167335.00,51.27,183197.07,9392514.00,在售,商业
3栋113,48.13,168335.00,43.96,184303.09,8101964.00,在售,商业
3栋112,56.88,167335.00,51.95,183214.91,9518015.00,在售,商业
3栋111,54.15,167335.00,49.45,183239.43,9061190.00,在售,商业
3栋110,66.23,167335.00,60.49,183213.70,11082597.00,在售,商业
3栋109,46.03,168335.00,42.04,184311.60,7748460.00,在售,商业
3栋108,80.10,167335.00,73.16,183208.50,13403534.00,在售,商业
3栋107,76.15,167335.00,69.55,183214.37,12742560.00,在售,商业
3栋106,35.44,163335.00,32.37,178825.82,5788592.00,在售,商业
3栋105,51.23,163335.00,46.79,178834.19,8367652.00,在售,商业
3栋104,36.92,163335.00,33.72,178835.34,6030328.00,在售,商业
3栋103,37.61,163335.00,34.35,178836.36,6143029.00,在售,商业
3栋102,38.72,96799.00,35.36,105997.08,3748057.00,在售,办公
3栋101,63.71,96799.00,58.19,105981.50,6167064.00,在售,办公
2栋504,232.03,91790.69,126.24,168711.94,21298195.58,在售,办公
2栋503,286.50,95063.00,159.29,170980.91,27235550.00,在售,办公
2栋502,349.63,94563.00,194.39,170081.08,33062062.00,在售,办公
2栋501,231.10,92953.48,125.74,170841.03,21481551.16,在售,办公
2栋404,218.45,91674.41,121.13,165328.79,20026276.74,在售,办公
2栋403,285.72,94963.00,158.44,171249.86,27132828.00,在售,办公
2栋402,348.76,94463.00,193.39,170354.80,32944916.00,在售,办公
2栋401,217.58,92837.20,120.65,167422.46,20199520.00,在售,办公
2栋304,454.49,91558.13,268.85,154778.71,41612258.83,在售,多功能厅
2栋303,204.47,94863.00,120.95,160369.06,19396638.00,在售,办公
2栋302,595.54,94363.00,352.29,159518.97,56196941.00,在售,办公
2栋301,203.60,92720.93,120.44,156741.79,18877981.39,在售,办公
2栋204,442.46,91441.86,252.50,160235.11,40459365.58,在售,办公
2栋203,211.84,94763.00,120.89,166056.69,20074594.00,在售,办公
2栋202,344.74,94263.00,196.73,165181.85,32496227.00,在售,办公
2栋201,211.00,92604.65,120.41,162275.40,19539581.39,在售,办公
2栋105,86.57,96763.00,54.99,152332.66,8376773.00,在售,办公
2栋104,86.57,96763.00,54.98,152360.36,8376773.00,在售,办公
2栋103,54.26,94663.00,34.47,149011.14,5136414.00,在售,办公
2栋102,344.93,94263.00,219.08,148412.16,32514137.00,在售,办公
2栋101,54.27,94663.00,34.47,149038.61,5137361.00,在售,办公
