房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
4栋01层169,79.09,111833.56,75.36,117368.85,8844917.04,在售,商业
4栋01层168,68.53,111833.56,65.29,117383.28,7663954.54,在售,商业
4栋01层167,91.42,106508.16,87.10,111790.77,9736976.15,在售,商业
4栋01层166,79.09,111833.56,75.36,117368.85,8844917.04,在售,商业
4栋01层165,79.09,111833.56,75.36,117368.85,8844917.04,在售,商业
4栋01层164,68.53,111833.56,65.29,117383.28,7663954.54,在售,商业
4栋01层163,94.57,106508.16,90.11,111779.78,10072476.86,在售,商业
4栋01层162,79.09,111833.56,75.36,117368.85,8844917.04,在售,商业
4栋01层161,79.09,111833.56,75.36,117368.85,8844917.04,在售,商业
4栋01层160,68.53,111833.56,65.29,117383.28,7663954.54,在售,商业
4栋01层159,91.41,106508.16,87.10,111778.54,9735911.07,在售,商业
4栋01层158,79.09,111833.56,75.36,117368.85,8844917.04,在售,商业
4栋01层157,102.16,106508.16,97.34,111782.14,10880873.81,在售,商业
4栋01层156,80.79,111833.56,76.97,117383.83,9035034.11,在售,商业
4栋01层155,82.32,111833.56,78.43,117380.33,9206139.47,在售,商业
4栋01层154,109.34,106508.16,104.18,111783.47,11645602.41,在售,商业
4栋01层153,95.85,106508.16,91.32,111791.58,10208807.31,在售,商业
4栋01层152,99.72,106508.16,95.01,111788.16,10620993.89,在售,商业
4栋01层151,77.34,111833.56,73.69,117372.89,8649208.29,在售,商业
4栋01层150,37.54,123016.92,35.77,129104.14,4618055.43,在售,商业
4栋01层149,62.18,117425.24,59.24,123252.90,7301501.94,在售,商业
4栋01层148,294.58,100650.21,280.67,105638.43,29649539.72,在售,商业
3栋C座01层147,231.40,100650.21,225.03,103499.35,23290459.27,在售,商业
3栋C座01层146,50.80,117425.24,49.40,120753.08,5965202.62,在售,商业
3栋C座01层145,65.89,117425.24,64.08,120742.03,7737149.61,在售,商业
3栋C座01层144,64.62,111833.56,62.84,115001.35,7226685.28,在售,商业
3栋C座01层143,53.55,111833.56,52.07,115012.24,5988687.67,在售,商业
3栋C座01层142,107.70,106508.16,104.73,109528.58,11470929.03,在售,商业
3栋C座01层141,62.39,111833.56,60.67,115004.06,6977296.42,在售,商业
3栋C座01层140,59.01,111833.56,57.39,114990.39,6599298.96,在售,商业
