房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
1栋F座307,93.18,78000.00,79.56,91352.94,7268040.00,在售,办公
1栋F座306,86.91,78000.00,74.20,91360.91,6778980.00,在售,办公
1栋F座305,93.18,78000.00,79.56,91352.94,7268040.00,在售,办公
1栋F座303,93.18,78000.00,79.56,91352.94,7268040.00,在售,办公
1栋F座302,86.91,78000.00,74.20,91360.91,6778980.00,在售,办公
1栋F座301,93.18,78000.00,79.56,91352.94,7268040.00,在售,办公
1栋F座207,105.91,78000.00,79.56,103833.33,8260980.00,在售,办公
1栋F座206,98.78,78000.00,74.20,103838.81,7704840.00,在售,办公
1栋F座205,105.91,78000.00,79.56,103833.33,8260980.00,在售,办公
1栋F座203,105.91,78000.00,79.56,103833.33,8260980.00,在售,办公
1栋F座202,98.78,78000.00,74.20,103838.81,7704840.00,在售,办公
1栋F座201,105.91,78000.00,79.56,103833.33,8260980.00,在售,办公
1栋E座307,93.18,78000.00,79.56,91352.94,7268040.00,在售,办公
1栋E座306,86.91,78000.00,74.20,91360.91,6778980.00,在售,办公
1栋E座305,93.18,78000.00,79.56,91352.94,7268040.00,在售,办公
1栋E座303,93.18,78000.00,79.56,91352.94,7268040.00,在售,办公
1栋E座302,86.91,78000.00,74.20,91360.91,6778980.00,在售,办公
1栋E座301,93.18,78000.00,79.56,91352.94,7268040.00,在售,办公
1栋E座207,105.91,78000.00,79.56,103833.33,8260980.00,在售,办公
1栋E座206,98.78,78000.00,74.20,103838.81,7704840.00,在售,办公
1栋E座205,105.91,78000.00,79.56,103833.33,8260980.00,在售,办公
1栋E座203,105.91,78000.00,79.56,103833.33,8260980.00,在售,办公
1栋E座202,98.78,78000.00,74.20,103838.81,7704840.00,在售,办公
1栋E座201,105.91,78000.00,79.56,103833.33,8260980.00,在售,办公
1栋D座307,93.19,78000.00,79.56,91362.74,7268820.00,在售,办公
1栋D座306,86.91,78000.00,74.20,91360.91,6778980.00,在售,办公
1栋D座305,93.18,78000.00,79.56,91352.94,7268040.00,在售,办公
1栋D座303,93.18,78000.00,79.56,91352.94,7268040.00,在售,办公
1栋D座302,86.91,78000.00,74.20,91360.91,6778980.00,在售,办公
1栋D座301,93.19,78000.00,79.56,91362.74,7268820.00,在售,办公
1栋D座207,105.91,78000.00,79.56,103833.33,8260980.00,在售,办公
1栋D座206,98.78,78000.00,74.20,103838.81,7704840.00,在售,办公
1栋D座205,105.91,78000.00,79.56,103833.33,8260980.00,在售,办公
1栋D座203,105.91,78000.00,79.56,103833.33,8260980.00,在售,办公
1栋D座202,98.78,78000.00,74.20,103838.81,7704840.00,在售,办公
1栋D座201,105.91,78000.00,79.56,103833.33,8260980.00,在售,办公
1栋B座2单元2803,243.85,87700.00,190.34,112354.97,21385645.00,在售,住宅
1栋B座2单元2802,223.46,87700.00,174.43,112351.32,19597442.00,在售,住宅
1栋B座2单元2801,296.82,87700.00,231.69,112353.20,26031114.00,在售,住宅
1栋B座2单元2703,138.72,91100.00,108.28,116710.30,12637392.00,在售,住宅
1栋B座2单元2702,125.26,94400.00,97.78,120930.08,11824544.00,在售,住宅
1栋B座2单元2701,165.92,91100.00,129.51,116711.54,15115312.00,在售,住宅
1栋B座2单元2603,138.72,90600.00,108.28,116069.74,12568032.00,在售,住宅
1栋B座2单元2602,125.26,85350.00,97.78,109336.68,10690941.00,在售,住宅
