房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
9栋3802,231.45,112000.00,183.76,141066.60,25922400.00,在售,住宅
9栋3702,231.45,112000.00,183.76,141066.60,25922400.00,在售,住宅
9栋3602,231.45,111700.00,183.76,140688.75,25852965.00,在售,住宅
9栋3502,231.45,108400.00,183.76,136532.32,25089180.00,在售,住宅
9栋3402,231.45,108100.00,183.76,136154.46,25019745.00,在售,住宅
9栋3302,231.45,107800.00,183.76,135776.61,24950310.00,在售,住宅
9栋3202,231.45,107500.00,183.76,135398.75,24880875.00,在售,住宅
9栋3102,231.45,107200.00,183.76,135020.89,24811440.00,在售,住宅
9栋3002,231.45,105400.00,183.76,132753.75,24394830.00,在售,住宅
9栋2902,231.45,105100.00,183.76,132375.89,24325395.00,在售,住宅
9栋2702,231.45,104500.00,183.76,131620.18,24186525.00,在售,住宅
9栋2602,231.45,104200.00,183.76,131242.32,24117090.00,在售,住宅
9栋2502,231.45,103900.00,183.76,130864.46,24047655.00,在售,住宅
9栋2402,231.45,103600.00,183.76,130486.61,23978220.00,在售,住宅
9栋2302,231.45,103300.00,183.76,130108.75,23908785.00,在售,住宅
9栋2202,231.45,103000.00,183.76,129730.89,23839350.00,在售,住宅
9栋2102,231.45,102700.00,183.76,129353.04,23769915.00,在售,住宅
9栋2002,231.45,102400.00,183.76,128975.18,23700480.00,在售,住宅
9栋1902,231.45,102100.00,183.76,128597.32,23631045.00,在售,住宅
9栋1802,231.45,101800.00,183.76,128219.47,23561610.00,在售,住宅
9栋1702,231.45,101500.00,183.76,127841.61,23492175.00,在售,住宅
9栋1602,231.45,101200.00,183.76,127463.75,23422740.00,在售,住宅
9栋1502,231.45,100900.00,183.76,127085.90,23353305.00,在售,住宅
9栋1402,231.45,100600.00,183.76,126708.04,23283870.00,在售,住宅
9栋1202,231.45,100000.00,183.76,125952.32,23145000.00,在售,住宅
9栋1102,231.45,98700.00,183.76,124314.94,22844115.00,在售,住宅
9栋1002,231.45,98400.00,183.76,123937.09,22774680.00,在售,住宅
9栋902,231.45,98100.00,183.76,123559.23,22705245.00,在售,住宅
9栋802,231.45,97800.00,183.76,123181.37,22635810.00,在售,住宅
9栋702,231.45,97500.00,183.76,122803.52,22566375.00,在售,住宅
9栋602,231.45,97200.00,183.76,122425.66,22496940.00,在售,住宅
9栋502,231.45,96900.00,183.76,122047.80,22427505.00,在售,住宅
9栋402,231.45,96600.00,183.76,121669.94,22358070.00,在售,住宅
9栋302,231.45,96300.00,183.76,121292.09,22288635.00,在售,住宅
9栋202,231.45,94000.00,183.76,118395.18,21756300.00,在售,住宅
