房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
5栋3105,85.76,57035.00,69.84,70036.59,4891355.95,在售,住宅
5栋3103,88.24,56999.00,71.86,69991.03,5029556.05,在售,住宅
5栋3102,88.24,56999.00,71.86,69991.03,5029556.05,在售,住宅
5栋3101,215.49,75762.00,176.38,92561.38,16325977.42,在售,住宅
5栋3005,85.68,57035.00,69.84,69971.25,4886792.75,在售,住宅
5栋3003,88.05,56999.00,71.77,69927.91,5018726.50,在售,住宅
5栋3002,88.05,56999.00,71.77,69927.91,5018726.50,在售,住宅
5栋3001,140.12,51274.00,114.22,62901.26,7184582.01,在售,住宅
5栋2905,85.68,57001.00,69.84,69928.94,4883837.25,在售,住宅
5栋2903,88.05,56964.00,71.77,69885.59,5015689.35,在售,住宅
5栋2902,88.05,56964.00,71.77,69885.59,5015689.35,在售,住宅
5栋2901,140.12,51229.00,114.22,62845.52,7178215.87,在售,住宅
5栋2805,85.68,56966.00,69.84,69886.60,4880880.60,在售,住宅
5栋2803,88.05,56930.00,71.77,69843.26,5012651.05,在售,住宅
5栋2802,88.05,56930.00,71.77,69843.26,5012651.05,在售,住宅
5栋2801,140.12,51184.00,114.22,62789.77,7171848.59,在售,住宅
5栋2706,145.16,60651.00,118.32,74409.21,8804098.70,在售,住宅
5栋2705,85.68,56932.00,69.84,69844.28,4877925.10,在售,住宅
5栋2703,88.05,56895.00,71.77,69800.94,5009613.90,在售,住宅
5栋2702,88.05,56895.00,71.77,69800.94,5009613.90,在售,住宅
5栋2701,140.12,51138.00,114.22,62734.03,7165481.31,在售,住宅
5栋2605,85.68,56897.00,69.84,69801.97,4874969.60,在售,住宅
5栋2603,88.05,56861.00,71.77,69758.61,5006575.60,在售,住宅
5栋2602,88.05,56861.00,71.77,69758.61,5006575.60,在售,住宅
5栋2601,140.12,51093.00,114.22,62678.28,7159114.03,在售,住宅
5栋2506,145.16,60582.00,118.32,74324.57,8794083.35,在售,住宅
5栋2505,85.68,56863.00,69.84,69759.63,4872012.95,在售,住宅
5栋2503,88.05,56826.00,71.77,69716.29,5003538.45,在售,住宅
5栋2502,88.05,56826.00,71.77,69716.29,5003538.45,在售,住宅
5栋2501,140.12,51047.00,114.22,62622.54,7152746.75,在售,住宅
5栋2406,145.16,60548.00,118.32,74282.24,8789075.10,在售,住宅
5栋2405,85.68,56828.00,69.84,69717.31,4869057.45,在售,住宅
5栋2403,88.05,56792.00,71.77,69673.96,5000500.15,在售,住宅
5栋2402,88.05,56792.00,71.77,69673.96,5000500.15,在售,住宅
5栋2401,140.12,51002.00,114.22,62566.80,7146380.60,在售,住宅
5栋2305,85.68,56794.00,69.84,69674.98,4866100.80,在售,住宅
5栋2303,88.05,56757.00,71.77,69631.64,4997463.00,在售,住宅
5栋2302,88.05,56757.00,71.77,69631.64,4997463.00,在售,住宅
5栋2206,145.16,60478.00,118.32,74197.58,8779058.60,在售,住宅
5栋2205,85.68,56759.00,69.84,69632.66,4863145.30,在售,住宅
5栋2203,88.05,56723.00,71.77,69589.30,4994424.70,在售,住宅
5栋2202,88.05,56723.00,71.77,69589.30,4994424.70,在售,住宅
5栋2201,140.12,50911.00,114.22,62455.31,7133646.04,在售,住宅
5栋2106,145.16,60444.00,118.32,74155.26,8774051.50,在售,住宅
5栋2105,85.68,56725.00,69.84,69590.34,4860189.80,在售,住宅
5栋2103,88.05,56688.00,71.77,69546.99,4991387.55,在售,住宅
5栋2102,88.05,56688.00,71.77,69546.99,4991387.55,在售,住宅
5栋2101,140.12,50866.00,114.22,62399.56,7127278.76,在售,住宅
5栋2005,85.68,56690.00,69.84,69548.01,4857233.15,在售,住宅
5栋2003,88.05,56654.00,71.77,69504.65,4988349.25,在售,住宅
5栋2002,88.05,56654.00,71.77,69504.65,4988349.25,在售,住宅
5栋1906,145.16,60375.00,118.32,74070.61,8764035.00,在售,住宅
5栋1905,85.68,56656.00,69.84,69505.69,4854277.65,在售,住宅
5栋1903,88.05,56619.00,71.77,69462.33,4985312.10,在售,住宅
5栋1902,88.05,56619.00,71.77,69462.33,4985312.10,在售,住宅
5栋1901,140.12,50775.00,114.22,62288.08,7114545.34,在售,住宅
5栋1806,145.16,60340.00,118.32,74028.28,8759026.75,在售,住宅
5栋1805,85.68,56621.00,69.84,69463.35,4851321.00,在售,住宅
5栋1803,88.05,56585.00,71.77,69420.00,4982273.80,在售,住宅
5栋1802,88.05,56585.00,71.77,69420.00,4982273.80,在售,住宅
5栋1801,140.12,50729.00,114.22,62232.34,7108178.06,在售,住宅
5栋1706,145.16,60306.00,118.32,73985.95,8754018.50,在售,住宅
5栋1705,85.68,56587.00,69.84,69421.04,4848365.50,在售,住宅
5栋1703,88.05,56550.00,71.77,69377.68,4979236.65,在售,住宅
5栋1702,88.05,56550.00,71.77,69377.68,4979236.65,在售,住宅
5栋1701,140.12,50684.00,114.22,62176.59,7101810.78,在售,住宅
5栋1606,145.16,60272.00,118.32,73943.63,8749011.40,在售,住宅
5栋1605,85.68,56552.00,69.84,69378.72,4845410.00,在售,住宅
5栋1603,88.05,56516.00,71.77,69335.35,4976198.35,在售,住宅
5栋1602,88.05,56516.00,71.77,69335.35,4976198.35,在售,住宅
