房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
8栋116,4762.44,81145.49,4200.38,92003.71,386450575.00,在售,商业
8栋114,48.34,81145.49,42.83,91584.70,3922573.00,在售,商业
8栋113,44.02,81145.50,39.00,91590.38,3572025.00,在售,商业
8栋112,93.36,81145.50,82.71,91594.05,7575744.00,在售,商业
8栋111,44.78,81145.48,39.67,91598.05,3633695.00,在售,商业
8栋110,63.79,81145.49,56.52,91582.99,5176271.00,在售,商业
8栋109,26.00,81145.50,23.04,91570.44,2109783.00,在售,商业
8栋108,72.61,81145.50,64.32,91604.08,5891975.00,在售,商业
8栋107,65.99,81145.50,58.46,91597.53,5354792.00,在售,商业
8栋106,65.99,81145.50,58.46,91597.53,5354792.00,在售,商业
8栋105,73.89,81145.50,65.46,91595.49,5995841.00,在售,商业
8栋103,26.00,81145.50,23.04,91570.44,2109783.00,在售,商业
8栋102,61.76,81145.49,54.71,91602.01,5011546.00,在售,商业
8栋101,109.67,81145.50,97.16,91593.52,8899227.00,在售,商业
7栋112,1108.07,80845.49,1067.30,83933.73,89582473.00,在售,商业
7栋111,41.28,80845.49,39.76,83936.16,3337302.00,在售,商业
7栋110,55.24,80845.49,53.21,83929.80,4465905.00,在售,商业
7栋109,59.04,80845.49,56.87,83930.33,4773118.00,在售,商业
7栋108,53.11,80845.50,51.16,83926.99,4293705.00,在售,商业
7栋107,49.82,80845.50,47.98,83945.87,4027723.00,在售,商业
