房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
B1703,87.78,44915.41,64.28,61335.95,3942675.00,在售,住宅
B1702,83.93,39532.55,61.47,53977.01,3317967.00,在售,住宅
B1701,89.17,45487.46,65.30,62115.11,4056117.00,在售,住宅
B1603,87.76,44916.51,64.28,61323.47,3941873.00,在售,住宅
B1602,83.92,39532.67,61.47,53970.74,3317582.00,在售,住宅
B1601,89.68,45472.34,65.68,62088.30,4077960.00,在售,住宅
B1503,87.76,44616.51,64.28,60913.89,3915545.00,在售,住宅
B1502,83.92,39244.67,61.47,53577.56,3293413.00,在售,住宅
B1501,89.68,45172.34,65.68,61678.68,4051056.00,在售,住宅
B1403,87.76,44316.51,64.28,60504.30,3889217.00,在售,住宅
