房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
367,32.96,31016.38,18.04,56668.51,1022300.00,在售,
366,29.59,31013.86,16.19,56683.14,917700.00,在售,
365,31.84,31014.45,17.43,56655.19,987500.00,在售,
364,46.62,31014.59,25.52,56657.52,1445900.00,在售,
363,46.62,31014.59,25.52,56657.52,1445900.00,在售,
362,42.59,31016.67,23.31,56670.96,1321000.00,在售,
361,43.41,31015.89,23.76,56666.67,1346400.00,在售,
360,68.47,31016.50,37.47,56677.34,2123700.00,在售,
359,27.87,31015.43,15.26,56644.82,864400.00,在售,
358,27.02,31014.06,14.79,56659.91,838000.00,在售,
357,48.55,31015.45,26.57,56672.94,1505800.00,在售,
356,37.45,31014.69,20.50,56658.54,1161500.00,在售,
355,27.13,31013.64,14.85,56659.93,841400.00,在售,
354,32.13,31014.63,17.58,56683.73,996500.00,在售,
353,24.04,31014.98,13.16,56656.53,745600.00,在售,
352,24.67,31013.38,13.50,56674.07,765100.00,在售,
351,21.62,31012.95,11.84,56630.07,670500.00,在售,
350,27.62,31013.76,15.11,56690.93,856600.00,在售,
349,29.45,31015.28,16.12,56662.53,913400.00,在售,
348,32.96,31016.38,18.04,56668.51,1022300.00,在售,
347,34.57,31015.33,18.92,56670.19,1072200.00,在售,
346,28.15,31015.99,15.41,56658.01,873100.00,在售,
345,44.40,31015.77,24.30,56670.78,1377100.00,在售,
344,82.45,31016.37,45.12,56677.75,2557300.00,在售,
343,79.76,31015.55,43.65,56673.54,2473800.00,在售,
342,88.90,31015.75,48.66,56664.61,2757300.00,在售,
341,44.77,31016.31,24.50,56677.55,1388600.00,在售,
340,36.50,31016.44,19.98,56661.66,1132100.00,在售,
339,30.97,31013.88,16.95,56666.67,960500.00,在售,
338,33.55,31016.39,18.36,56677.56,1040600.00,在售,
337,20.67,31015.97,11.31,56684.35,641100.00,在售,
336,23.84,31015.10,13.05,56659.00,739400.00,在售,
335,38.57,31016.33,21.11,56669.82,1196300.00,在售,
334,39.26,31016.30,21.48,56689.94,1217700.00,在售,
333,40.93,31016.37,22.40,56674.11,1269500.00,在售,
332,55.29,31016.46,30.26,56672.17,1714900.00,在售,
331,56.88,31016.17,31.13,56672.02,1764200.00,在售,
330,92.73,31015.85,50.75,56671.92,2876100.00,在售,
329,74.06,31015.39,40.53,56674.07,2297000.00,在售,
328,104.30,31016.30,57.08,56674.84,3235000.00,在售,
327,140.24,31016.12,76.75,56673.62,4349700.00,在售,
326,47.43,31016.23,25.96,56667.95,1471100.00,在售,
325,83.70,31015.53,45.81,56668.85,2596000.00,在售,
324,60.04,31015.99,32.86,56670.72,1862200.00,在售,
323,63.80,31015.67,34.92,56666.67,1978800.00,在售,
322,112.81,31015.87,61.74,56671.53,3498900.00,在售,
321,105.47,31016.40,57.72,56675.33,3271300.00,在售,
320,67.44,31015.72,36.91,56670.28,2091700.00,在售,
319,67.06,31015.51,36.70,56673.02,2079900.00,在售,
318,37.28,31016.63,20.40,56681.37,1156300.00,在售,
317,48.82,31015.98,26.72,56669.16,1514200.00,在售,
316,31.66,31013.90,17.33,56658.97,981900.00,在售,
315,49.29,31016.43,26.98,56664.20,1528800.00,在售,
314,42.96,31014.90,23.51,56673.76,1332400.00,在售,
313,107.83,31016.41,59.01,56676.83,3344500.00,在售,
310,146.19,31016.49,80.01,56671.67,4534300.00,在售,
309,21.58,31014.83,11.81,56672.31,669300.00,在售,
308,25.69,31015.96,14.06,56671.41,796800.00,在售,
307,21.24,31012.24,11.63,56638.01,658700.00,在售,
306,36.64,31015.28,20.06,56650.05,1136400.00,在售,
305,21.58,31014.83,11.81,56672.31,669300.00,在售,
304,26.75,31013.08,14.64,56666.67,829600.00,在售,
303,37.00,31016.22,20.25,56671.60,1147600.00,在售,
302,28.44,31016.17,15.56,56690.23,882100.00,在售,
301,24.74,31014.55,13.54,56669.13,767300.00,在售,
2100,53.37,50400.97,29.21,92088.33,2689900.00,在售,
299,32.56,50399.26,17.82,92087.54,1641000.00,在售,
298,29.97,50400.40,16.40,92103.66,1510500.00,在售,
297,31.09,50402.06,17.02,92068.16,1567000.00,在售,
296,33.34,50401.92,18.25,92076.71,1680400.00,在售,
