房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
B3202,85.65,34208.26,63.14,46403.83,2929938.00,在售,住宅
B3201,89.56,34365.55,66.02,46618.88,3077779.00,在售,住宅
B3102,85.65,34208.26,63.14,46403.83,2929938.00,在售,住宅
B3101,89.56,34365.55,66.02,46618.88,3077779.00,在售,住宅
B3002,85.65,34104.12,63.14,46262.55,2921018.00,在售,住宅
B3001,89.56,34261.42,66.02,46477.62,3068453.00,在售,住宅
B2902,85.65,33999.98,63.14,46121.30,2912099.00,在售,住宅
B2901,89.56,34157.28,66.02,46336.35,3059126.00,在售,住宅
B2802,85.65,33895.85,63.14,45980.04,2903180.00,在售,住宅
B2801,89.56,34053.14,66.02,46195.09,3049800.00,在售,住宅
B2702,85.65,33791.72,63.14,45838.78,2894261.00,在售,住宅
B2701,89.56,33949.01,66.02,46053.83,3040474.00,在售,住宅
B2602,85.65,33687.58,63.14,45697.52,2885342.00,在售,住宅
B2601,89.56,33844.88,66.02,45912.57,3031148.00,在售,住宅
B2502,85.65,33583.45,63.14,45556.27,2876423.00,在售,住宅
B2501,89.56,33740.74,66.02,45771.29,3021821.00,在售,住宅
B2402,85.65,33479.32,63.14,45415.01,2867504.00,在售,住宅
B2401,89.56,33636.61,66.02,45630.03,3012495.00,在售,住宅
B2302,85.65,33375.18,63.14,45273.75,2858585.00,在售,住宅
B2301,89.56,33532.48,66.02,45488.77,3003169.00,在售,住宅
B2202,85.65,33271.05,63.14,45132.49,2849666.00,在售,住宅
B2201,89.56,33428.34,66.02,45347.51,2993843.00,在售,住宅
B2102,85.65,33166.92,63.14,44991.24,2840747.00,在售,住宅
B2101,89.56,33324.20,66.02,45206.24,2984516.00,在售,住宅
B2002,85.65,33062.79,63.14,44849.98,2831828.00,在售,住宅
B2001,89.56,33220.07,66.02,45064.98,2975190.00,在售,住宅
B1902,85.65,32958.64,63.14,44708.71,2822908.00,在售,住宅
B1901,89.56,33115.94,66.02,44923.72,2965864.00,在售,住宅
B1802,85.65,32854.51,63.14,44567.45,2813989.00,在售,住宅
B1801,89.56,33011.81,66.02,44782.45,2956538.00,在售,住宅
B1702,85.65,32750.37,63.14,44426.19,2805070.00,在售,住宅
B1701,89.56,32907.67,66.02,44641.18,2947211.00,在售,住宅
B1602,85.65,32646.24,63.14,44284.93,2796151.00,在售,住宅
B1601,89.56,32803.53,66.02,44499.92,2937885.00,在售,住宅
B1502,85.65,32542.11,63.14,44143.68,2787232.00,在售,住宅
