房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
4栋A座34C,107.75,89786.82,78.57,123132.00,9674530.00,在售,住宅
4栋A座34B,78.08,97601.10,56.94,133837.00,7620694.00,在售,住宅
4栋A座34A,107.89,94049.46,78.68,128965.00,10146996.00,在售,住宅
4栋A座33C,113.22,85226.37,82.56,116876.00,9649330.00,在售,住宅
4栋A座33B,81.60,93040.66,59.50,127598.00,7592118.00,在售,住宅
4栋A座33A,112.03,89489.01,81.69,122725.00,10025454.00,在售,住宅
4栋A座32C,113.22,85116.48,82.56,116725.00,9636888.00,在售,住宅
4栋A座32B,81.60,92930.77,59.50,127447.00,7583151.00,在售,住宅
4栋A座32A,113.26,89379.12,82.59,122570.00,10123080.00,在售,住宅
4栋A座31C,113.22,85006.59,82.56,116575.00,9624447.00,在售,住宅
4栋A座31B,81.60,92820.88,59.50,127297.00,7574184.00,在售,住宅
4栋A座31A,112.03,89269.23,81.69,122424.00,10000832.00,在售,住宅
4栋A座30C,113.22,84896.70,82.56,116424.00,9612005.00,在售,住宅
4栋A座30B,81.60,92710.99,59.50,127146.00,7565217.00,在售,住宅
4栋A座30A,113.26,89159.34,82.59,122268.00,10098187.00,在售,住宅
4栋A座29C,113.22,84786.81,82.56,116273.00,9599563.00,在售,住宅
4栋A座29B,81.60,92601.10,59.50,126995.00,7556250.00,在售,住宅
4栋A座29A,112.03,89049.45,81.69,122122.00,9976210.00,在售,住宅
4栋A座28C,113.22,84676.92,82.56,116123.00,9587121.00,在售,住宅
4栋A座28B,81.60,92491.21,59.50,126845.00,7547283.00,在售,住宅
4栋A座28A,113.26,88939.56,82.59,121967.00,10073295.00,在售,住宅
4栋A座27C,113.22,84567.03,82.56,115972.00,9574680.00,在售,住宅
4栋A座27B,81.60,92381.32,59.50,126694.00,7538316.00,在售,住宅
4栋A座27A,112.03,88829.67,81.69,121821.00,9951588.00,在售,住宅
4栋A座26C,113.22,84457.14,82.56,115821.00,9562238.00,在售,住宅
4栋A座26B,81.60,92271.43,59.50,126543.00,7529349.00,在售,住宅
4栋A座26A,113.26,88719.78,82.59,121666.00,10048403.00,在售,住宅
4栋A座25C,113.22,84347.25,82.56,115670.00,9549796.00,在售,住宅
4栋A座25B,81.60,92161.54,59.50,126392.00,7520382.00,在售,住宅
