房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
J座47E,89.50,66951.15,61.58,97306.39,5992128.00,在售,住宅
J座47D,92.07,87408.53,63.34,127055.63,8047704.00,在售,住宅
J座47C,75.45,87043.71,51.92,126491.67,6567448.00,在售,住宅
J座47B,92.14,86192.43,63.40,125264.52,7941771.00,在售,住宅
J座47A,89.50,87345.03,61.58,126946.75,7817381.00,在售,住宅
J座46E,89.69,66825.23,61.65,97219.05,5993555.00,在售,住宅
J座46D,89.75,67470.95,61.68,98176.36,6055518.00,在售,住宅
J座46C,75.46,65512.28,51.87,95306.67,4943557.00,在售,住宅
J座46B,89.82,66254.85,61.74,96388.25,5951011.00,在售,住宅
J座46A,89.69,65695.23,61.64,95590.62,5892206.00,在售,住宅
J座45E,89.57,66914.55,61.65,97218.76,5993537.00,在售,住宅
J座45D,92.48,65491.83,63.64,95171.04,6056685.00,在售,住宅
J座45C,75.44,65529.49,51.92,95214.65,4943545.00,在售,住宅
J座45B,92.55,64313.39,63.70,93441.20,5952205.00,在售,住宅
J座45A,89.57,65782.40,61.64,95589.39,5892130.00,在售,住宅
J座44E,89.69,66287.13,61.65,96436.22,5945293.00,在售,住宅
J座44D,89.75,66932.85,61.68,97393.38,6007224.00,在售,住宅
J座44C,75.46,64974.19,51.87,94523.86,4902953.00,在售,住宅
J座44B,89.82,65716.75,61.74,95605.42,5902679.00,在售,住宅
J座44A,89.69,65157.14,61.64,94807.65,5843944.00,在售,住宅
J座43E,89.57,66914.55,61.65,97218.76,5993537.00,在售,住宅
J座43D,92.48,65491.83,63.64,95171.04,6056685.00,在售,住宅
J座43C,75.44,65529.49,51.92,95214.65,4943545.00,在售,住宅
J座43B,92.55,64313.39,63.70,93441.20,5952205.00,在售,住宅
J座43A,89.57,65782.40,61.64,95589.39,5892130.00,在售,住宅
J座42E,89.69,66825.23,61.65,97219.05,5993555.00,在售,住宅
J座42D,89.75,67470.95,61.68,98176.36,6055518.00,在售,住宅
J座42C,75.46,65512.28,51.87,95306.67,4943557.00,在售,住宅
J座42B,89.82,66254.85,61.74,96388.25,5951011.00,在售,住宅
J座42A,89.69,65695.23,61.64,95590.62,5892206.00,在售,住宅
J座41E,89.57,66914.55,61.65,97218.76,5993537.00,在售,住宅
J座41D,92.48,65491.83,63.64,95171.04,6056685.00,在售,住宅
J座41C,75.44,65529.49,51.92,95214.65,4943545.00,在售,住宅
J座41B,92.55,64313.39,63.70,93441.20,5952205.00,在售,住宅
J座41A,89.57,65782.40,61.64,95589.39,5892130.00,在售,住宅
J座40E,89.69,66825.23,61.65,97219.05,5993555.00,在售,住宅
J座40D,89.75,67470.95,61.68,98176.36,6055518.00,在售,住宅
J座40C,75.46,65512.28,51.87,95306.67,4943557.00,在售,住宅
J座40B,89.82,66254.85,61.74,96388.25,5951011.00,在售,住宅
J座40A,89.69,65695.23,61.64,95590.62,5892206.00,在售,住宅
单元31C,134.62,81825.32,104.22,105693.00,11015325.00,在售,住宅
D座2单元31B,153.31,81149.59,118.69,104819.65,12441045.00,在售,住宅
D座2单元30A,199.95,83399.08,154.79,107730.78,16675648.00,在售,住宅
D座2单元30C,132.24,83272.67,102.38,107559.85,11011978.00,在售,住宅
D座2单元30B,153.27,81104.91,118.66,104761.09,12430951.00,在售,住宅
D座2单元29A,198.96,83743.49,154.03,108171.16,16661605.00,在售,住宅
D座2单元29C,134.62,81759.93,104.22,105608.53,11006522.00,在售,住宅
D座2单元29B,153.31,81018.81,118.69,104650.72,12420995.00,在售,住宅
D座2单元28A,199.95,83268.30,154.79,107561.84,16649498.00,在售,住宅
D座2单元28C,132.24,83207.28,102.38,107475.39,11003331.00,在售,住宅
D座2单元28B,153.27,80974.13,118.66,104592.16,12410906.00,在售,住宅
D座2单元27A,198.96,83612.71,154.03,108002.23,16635585.00,在售,住宅
D座2单元27C,134.62,81694.53,104.22,105524.06,10997718.00,在售,住宅
D座2单元27B,153.31,80888.03,118.69,104481.79,12400944.00,在售,住宅
D座2单元26A,199.95,84772.32,154.79,109504.66,16950227.00,在售,住宅
D座2单元26C,132.24,84776.69,102.38,109502.53,11210870.00,在售,住宅
D座2单元25A,198.96,83481.92,154.03,107833.30,16609564.00,在售,住宅
D座2单元25C,134.62,81629.14,104.22,105439.59,10988915.00,在售,住宅
D座2单元25B,153.31,80757.25,118.69,104312.86,12380894.00,在售,住宅
D座2单元24A,199.95,83006.73,154.79,107223.96,16597197.00,在售,住宅
D座2单元24C,132.24,83076.49,102.38,107306.46,10986036.00,在售,住宅
D座2单元24B,153.27,80712.56,118.66,104254.29,12370815.00,在售,住宅
D座2单元23A,198.96,83351.13,154.03,107664.36,16583542.00,在售,住宅
D座2单元23C,134.62,81563.75,104.22,105355.14,10980113.00,在售,住宅
D座2单元23B,153.31,80626.46,118.69,104143.93,12360844.00,在售,住宅
D座2单元22A,199.95,82875.95,154.79,107055.02,16571047.00,在售,住宅
D座2单元22C,132.24,83882.99,102.38,108348.18,11092687.00,在售,住宅
D座2单元22B,153.27,80581.77,118.66,104085.36,12350769.00,在售,住宅
D座2单元21A,198.96,83220.35,154.03,107495.43,16557522.00,在售,住宅
D座2单元21C,134.62,82370.25,104.22,106396.89,11088684.00,在售,住宅
D座2单元21B,153.31,80495.67,118.69,103974.99,12340792.00,在售,住宅
