房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
B座2806,109.59,77276.47,84.30,100459.41,8468729.00,在售,住宅
B座2805,95.75,75348.46,73.66,97944.82,7214616.00,在售,住宅
B座2804,92.14,75132.57,70.88,97668.10,6922715.00,在售,住宅
B座2803,70.03,73710.22,53.87,95821.92,5161927.00,在售,住宅
B座2802,71.30,72068.48,54.84,93699.54,5138483.00,在售,住宅
B座2801,86.25,69230.99,66.35,89995.07,5971173.00,在售,住宅
B座2706,109.59,77176.47,84.30,100329.41,8457770.00,在售,住宅
B座2705,95.75,75248.46,73.66,97814.83,7205041.00,在售,住宅
B座2704,92.14,75032.57,70.88,97538.10,6913501.00,在售,住宅
B座2703,70.03,73610.22,53.87,95691.92,5154924.00,在售,住宅
B座2702,71.30,71968.48,54.84,93569.52,5131353.00,在售,住宅
B座2701,86.25,69130.99,66.35,89865.07,5962548.00,在售,住宅
B座2606,109.59,77076.47,84.30,100199.41,8446811.00,在售,住宅
B座2605,95.75,75148.46,73.66,97684.84,7195466.00,在售,住宅
B座2604,92.14,74932.57,70.88,97408.11,6904287.00,在售,住宅
B座2603,70.03,73510.22,53.87,95561.92,5147921.00,在售,住宅
B座2602,71.30,71868.48,54.84,93439.51,5124223.00,在售,住宅
B座2601,86.25,69030.99,66.35,89735.08,5953923.00,在售,住宅
B座2506,109.59,76976.47,84.30,100069.41,8435852.00,在售,住宅
B座2505,95.75,75048.46,73.66,97554.86,7185891.00,在售,住宅
B座2504,92.14,74832.57,70.88,97278.11,6895073.00,在售,住宅
B座2503,70.03,73410.22,53.87,95431.92,5140918.00,在售,住宅
B座2502,71.30,71768.48,54.84,93309.50,5117093.00,在售,住宅
B座2501,86.25,68930.99,66.35,89605.09,5945298.00,在售,住宅
B座2406,109.59,76876.47,84.30,99939.41,8424893.00,在售,住宅
B座2405,95.75,74948.46,73.66,97424.87,7176316.00,在售,住宅
B座2404,92.14,74732.57,70.88,97148.12,6885859.00,在售,住宅
B座2403,70.03,73310.22,53.87,95301.93,5133915.00,在售,住宅
B座2402,71.30,71668.48,54.84,93179.48,5109963.00,在售,住宅
B座2401,86.25,68830.99,66.35,89475.10,5936673.00,在售,住宅
B座2306,109.59,76776.47,84.30,99809.41,8413934.00,在售,住宅
B座2305,95.75,74848.46,73.66,97294.88,7166741.00,在售,住宅
B座2304,92.14,74632.57,70.88,97018.12,6876645.00,在售,住宅
B座2303,70.03,73210.22,53.87,95171.93,5126912.00,在售,住宅
B座2302,71.30,71568.48,54.84,93049.47,5102833.00,在售,住宅
B座2301,86.25,68730.99,66.35,89345.10,5928048.00,在售,住宅
B座2206,109.59,76676.47,84.30,99679.41,8402975.00,在售,住宅
B座2205,95.75,74748.46,73.66,97164.89,7157166.00,在售,住宅
B座2204,92.14,74532.57,70.88,96888.13,6867431.00,在售,住宅
B座2203,70.03,73110.22,53.87,95041.93,5119909.00,在售,住宅
B座2202,71.30,71468.48,54.84,92919.45,5095703.00,在售,住宅
B座2201,86.25,68630.99,66.35,89215.11,5919423.00,在售,住宅
B座2106,109.59,76576.47,84.30,99549.41,8392016.00,在售,住宅
B座2105,95.75,74648.46,73.66,97034.90,7147591.00,在售,住宅
B座2104,92.14,74432.57,70.88,96758.14,6858217.00,在售,住宅
B座2103,70.03,73010.22,53.87,94911.93,5112906.00,在售,住宅
B座2102,71.30,71368.48,54.84,92789.44,5088573.00,在售,住宅
B座2101,86.25,68530.99,66.35,89085.12,5910798.00,在售,住宅
B座2006,109.59,76276.47,84.30,99159.41,8359139.00,在售,住宅
B座2005,95.75,74348.46,73.66,96644.93,7118866.00,在售,住宅
