房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
1栋130,40.41,80000.00,35.59,90834.50,3232800.00,在售,商业
1栋129,47.75,80000.00,42.06,90822.63,3820000.00,在售,商业
1栋128,39.99,80000.00,35.22,90834.75,3199200.00,在售,商业
1栋127,23.13,80000.00,20.37,90839.46,1850400.00,在售,商业
1栋126,34.35,80000.00,30.25,90842.97,2748000.00,在售,商业
1栋125,30.83,80000.00,27.16,90810.01,2466400.00,在售,商业
1栋124,25.90,80000.00,22.81,90837.35,2072000.00,在售,商业
1栋123,46.15,80000.00,40.65,90824.10,3692000.00,在售,商业
1栋122,47.81,80000.00,42.11,90828.78,3824800.00,在售,商业
1栋121,44.45,80000.00,39.15,90830.14,3556000.00,在售,商业
1栋120,70.19,80000.00,61.82,90831.44,5615200.00,在售,商业
1栋119,68.27,80000.00,60.13,90829.86,5461600.00,在售,商业
1栋118,54.12,80000.00,47.67,90824.41,4329600.00,在售,商业
1栋117,28.52,80000.00,25.12,90828.02,2281600.00,在售,商业
1栋116,50.19,80000.00,44.20,90841.62,4015200.00,在售,商业
1栋115,17.63,80000.00,15.53,90817.77,1410400.00,在售,商业
1栋114,29.47,80000.00,25.95,90851.63,2357600.00,在售,商业
1栋113,45.74,80000.00,40.29,90821.54,3659200.00,在售,商业
1栋112,44.57,80000.00,39.26,90820.17,3565600.00,在售,商业
1栋111,42.13,80000.00,37.11,90821.88,3370400.00,在售,商业
1栋108,60.93,80000.00,53.66,90838.61,4874400.00,在售,商业
1栋107,77.71,80000.00,68.44,90835.76,6216800.00,在售,商业
1栋106,60.83,80000.00,53.58,90824.93,4866400.00,在售,商业
1栋105,54.09,80000.00,47.65,90812.17,4327200.00,在售,商业
1栋104,59.19,80000.00,52.13,90834.45,4735200.00,在售,商业
1栋103,25.49,80000.00,22.45,90832.96,2039200.00,在售,商业
1栋102,57.40,80000.00,50.56,90822.78,4592000.00,在售,商业
1栋101,28.84,80000.00,25.40,90834.64,2307200.00,在售,商业
2栋B座2404,120.27,39067.00,95.75,49071.41,4698588.09,在售,住宅
2栋B座2304,120.27,39267.00,95.75,49322.63,4722642.09,在售,住宅
2栋B座2204,120.27,39207.00,95.75,49247.26,4715425.89,在售,住宅
2栋B座2104,120.27,39147.00,95.75,49171.90,4708209.69,在售,住宅
2栋B座2004,120.27,39087.00,95.75,49096.53,4700993.49,在售,住宅
2栋B座1904,120.27,39027.00,95.75,49021.17,4693777.29,在售,住宅
2栋B座1804,120.27,38967.00,95.75,48945.80,4686561.09,在售,住宅
2栋B座1704,120.27,38907.00,95.75,48870.44,4679344.89,在售,住宅
2栋B座1604,120.27,38847.00,95.75,48795.07,4672128.69,在售,住宅
2栋B座1504,120.27,38747.00,95.75,48669.46,4660101.69,在售,住宅
2栋B座1404,120.27,38647.00,95.75,48543.86,4648074.69,在售,住宅
2栋B座1304,120.27,38547.00,95.75,48418.25,4636047.69,在售,住宅
2栋B座1204,120.27,38447.00,95.75,48292.64,4624020.69,在售,住宅
2栋B座1104,120.27,38347.00,95.75,48167.03,4611993.69,在售,住宅
2栋B座1004,120.27,38247.00,95.75,48041.42,4599966.69,在售,住宅
2栋B座904,120.27,38147.00,95.75,47915.81,4587939.69,在售,住宅
