房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
6幢D座3104,74.29,40285.00,57.43,52112.00,2992773.00,在售,住宅
6幢D座3103,74.79,40362.00,57.82,52209.00,3018674.00,在售,住宅
6幢D座3102,122.50,45096.00,94.71,58328.00,5524260.00,在售,住宅
6幢D座3101,108.04,41445.00,83.53,53606.00,4477717.00,在售,住宅
6幢D座3004,76.67,39016.00,59.07,50641.00,2991357.00,在售,住宅
6幢D座3003,77.18,39094.00,59.46,50745.00,3017275.00,在售,住宅
6幢D座3002,127.08,40700.00,97.91,52825.00,5172156.00,在售,住宅
6幢D座3001,112.92,36914.00,87.00,47911.00,4168328.00,在售,住宅
6幢D座2904,76.38,39129.00,59.07,50596.00,2988674.00,在售,住宅
6幢D座2903,76.89,39207.00,59.46,50701.00,3014627.00,在售,住宅
6幢D座2902,127.34,40526.00,98.48,52402.00,5160580.00,在售,住宅
6幢D座2901,112.02,37100.00,86.63,47973.00,4155942.00,在售,住宅
6幢D座2804,76.67,38949.00,59.07,50554.00,2986220.00,在售,住宅
6幢D座2803,77.18,39028.00,59.46,50659.00,3012182.00,在售,住宅
6幢D座2802,127.08,40513.00,97.91,52582.00,5148392.00,在售,住宅
6幢D座2801,112.92,36726.00,87.00,47667.00,4147099.00,在售,住宅
6幢D座2704,76.38,39062.00,59.07,50509.00,2983556.00,在售,住宅
6幢D座2703,76.89,39140.00,59.46,50614.00,3009475.00,在售,住宅
6幢D座2702,127.34,40338.00,98.48,52159.00,5136640.00,在售,住宅
6幢D座2701,112.02,36917.00,86.63,47736.00,4135442.00,在售,住宅
6幢D座2604,76.67,38882.00,59.07,50467.00,2981083.00,在售,住宅
6幢D座2603,77.18,38961.00,59.46,50572.00,3007010.00,在售,住宅
6幢D座2602,127.08,40325.00,97.91,52338.00,5124501.00,在售,住宅
6幢D座2601,112.92,36537.00,87.00,47422.00,4125758.00,在售,住宅
6幢D座2504,76.38,32911.00,59.07,42555.00,2513742.00,在售,住宅
6幢D座2503,76.89,39073.00,59.46,50527.00,3004323.00,在售,住宅
