房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
2栋4604,81.63,67531.94,59.68,92369.84,5512632.00,在售,住宅
2栋4603,94.91,65825.18,69.38,90047.10,6247468.00,在售,住宅
2栋4602,94.91,63936.93,69.38,87464.02,6068254.00,在售,住宅
2栋4601,81.63,64806.36,59.68,88641.81,5290143.00,在售,住宅
2栋4506,107.29,67018.48,79.10,90902.82,7190413.00,在售,住宅
2栋4505,107.29,69389.27,79.10,94118.52,7444775.00,在售,住宅
2栋4503,94.11,66384.74,69.38,90047.10,6247468.00,在售,住宅
2栋4502,94.11,64480.44,69.38,87464.02,6068254.00,在售,住宅
2栋4501,80.95,65350.75,59.68,88641.81,5290143.00,在售,住宅
2栋4406,106.66,67414.34,78.63,91446.18,7190413.00,在售,住宅
2栋4405,106.66,69799.13,78.63,94681.10,7444775.00,在售,住宅
2栋4404,80.95,68099.22,59.68,92369.84,5512632.00,在售,住宅
2栋4403,94.12,66377.69,69.38,90047.10,6247468.00,在售,住宅
2栋4402,94.12,64473.59,69.38,87464.02,6068254.00,在售,住宅
2栋4401,80.95,65350.75,59.68,88641.81,5290143.00,在售,住宅
2栋4306,106.66,67414.34,78.63,91446.18,7190413.00,在售,住宅
2栋4305,106.66,69799.13,78.63,94681.10,7444775.00,在售,住宅
2栋4304,80.95,68099.22,59.68,92369.84,5512632.00,在售,住宅
2栋4303,94.12,66377.69,69.38,90047.10,6247468.00,在售,住宅
2栋4302,94.12,64473.59,69.38,87464.02,6068254.00,在售,住宅
2栋4301,80.95,65350.75,59.68,88641.81,5290143.00,在售,住宅
2栋4206,106.66,67414.34,78.63,91446.18,7190413.00,在售,住宅
2栋4205,106.66,69799.13,78.63,94681.10,7444775.00,在售,住宅
2栋4204,80.95,68099.22,59.68,92369.84,5512632.00,在售,住宅
2栋4203,94.12,66377.69,69.38,90047.10,6247468.00,在售,住宅
2栋4202,94.12,64473.59,69.38,87464.02,6068254.00,在售,住宅
2栋4201,80.95,65350.75,59.68,88641.81,5290143.00,在售,住宅
2栋4106,106.66,67414.34,78.63,91446.18,7190413.00,在售,住宅
2栋4105,106.66,69799.13,78.63,94681.10,7444775.00,在售,住宅
2栋4104,80.95,68099.22,59.68,92369.84,5512632.00,在售,住宅
2栋4103,94.12,66377.69,69.38,90047.10,6247468.00,在售,住宅
2栋4102,94.12,64473.59,69.38,87464.02,6068254.00,在售,住宅
2栋4101,80.95,65350.75,59.68,88641.81,5290143.00,在售,住宅
2栋4006,106.66,67383.26,78.63,91404.02,7187098.00,在售,住宅
2栋4005,106.66,69768.05,78.63,94638.94,7441460.00,在售,住宅
