房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
D-40F,79.86,42136.00,59.26,56783.00,3364952.00,在售,住宅
D-39F,80.78,28137.00,59.95,37913.00,2272888.00,在售,住宅
D-38F,79.85,28429.00,59.26,38307.00,2270055.00,在售,住宅
D-37F,80.78,43126.00,59.95,58110.00,3483718.00,在售,住宅
D-36F,79.85,28345.00,59.26,38194.00,2263361.00,在售,住宅
D-35F,80.78,43016.00,59.95,57962.00,3474832.00,在售,住宅
D-34F,79.85,41159.00,59.26,55459.00,3286546.00,在售,住宅
D-33F,80.78,27895.00,59.95,37587.00,2253321.00,在售,住宅
D-32F,79.85,27895.00,59.26,37587.00,2227415.00,在售,住宅
D-31F,80.78,53889.00,59.95,72613.00,4353153.00,在售,住宅
D-30F,79.85,37525.00,59.26,50563.00,2996371.00,在售,住宅
D-29F,80.78,27714.00,59.95,37343.00,2238731.00,在售,住宅
D-28F,79.85,27994.00,59.26,37720.00,2235299.00,在售,住宅
D-27F,80.78,27630.00,59.95,37230.00,2231952.00,在售,住宅
D-26F,79.85,37314.00,59.26,50278.00,2979522.00,在售,住宅
D-25F,80.78,53333.00,59.95,71863.00,4308239.00,在售,住宅
D-24F,79.85,27813.00,59.26,37477.00,2220881.00,在售,住宅
D-23F,80.78,27447.00,59.95,36984.00,2217191.00,在售,住宅
D-22F,79.85,37104.00,59.26,49995.00,2962754.00,在售,住宅
D-21F,80.78,27365.00,59.95,36874.00,2210583.00,在售,住宅
D-20F,79.85,27634.00,59.26,37235.00,2206550.00,在售,住宅
D-19F,80.78,27268.00,59.95,36742.00,2202688.00,在售,住宅
D-18F,79.85,27538.00,59.26,37106.00,2198911.00,在售,住宅
D-17F,80.78,27165.00,59.95,36603.00,2194363.00,在售,住宅
D-16F,79.85,27425.00,59.26,36954.00,2189900.00,在售,住宅
D-15F,80.78,27055.00,59.95,36456.00,2185524.00,在售,住宅
D-14F,79.85,27317.00,59.26,36808.00,2181233.00,在售,住宅
D-13F,80.78,26950.00,59.95,36314.00,2177028.00,在售,住宅
D-12F,79.85,27212.00,59.26,36667.00,2172909.00,在售,住宅
D-11F,80.45,26959.00,59.68,36342.00,2168875.00,在售,住宅
D-10F,79.52,27231.00,58.99,36709.00,2165442.00,在售,住宅
D-9F,80.45,26868.00,59.68,36218.00,2161495.00,在售,住宅
D-8F,79.52,27138.00,58.99,36582.00,2157976.00,在售,住宅
D-7F,80.45,26777.00,59.68,36096.00,2154200.00,在售,住宅
D-6F,79.52,27041.00,58.99,36453.00,2150339.00,在售,住宅
D-5F,80.45,41253.00,59.68,55609.00,3318803.00,在售,住宅
D-4F,79.52,51111.00,58.99,68898.00,4064346.00,在售,住宅
D-3F,80.43,27399.00,59.67,36932.00,2203727.00,在售,住宅
D-40E,76.12,41738.00,56.49,56242.00,3177088.00,在售,住宅
D-39E,76.12,43309.00,56.49,58358.00,3296681.00,在售,住宅
D-38E,76.69,36734.00,56.91,49501.00,2817130.00,在售,住宅
D-37E,76.12,28005.00,56.49,37736.00,2131703.00,在售,住宅
D-36E,76.69,27753.00,56.91,37399.00,2128363.00,在售,住宅
D-35E,76.12,27923.00,56.49,37626.00,2125512.00,在售,住宅
D-34E,76.69,27676.00,56.91,37296.00,2122497.00,在售,住宅
D-33E,76.12,27835.00,56.49,37508.00,2118831.00,在售,住宅
D-32E,76.69,27582.00,56.91,37168.00,2115246.00,在售,住宅
D-31E,76.12,27742.00,56.49,37383.00,2111743.00,在售,住宅
D-30E,76.69,27491.00,56.91,37047.00,2108321.00,在售,住宅
D-29E,76.12,43111.00,56.49,58091.00,3281609.00,在售,住宅
D-28E,76.69,27405.00,56.91,36931.00,2101722.00,在售,住宅
D-27E,76.12,27569.00,56.49,37149.00,2098545.00,在售,住宅
D-26E,76.69,27315.00,56.91,36809.00,2094797.00,在售,住宅
D-25E,76.12,27475.00,56.49,37022.00,2091375.00,在售,住宅
D-24E,76.69,27227.00,56.91,36690.00,2088035.00,在售,住宅
D-23E,76.12,27385.00,56.49,36901.00,2084531.00,在售,住宅
D-22E,76.69,27140.00,56.91,36573.00,2081353.00,在售,住宅
D-21E,76.12,27302.00,56.49,36790.00,2078258.00,在售,住宅
D-20E,76.69,27050.00,56.91,36451.00,2074428.00,在售,住宅
D-19E,76.12,27204.00,56.49,36657.00,2070761.00,在售,住宅
D-18E,76.69,26955.00,56.91,36324.00,2067177.00,在售,住宅
D-17E,76.12,27100.00,56.49,36517.00,2062858.00,在售,住宅
D-16E,76.69,26843.00,56.91,36173.00,2058623.00,在售,住宅
D-15E,76.12,26990.00,56.49,36369.00,2054467.00,在售,住宅
D-14E,76.69,26736.00,56.91,36029.00,2050394.00,在售,住宅
D-13E,76.12,26884.00,56.49,36226.00,2046401.00,在售,住宅
D-12E,76.69,26633.00,56.91,35890.00,2042491.00,在售,住宅
D-11E,75.79,26899.00,56.23,36256.00,2038661.00,在售,住宅
D-10E,76.36,26655.00,56.65,35929.00,2035402.00,在售,住宅
D-9E,75.79,26806.00,56.23,36131.00,2031654.00,在售,住宅
