房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
5号楼二单元22B,214.25,51276.99,175.48,62605.97,10986097.00,在售,
5号楼二单元22A,195.00,49988.00,159.71,61033.49,9747660.00,在售,
5号楼二单元21B,210.29,52197.99,172.24,63729.19,10976717.00,在售,
5号楼二单元21A,191.37,50738.99,156.74,61949.22,9709922.00,在售,
5号楼二单元20B,210.29,51107.99,172.24,62398.40,10747501.00,在售,
5号楼二单元20A,191.37,49818.00,156.74,60824.74,9533671.00,在售,
5号楼二单元19B,210.29,52028.99,172.24,63522.86,10941178.00,在售,
5号楼二单元19A,191.37,50570.00,156.74,61742.89,9677581.00,在售,
5号楼二单元18B,210.29,50938.00,172.24,62190.85,10711752.00,在售,
5号楼二单元18A,191.37,49648.99,156.74,60618.40,9501329.00,在售,
5号楼二单元17B,210.29,65625.00,172.24,80122.00,13800281.00,在售,样板房（精装
5号楼二单元17A,191.37,50400.00,156.74,61535.33,9645048.00,在售,
5号楼二单元16B,210.29,50769.00,172.24,61984.51,10676213.00,在售,
5号楼二单元16A,191.37,49478.99,156.74,60410.84,9468796.00,在售,
5号楼二单元15B,210.29,51690.00,172.24,63108.97,10869890.00,在售,
5号楼二单元15A,191.37,50230.99,156.74,61328.99,9612706.00,在售,
5号楼二单元14B,210.29,50600.00,172.24,61778.18,10640674.00,在售,
5号楼二单元14A,191.37,49310.00,156.74,60204.51,9436455.00,在售,
5号楼二单元13B,210.29,51521.00,172.24,62902.64,10834351.00,在售,
5号楼二单元13A,191.37,50062.00,156.74,61122.65,9580365.00,在售,
5号楼二单元12B,210.29,50409.00,172.24,61544.99,10600509.00,在售,
5号楼二单元12A,191.37,49119.99,156.74,59972.52,9400094.00,在售,
5号楼二单元11B,210.29,51309.00,172.24,62643.81,10789770.00,在售,
5号楼二单元11A,191.37,49850.00,156.74,60863.81,9539795.00,在售,
5号楼二单元10B,210.29,50196.99,172.24,61286.15,10555927.00,在售,
