房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
14栋3302,173.31,57550.00,134.69,74051.00,9973990.00,在售,住宅
14栋3301,139.95,57550.00,108.76,74054.00,8054122.00,在售,住宅
14栋3204,142.86,45538.16,109.87,59211.00,6505581.00,在售,住宅
14栋3203,89.43,43754.11,69.92,55962.00,3912930.00,在售,住宅
14栋3202,89.37,42618.08,69.87,54512.00,3808777.00,在售,住宅
14栋3201,143.04,47261.21,109.87,61529.00,6760243.00,在售,住宅
14栋3104,142.86,45469.10,109.87,59121.00,6495715.00,在售,住宅
14栋3103,89.43,43719.58,69.92,55918.00,3909842.00,在售,住宅
14栋3102,89.37,42583.55,69.87,54468.00,3805691.00,在售,住宅
14栋3101,143.04,47192.15,109.87,61439.00,6750365.00,在售,住宅
14栋3004,142.86,45411.55,109.87,59047.00,6487494.00,在售,住宅
14栋3003,89.43,43713.83,69.92,55911.00,3909327.00,在售,住宅
14栋3002,89.37,42577.79,69.87,54460.00,3805177.00,在售,住宅
14栋3001,143.04,47134.60,109.87,61364.00,6742133.00,在售,住宅
14栋2904,142.86,45388.53,109.87,59017.00,6484205.00,在售,住宅
14栋2903,89.43,43708.07,69.92,55904.00,3908812.00,在售,住宅
14栋2902,89.37,42572.04,69.87,54453.00,3804663.00,在售,住宅
14栋2901,143.04,47111.58,109.87,61334.00,6738840.00,在售,住宅
14栋2804,142.86,45319.47,109.87,58927.00,6474339.00,在售,住宅
14栋2803,89.43,43673.54,69.92,55859.00,3905724.00,在售,住宅
14栋2802,89.37,42537.51,69.87,54409.00,3801577.00,在售,住宅
14栋2801,143.04,47042.52,109.87,61244.00,6728962.00,在售,住宅
14栋2704,142.86,45192.87,109.87,58762.00,6456253.00,在售,住宅
14栋2703,89.43,43581.46,69.92,55742.00,3897489.00,在售,住宅
14栋2702,89.37,42445.43,69.87,54291.00,3793348.00,在售,住宅
14栋2701,143.04,46915.91,109.87,61079.00,6710851.00,在售,住宅
14栋2604,142.86,45123.80,109.87,58672.00,6446386.00,在售,住宅
14栋2603,89.43,43546.93,69.92,55697.00,3894401.00,在售,住宅
14栋2602,89.37,42410.90,69.87,54247.00,3790262.00,在售,住宅
14栋2601,143.04,46846.85,109.87,60990.00,6700973.00,在售,住宅
14栋2504,142.86,45054.74,109.87,58583.00,6436520.00,在售,住宅
14栋2503,89.43,43512.40,69.92,55653.00,3891313.00,在售,住宅
14栋2502,89.37,42376.37,69.87,54203.00,3787176.00,在售,住宅
14栋2501,143.04,46777.79,109.87,60900.00,6691095.00,在售,住宅
14栋2404,142.86,44870.58,109.87,58343.00,6410211.00,在售,住宅
14栋2403,89.43,43362.77,69.92,55462.00,3877932.00,在售,住宅
14栋2402,89.37,42226.74,69.87,54011.00,3773803.00,在售,住宅
14栋2401,143.04,46593.63,109.87,60660.00,6664752.00,在售,住宅
14栋2304,142.86,44916.62,109.87,58403.00,6416788.00,在售,住宅
14栋2303,89.43,43443.34,69.92,55565.00,3885137.00,在售,住宅
14栋2302,89.37,42307.31,69.87,54114.00,3781004.00,在售,住宅
14栋2301,143.04,46639.67,109.87,60720.00,6671338.00,在售,住宅
14栋2204,142.86,44847.56,109.87,58313.00,6406922.00,在售,住宅
14栋2203,89.43,43408.81,69.92,55521.00,3882049.00,在售,住宅
14栋2202,89.37,42272.78,69.87,54070.00,3777918.00,在售,住宅
14栋2201,143.04,46570.61,109.87,60630.00,6661460.00,在售,住宅
14栋2104,142.86,44778.50,109.87,58223.00,6397056.00,在售,住宅
14栋2103,89.43,43374.28,69.92,55477.00,3878961.00,在售,住宅
14栋2102,89.37,42238.25,69.87,54026.00,3774832.00,在售,住宅
14栋2101,143.04,46501.55,109.87,60540.00,6651581.00,在售,住宅
14栋2004,142.86,44743.97,109.87,58178.00,6392123.00,在售,住宅
14栋2003,89.43,43360.47,69.92,55459.00,3877726.00,在售,住宅
14栋2002,89.37,42235.95,69.87,54023.00,3774626.00,在售,住宅
14栋2001,143.04,46478.53,109.87,60510.00,6648288.00,在售,住宅
14栋1904,142.86,44640.38,109.87,58044.00,6377324.00,在售,住宅
14栋1903,89.43,43314.43,69.92,55400.00,3873609.00,在售,住宅
14栋1902,89.37,42189.91,69.87,53964.00,3770512.00,在售,住宅
14栋1901,143.04,46374.94,109.87,60375.00,6633471.00,在售,住宅
14栋1804,142.86,44421.69,109.87,57759.00,6346082.00,在售,住宅
14栋1803,89.43,43153.29,69.92,55194.00,3859198.00,在售,住宅
14栋1802,89.37,42028.77,69.87,53758.00,3756111.00,在售,住宅
14栋1801,143.04,46156.25,109.87,60090.00,6602190.00,在售,住宅
14栋1704,142.86,44433.20,109.87,57774.00,6347726.00,在售,住宅
14栋1703,89.43,43222.35,69.92,55282.00,3865374.00,在售,住宅
