房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
9栋1602,325.87,29171.00,263.23,36112.73,9505954.00,在售,住宅
9栋1601,270.69,28674.00,218.66,35496.95,7761765.00,在售,住宅
9栋1502,181.44,28971.00,146.56,35865.84,5256498.00,在售,住宅
9栋1501,156.55,28474.00,126.46,35249.13,4457605.00,在售,住宅
9栋1402,181.44,28871.00,146.56,35742.04,5238354.00,在售,住宅
9栋1401,156.55,28374.00,126.46,35125.33,4441950.00,在售,住宅
9栋1302,181.44,28771.00,146.56,35618.24,5220210.00,在售,住宅
9栋1301,156.55,28274.00,126.46,35001.54,4426295.00,在售,住宅
9栋1202,181.44,28671.00,146.56,35494.44,5202066.00,在售,住宅
9栋1201,156.55,28174.00,126.46,34877.74,4410640.00,在售,住宅
9栋1102,181.44,28571.00,146.56,35370.64,5183922.00,在售,住宅
9栋1101,156.55,28074.00,126.46,34753.95,4394985.00,在售,住宅
9栋1002,181.44,28471.00,146.56,35246.84,5165778.00,在售,住宅
9栋1001,156.55,27974.00,126.46,34630.15,4379330.00,在售,住宅
9栋902,181.44,28371.00,146.56,35123.04,5147634.00,在售,住宅
9栋901,156.55,27874.00,126.46,34506.36,4363675.00,在售,住宅
9栋802,181.44,28271.00,146.56,34999.24,5129490.00,在售,住宅
9栋801,156.55,27774.00,126.46,34382.57,4348020.00,在售,住宅
9栋702,181.44,28171.00,146.56,34875.45,5111346.00,在售,住宅
9栋701,156.55,27674.00,126.46,34258.77,4332365.00,在售,住宅
9栋602,181.44,28071.00,146.56,34751.65,5093202.00,在售,住宅
9栋601,156.55,27574.00,126.46,34134.98,4316710.00,在售,住宅
9栋502,181.44,27971.00,146.56,34627.85,5075058.00,在售,住宅
9栋501,156.55,27474.00,126.46,34011.18,4301055.00,在售,住宅
9栋402,181.44,27871.00,146.56,34504.05,5056914.00,在售,住宅
9栋401,156.55,27374.00,126.46,33887.39,4285400.00,在售,住宅
9栋302,181.44,27791.00,146.56,34405.01,5042399.00,在售,住宅
9栋301,156.55,27294.00,126.46,33788.35,4272876.00,在售,住宅
9栋202,181.44,27711.00,146.56,34305.97,5027884.00,在售,住宅
9栋201,156.55,27214.00,126.46,33689.32,4260352.00,在售,住宅
