房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
5栋B座3306,88.71,58049.00,68.97,74663.28,5149527.00,在售,住宅
5栋B座3305,88.71,57240.00,68.97,73622.73,5077760.00,在售,住宅
5栋B座3303,89.55,58546.00,69.62,75305.86,5242794.00,在售,住宅
5栋B座3302,88.28,58546.00,68.64,75297.80,5168441.00,在售,住宅
5栋B座3301,110.22,59378.00,85.70,76366.89,6544643.00,在售,住宅
5栋B座3206,88.71,59019.00,68.97,75910.90,5235575.00,在售,住宅
5栋B座3205,88.71,58210.00,68.97,74870.36,5163809.00,在售,住宅
5栋B座3203,89.55,58516.00,69.62,75267.27,5240108.00,在售,住宅
5栋B座3202,88.28,58516.00,68.64,75259.20,5165792.00,在售,住宅
5栋B座3201,110.22,60348.00,85.70,77614.43,6651557.00,在售,住宅
5栋B座3106,88.71,60989.00,68.97,78444.74,5410334.00,在售,住宅
5栋B座3105,88.71,60180.00,68.97,77404.20,5338568.00,在售,住宅
5栋B座3103,89.55,58486.00,69.62,75228.68,5237421.00,在售,住宅
5栋B座3102,88.28,58486.00,68.64,75220.62,5163144.00,在售,住宅
5栋B座3101,110.22,62318.00,85.70,80148.07,6868690.00,在售,住宅
5栋B座3006,88.71,61959.00,68.97,79692.37,5496383.00,在售,住宅
5栋B座3005,88.71,61150.00,68.97,78651.83,5424617.00,在售,住宅
5栋B座3003,89.55,58456.00,69.62,75190.10,5234735.00,在售,住宅
5栋B座3002,88.28,58456.00,68.64,75182.05,5160496.00,在售,住宅
5栋B座3001,110.22,63288.00,85.70,81395.60,6975603.00,在售,住宅
5栋B座2906,88.71,61929.00,68.97,79653.79,5493722.00,在售,住宅
5栋B座2905,88.71,61120.00,68.97,78613.23,5421955.00,在售,住宅
5栋B座2903,89.55,58426.00,69.62,75151.50,5232048.00,在售,住宅
5栋B座2902,88.28,58426.00,68.64,75143.45,5157847.00,在售,住宅
5栋B座2901,110.22,63258.00,85.70,81357.02,6972297.00,在售,住宅
5栋B座2806,88.71,62399.00,68.97,80258.30,5535415.00,在售,住宅
5栋B座2805,88.71,61590.00,68.97,79217.76,5463649.00,在售,住宅
5栋B座2803,89.55,58396.00,69.62,75112.92,5229362.00,在售,住宅
5栋B座2802,88.28,58396.00,68.64,75104.88,5155199.00,在售,住宅
5栋B座2801,110.22,63728.00,85.70,81961.49,7024100.00,在售,住宅
5栋B座2706,88.71,62369.00,68.97,80219.71,5532754.00,在售,住宅
5栋B座2705,88.71,61560.00,68.97,79179.17,5460988.00,在售,住宅
5栋B座2703,89.55,58366.00,69.62,75074.33,5226675.00,在售,住宅
5栋B座2702,88.28,58366.00,68.64,75066.28,5152550.00,在售,住宅
5栋B座2701,110.22,63698.00,85.70,81922.91,7020794.00,在售,住宅
5栋B座2606,88.71,62839.00,68.97,80824.24,5574448.00,在售,住宅
5栋B座2605,88.71,62030.00,68.97,79783.68,5502681.00,在售,住宅
5栋B座2603,89.55,58336.00,69.62,75035.75,5223989.00,在售,住宅
5栋B座2602,88.28,58336.00,68.64,75027.70,5149902.00,在售,住宅
5栋B座2601,110.22,64168.00,85.70,82527.38,7072597.00,在售,住宅
5栋B座2506,88.71,62809.00,68.97,80785.64,5571786.00,在售,住宅
5栋B座2505,88.71,62000.00,68.97,79745.10,5500020.00,在售,住宅
5栋B座2503,89.55,58306.00,69.62,74997.15,5221302.00,在售,住宅
5栋B座2502,88.28,58306.00,68.64,74989.13,5147254.00,在售,住宅
5栋B座2501,110.22,64138.00,85.70,82488.79,7069290.00,在售,住宅
5栋B座2406,88.71,62779.00,68.97,80747.06,5569125.00,在售,住宅
5栋B座2405,88.71,61970.00,68.97,79706.52,5497359.00,在售,住宅
5栋B座2403,89.55,58276.00,69.62,74958.57,5218616.00,在售,住宅
5栋B座2402,88.28,58276.00,68.64,74950.53,5144605.00,在售,住宅
5栋B座2401,110.22,64108.00,85.70,82450.22,7065984.00,在售,住宅
5栋B座2306,88.71,62749.00,68.97,80708.48,5566464.00,在售,住宅
5栋B座2305,88.71,61940.00,68.97,79667.92,5494697.00,在售,住宅
5栋B座2303,89.55,58246.00,69.62,74919.97,5215929.00,在售,住宅
5栋B座2302,88.28,58246.00,68.64,74911.96,5141957.00,在售,住宅
5栋B座2301,110.22,64078.00,85.70,82411.63,7062677.00,在售,住宅
5栋B座2206,88.71,62719.00,68.97,80669.88,5563802.00,在售,住宅
