房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
B3902,484.91,65223.00,361.97,87375.00,31627284.00,在售,商品房
B3901,486.29,64505.00,363.00,86413.00,31368136.00,在售,商品房
B3802,259.47,43941.83,193.69,58865.13,11401587.92,在售,商品房
B3801,259.47,43223.29,193.69,57902.56,11215148.50,在售,商品房
B3702,259.55,44089.40,193.75,59062.73,11443404.28,在售,商品房
B3701,259.55,43370.86,193.75,58100.16,11256907.38,在售,商品房
B3602,258.81,43541.83,193.20,58328.47,11269062.31,在售,商品房
B3601,258.81,42823.29,193.20,57365.92,11083097.13,在售,商品房
B3502,259.55,43689.40,193.75,58526.88,11339584.28,在售,商品房
B3501,259.55,42970.86,193.75,57564.32,11153087.38,在售,商品房
B33A02,258.81,42841.83,193.20,57390.76,11087895.31,在售,商品房
B33A01,258.81,50433.00,193.20,67559.00,13052564.00,在售,商品房
B3302,259.55,42989.40,193.75,57589.15,11157899.28,在售,商品房
B3301,259.55,50603.00,193.75,67788.00,13134008.00,在售,商品房
B3202,258.81,42441.83,193.20,56854.92,10984371.31,在售,商品房
B3201,258.81,41723.29,193.20,55892.37,10798406.13,在售,商品房
B3102,259.55,50969.00,193.75,68278.00,13229003.00,在售,商品房
B3101,259.55,41870.86,193.75,56090.74,10867582.38,在售,商品房
B3002,258.81,50340.00,193.20,67435.00,13028495.00,在售,商品房
B3001,258.81,41323.29,193.20,55356.53,10694882.13,在售,商品房
B2802,258.81,41041.83,193.20,54979.48,10622037.31,在售,商品房
B2801,258.81,40323.29,193.20,54016.93,10436072.13,在售,商品房
B2702,259.55,41189.40,193.75,55177.85,10690709.28,在售,商品房
B2701,259.55,40470.86,193.75,54215.28,10504212.38,在售,商品房
B2602,258.81,40741.83,193.20,54577.61,10544394.31,在售,商品房
B2601,258.81,39923.29,193.20,53481.09,10332548.13,在售,商品房
B2502,259.55,40889.40,193.75,54775.97,10612844.28,在售,商品房
B2501,259.55,40070.86,193.75,53679.44,10400392.38,在售,商品房
B23A02,258.81,40341.83,193.20,54041.77,10440870.31,在售,商品房
B23A01,258.81,39523.29,193.20,52945.25,10229024.13,在售,商品房
B2302,259.55,40489.40,193.75,54240.12,10509024.28,在售,商品房
B2301,259.55,39670.86,193.75,53143.59,10296572.38,在售,商品房
B2202,258.81,47925.00,193.20,64200.00,12403469.00,在售,商品房
B2201,258.81,39123.29,193.20,52409.42,10125500.13,在售,商品房
B2102,259.55,40089.40,193.75,53704.28,10405204.28,在售,商品房
B2101,259.55,39270.86,193.75,52607.75,10192752.38,在售,商品房
B2002,258.81,39541.83,193.20,52970.09,10233822.31,在售,商品房
B2001,258.81,38723.29,193.20,51873.58,10021976.13,在售,商品房
B1902,259.55,39689.40,193.75,53168.43,10301384.28,在售,商品房
B1901,259.55,38870.86,193.75,52071.90,10088932.38,在售,商品房
B1802,258.81,39141.83,193.20,52434.25,10130298.31,在售,商品房
B1801,258.81,38323.29,193.20,51337.74,9918452.13,在售,商品房
B1702,259.55,39289.40,193.75,52632.58,10197564.28,在售,商品房
B1701,259.55,46234.00,193.75,61935.00,12000034.00,在售,商品房
B1602,258.81,38738.83,193.20,51894.39,10025997.88,在售,商品房
B1601,258.81,45604.00,193.20,61090.00,11802771.00,在售,商品房
B13A02,258.81,46082.00,193.20,61731.00,11926482.00,在售,商品房
B13A01,258.81,45144.00,193.20,60474.00,11683718.00,在售,商品房
B1302,259.55,46255.00,193.75,61963.00,12005485.00,在售,商品房
B1301,259.55,45314.00,193.75,60703.00,11761248.00,在售,商品房
B1202,258.81,37941.83,193.20,50826.74,9819726.31,在售,商品房
B1201,258.81,44685.00,193.20,59859.00,11564924.00,在售,商品房
B1102,259.55,45795.00,193.75,61347.00,11886092.00,在售,商品房
B1101,259.55,37370.86,193.75,50062.48,9699607.38,在售,商品房
B1002,258.81,37541.83,193.20,50290.90,9716202.31,在售,商品房
B1001,258.81,44340.00,193.20,59397.00,11475635.00,在售,商品房
B902,259.55,45335.00,193.75,60731.00,11766699.00,在售,商品房
B901,259.55,44509.00,193.75,59624.00,11552310.00,在售,商品房
B802,258.81,44705.00,193.20,59886.00,11570101.00,在售,商品房
B801,258.81,43880.00,193.20,58781.00,11356582.00,在售,商品房
B702,259.55,44875.00,193.75,60115.00,11647306.00,在售,商品房
B701,259.55,36570.86,193.75,48990.79,9491967.38,在售,商品房
B602,258.81,36641.83,193.20,49085.26,9483273.31,在售,商品房
B601,258.81,35923.29,193.20,48122.71,9297308.13,在售,商品房
B502,259.55,36789.40,193.75,49283.55,9548689.28,在售,商品房
B501,259.55,36070.86,193.75,48320.99,9362192.38,在售,商品房
B3A02,258.81,43671.00,193.20,58501.00,11302491.00,在售,商品房
B3A01,258.81,42844.00,193.20,57393.00,11088455.00,在售,商品房
B202,257.85,36241.83,192.48,48550.27,9344957.15,在售,商品房
A3902,484.86,65673.00,361.97,87969.00,31842210.00,在售,商品房
A3901,486.25,64598.00,363.00,86531.00,31410777.00,在售,商品房
A3802,259.45,44391.02,193.69,59462.28,11517250.91,在售,商品房
A3801,259.45,43316.16,193.69,58022.49,11238377.71,在售,商品房
A3702,259.53,44538.59,193.75,59659.87,11559100.26,在售,商品房
A3701,259.53,43463.72,193.75,58220.08,11280141.06,在售,商品房
