房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
1栋A座26层2617,89.12,42182.00,64.38,58391.73,3759259.84,在售,住宅
1栋A座26层2616,87.22,40922.00,62.88,56762.35,3569216.84,在售,住宅
1栋A座26层2615,85.76,42405.00,62.37,58307.72,3636652.80,在售,住宅
1栋A座26层2613,87.58,37531.00,63.14,52058.36,3286964.98,在售,住宅
1栋A座26层2612,87.70,36363.00,63.23,50435.47,3189035.10,在售,住宅
1栋A座26层2611,87.70,37530.00,63.23,52054.10,3291381.00,在售,住宅
1栋A座26层2610,87.70,35719.00,63.23,49542.24,3132556.30,在售,住宅
1栋A座26层2609,87.70,37530.00,63.23,52054.10,3291381.00,在售,住宅
1栋A座26层2608,87.70,35154.00,63.23,48758.59,3083005.80,在售,住宅
1栋A座26层2607,87.70,37530.00,63.23,52054.10,3291381.00,在售,住宅
1栋A座26层2606,87.70,34743.00,63.23,48188.53,3046961.10,在售,住宅
1栋A座26层2605,87.70,37530.00,63.23,52054.10,3291381.00,在售,住宅
1栋A座26层2603,87.58,37531.00,63.15,52050.11,3286964.98,在售,住宅
1栋A座26层2602,89.45,34920.00,64.43,48480.42,3123594.00,在售,住宅
1栋A座26层2601,89.45,37456.00,64.44,51993.15,3350439.20,在售,住宅
1栋A座24层2417,89.12,42118.00,64.38,58303.14,3753556.16,在售,住宅
1栋A座24层2416,87.22,40858.00,62.88,56673.58,3563634.76,在售,住宅
1栋A座24层2415,85.76,42342.00,62.37,58221.09,3631249.92,在售,住宅
1栋A座24层2413,87.58,37468.00,63.14,51970.97,3281447.44,在售,住宅
1栋A座24层2412,87.70,36300.00,63.23,50348.09,3183510.00,在售,住宅
1栋A座24层2411,87.70,37467.00,63.23,51966.72,3285855.90,在售,住宅
1栋A座24层2410,87.70,35656.00,63.23,49454.86,3127031.20,在售,住宅
1栋A座24层2409,87.70,37467.00,63.23,51966.72,3285855.90,在售,住宅
1栋A座24层2408,87.70,35091.00,63.23,48671.21,3077480.70,在售,住宅
1栋A座24层2407,87.70,37467.00,63.23,51966.72,3285855.90,在售,住宅
1栋A座24层2406,87.70,34679.00,63.23,48099.76,3041348.30,在售,住宅
1栋A座24层2405,87.70,37467.00,63.23,51966.72,3285855.90,在售,住宅
1栋A座24层2403,87.58,37468.00,63.15,51962.74,3281447.44,在售,住宅
1栋A座24层2402,89.45,34856.00,64.43,48391.57,3117869.20,在售,住宅
1栋A座24层2401,89.45,37393.00,64.44,51905.70,3344803.85,在售,住宅
1栋A座22层2217,89.12,42055.00,64.38,58215.93,3747941.60,在售,住宅
1栋A座22层2216,87.22,40795.00,62.88,56586.19,3558139.90,在售,住宅
1栋A座22层2215,85.76,42278.00,62.37,58133.09,3625761.28,在售,住宅
1栋A座22层2213,87.58,37404.00,63.14,51882.20,3275842.32,在售,住宅
1栋A座22层2212,87.70,36237.00,63.23,50260.71,3177984.90,在售,住宅
1栋A座22层2211,87.70,37403.00,63.23,51877.95,3280243.10,在售,住宅
1栋A座22层2210,87.70,35592.00,63.23,49366.09,3121418.40,在售,住宅
1栋A座22层2209,87.70,37403.00,63.23,51877.95,3280243.10,在售,住宅
1栋A座22层2208,87.70,35027.00,63.23,48582.44,3071867.90,在售,住宅
1栋A座22层2207,87.70,37403.00,63.23,51877.95,3280243.10,在售,住宅
1栋A座22层2206,87.70,34616.00,63.23,48012.38,3035823.20,在售,住宅
1栋A座22层2205,87.70,37403.00,63.23,51877.95,3280243.10,在售,住宅
1栋A座22层2203,87.58,37404.00,63.15,51873.98,3275842.32,在售,住宅
1栋A座22层2202,89.45,34793.00,64.43,48304.11,3112233.85,在售,住宅
1栋A座22层2201,89.45,37330.00,64.44,51818.25,3339168.50,在售,住宅
1栋A座20层2017,89.12,41991.00,64.38,58127.33,3742237.92,在售,住宅
1栋A座20层2016,87.22,40731.00,62.88,56497.42,3552557.82,在售,住宅
1栋A座20层2015,85.76,42215.00,62.37,58046.47,3620358.40,在售,住宅
1栋A座20层2013,87.58,37341.00,63.14,51794.81,3270324.78,在售,住宅
1栋A座20层2012,87.70,36173.00,63.23,50171.94,3172372.10,在售,住宅
1栋A座20层2011,87.70,37340.00,63.23,51790.57,3274718.00,在售,住宅
1栋A座20层2010,87.70,35529.00,63.23,49278.71,3115893.30,在售,住宅
1栋A座20层2009,87.70,37340.00,63.23,51790.57,3274718.00,在售,住宅
1栋A座20层2008,87.70,34964.00,63.23,48495.06,3066342.80,在售,住宅
1栋A座20层2007,87.70,37340.00,63.23,51790.57,3274718.00,在售,住宅
1栋A座20层2006,87.70,34552.00,63.23,47923.61,3030210.40,在售,住宅
1栋A座20层2005,87.70,37340.00,63.23,51790.57,3274718.00,在售,住宅
1栋A座20层2003,87.58,37341.00,63.15,51786.61,3270324.78,在售,住宅
1栋A座20层2002,89.45,34729.00,64.43,48215.25,3106509.05,在售,住宅
1栋A座20层2001,89.45,37266.00,64.44,51729.41,3333443.70,在售,住宅
1栋A座18层1817,89.12,41928.00,64.38,58040.12,3736623.36,在售,住宅
1栋A座18层1816,87.22,40688.00,62.88,56437.77,3548807.36,在售,住宅
1栋A座18层1815,85.76,42151.00,62.37,57958.46,3614869.76,在售,住宅
1栋A座18层1813,87.58,37277.00,63.14,51706.04,3264719.66,在售,住宅
1栋A座18层1812,87.70,36110.00,63.23,50084.56,3166847.00,在售,住宅
1栋A座18层1811,87.70,37277.00,63.23,51703.19,3269192.90,在售,住宅
1栋A座18层1810,87.70,35465.00,63.23,49189.94,3110280.50,在售,住宅
1栋A座18层1809,87.70,37277.00,63.23,51703.19,3269192.90,在售,住宅
1栋A座18层1808,87.70,34900.00,63.23,48406.29,3060730.00,在售,住宅
1栋A座18层1807,87.70,37277.00,63.23,51703.19,3269192.90,在售,住宅
1栋A座18层1806,87.70,34489.00,63.23,47836.23,3024685.30,在售,住宅
1栋A座18层1805,87.70,37277.00,63.23,51703.19,3269192.90,在售,住宅
