房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
1栋C座29层29,34.86,38105.00,23.37,56840.00,1328340.00,在售,办公
1栋C座29层28,56.54,37605.00,37.91,56085.00,2126187.00,在售,办公
1栋C座29层27,35.80,38105.00,24.00,56840.00,1364159.00,在售,办公
1栋C座29层26,88.57,39905.00,59.38,59521.00,3534386.00,在售,办公
1栋C座29层25,54.87,38805.00,36.79,57875.00,2129230.00,在售,办公
1栋C座29层23,54.89,39005.00,36.80,58179.00,2140984.00,在售,办公
1栋C座29层22,116.51,38785.00,78.76,57375.00,4518840.00,在售,办公
1栋C座29层21,116.51,38785.00,78.76,57375.00,4518840.00,在售,办公
1栋C座29层20,54.89,39005.00,36.80,58179.00,2140984.00,在售,办公
1栋C座29层19,54.89,39005.00,36.80,58179.00,2140984.00,在售,办公
1栋C座29层18,67.55,39845.00,45.29,59429.00,2691530.00,在售,办公
1栋C座29层17,35.80,38005.00,24.00,56691.00,1360579.00,在售,办公
1栋C座29层16,56.54,37505.00,37.91,55936.00,2120533.00,在售,办公
1栋C座29层15,34.86,38005.00,23.37,56690.00,1324854.00,在售,办公
1栋C座29层13,70.89,37705.00,47.53,56236.00,2672907.00,在售,办公
1栋C座29层12,37.06,38305.00,24.85,57126.00,1419583.00,在售,办公
1栋C座29层11,36.99,38305.00,24.80,57133.00,1416902.00,在售,办公
1栋C座29层10,36.99,38305.00,24.80,57133.00,1416902.00,在售,办公
1栋C座29层09,37.04,38305.00,24.84,57118.00,1418817.00,在售,办公
1栋C座29层08,116.49,37705.00,78.75,55775.00,4392255.00,在售,办公
1栋C座29层07,116.49,37705.00,78.75,55775.00,4392255.00,在售,办公
1栋C座29层06,37.05,38305.00,24.84,57134.00,1419200.00,在售,办公
1栋C座29层05,36.99,38305.00,24.80,57133.00,1416902.00,在售,办公
1栋C座29层03,36.99,38305.00,24.80,57133.00,1416902.00,在售,办公
1栋C座29层02,37.06,38305.00,24.85,57126.00,1419583.00,在售,办公
1栋C座29层01,70.89,38155.00,47.53,56907.00,2704808.00,在售,办公
1栋C座28层29,35.77,38075.00,23.37,58277.00,1361943.00,在售,办公
1栋C座28层28,58.02,37575.00,37.91,57507.00,2180102.00,在售,办公
1栋C座28层27,36.74,38075.00,24.00,58287.00,1398876.00,在售,办公
1栋C座28层26,90.89,39875.00,59.38,61035.00,3624239.00,在售,办公
