房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
B座4512,44.08,41667.00,25.18,72942.05,1836681.00,在售,办公
B座4511,76.70,128993.00,43.82,225781.90,9893763.00,在售,办公
B座4510,107.44,129493.00,61.37,226702.42,13912728.00,在售,办公
B座4509,76.16,122493.00,43.50,214461.31,9329067.00,在售,办公
B座4508,82.14,123493.00,46.92,216191.70,10143715.00,在售,办公
B座4507,100.08,135993.00,57.17,238065.05,13610179.00,在售,办公
B座4506,76.70,135493.00,43.81,237213.26,10392313.00,在售,办公
B座4505,107.44,136993.00,61.37,239832.62,14718528.00,在售,办公
B座4503,76.16,134493.00,43.50,235470.96,10242987.00,在售,办公
B座4502,82.14,135493.00,46.92,237199.38,11129395.00,在售,办公
B座4501,100.11,129993.00,57.19,227550.25,13013599.00,在售,办公
B座4412,44.08,41667.00,25.18,72942.05,1836681.00,在售,办公
B座4411,76.70,125493.00,43.82,219655.70,9625313.00,在售,办公
B座4410,107.44,125993.00,61.37,220575.00,13536688.00,在售,办公
B座4409,76.16,118993.00,43.50,208333.49,9062507.00,在售,办公
B座4408,82.14,119993.00,46.92,210064.47,9856225.00,在售,办公
B座4407,100.08,132493.00,57.17,231938.06,13259899.00,在售,办公
B座4406,76.70,131993.00,43.81,231085.66,10123863.00,在售,办公
B座4405,107.44,133493.00,61.37,233705.19,14342488.00,在售,办公
B座4403,76.16,130993.00,43.50,229343.14,9976427.00,在售,办公
B座4402,82.14,131493.00,46.92,230196.82,10800835.00,在售,办公
B座4401,100.11,125993.00,57.19,220548.33,12613159.00,在售,办公
B座4317,41.44,41667.00,25.18,68573.47,1726680.00,在售,办公
B座4316,72.11,121993.00,43.82,200751.14,8796915.00,在售,办公
B座4315,101.00,122493.00,61.37,201593.49,12371793.00,在售,办公
B座4313,71.59,115493.00,43.50,190072.27,8268144.00,在售,办公
B座4312,77.22,116493.00,46.92,191721.84,8995589.00,在售,办公
B座4311,94.08,128993.00,57.17,212273.23,12135661.00,在售,办公
B座4310,72.11,128493.00,43.81,211495.77,9265630.00,在售,办公
B座4309,101.00,129993.00,61.37,213936.66,13129293.00,在售,办公
