房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
7栋1414,104.12,29705.84,79.83,38744.49,3092973.00,在售,产业研发
7栋1413,208.49,28121.08,159.84,36680.21,5862966.00,在售,产业研发
7栋1412,208.34,27886.30,159.73,36372.83,5809833.00,在售,产业研发
7栋1411,208.36,27886.31,159.75,36371.78,5810392.00,在售,产业研发
7栋1410,182.22,29705.84,139.70,38747.30,5412999.00,在售,产业研发
7栋1409,108.69,29705.85,83.33,38746.29,3228729.00,在售,产业研发
7栋1408,208.49,27416.75,159.84,35761.50,5716119.00,在售,产业研发
7栋1407,208.24,28003.69,159.65,36526.71,5831490.00,在售,产业研发
7栋1406,208.49,28473.26,159.84,37139.57,5936390.00,在售,产业研发
7栋1405,177.35,27299.36,135.97,35607.42,4841542.00,在售,产业研发
7栋1404,208.49,26360.24,159.84,34383.43,5495848.00,在售,产业研发
7栋1403,82.82,27181.97,63.49,35457.72,2251211.00,在售,产业研发
7栋1402,211.90,26477.63,162.46,34535.33,5610611.00,在售,产业研发
7栋1401,208.49,27181.97,159.84,35455.26,5667170.00,在售,产业研发
7栋1314,104.12,29588.45,79.83,38591.38,3080750.00,在售,产业研发
7栋1313,208.49,28003.69,159.84,36527.09,5838491.00,在售,产业研发
7栋1312,208.34,27768.91,159.73,36219.72,5785376.00,在售,产业研发
7栋1311,208.36,27768.92,159.75,36218.67,5785933.00,在售,产业研发
7栋1310,182.22,29588.45,139.70,38594.18,5391608.00,在售,产业研发
7栋1309,108.69,29588.46,83.33,38593.18,3215970.00,在售,产业研发
7栋1308,208.49,27299.36,159.84,35608.38,5691644.00,在售,产业研发
7栋1307,208.24,27886.30,159.65,36373.59,5807045.00,在售,产业研发
7栋1306,208.49,28355.86,159.84,36986.45,5911915.00,在售,产业研发
7栋1305,177.35,27181.97,135.97,35454.31,4820723.00,在售,产业研发
7栋1304,208.49,26242.85,159.84,34230.31,5471373.00,在售,产业研发
