房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
4栋C座3304,88.33,32308.41,65.86,43331.34,2853802.55,在售,住宅
4栋C座3303,88.33,33699.23,65.86,45196.67,2976653.31,在售,住宅
4栋C座3302,89.16,37587.43,66.48,50410.58,3351295.63,在售,住宅
4栋C座3301,89.16,37269.09,66.48,49983.63,3322912.19,在售,住宅
4栋B座3308,88.18,31109.59,65.86,41652.66,2743244.37,在售,住宅
4栋B座3307,88.18,32460.76,65.86,43461.74,2862390.23,在售,住宅
4栋B座3306,89.01,35349.78,66.48,47329.79,3146484.50,在售,住宅
4栋B座3305,89.01,35218.00,66.49,47146.25,3134754.21,在售,住宅
4栋A座3302,89.28,34248.99,62.01,49310.60,3057750.61,在售,住宅
4栋A座3301,89.28,34699.46,62.01,49959.17,3097968.42,在售,住宅
4栋C座3204,88.33,32308.41,65.86,43331.34,2853802.55,在售,住宅
4栋C座3203,88.33,33699.23,65.86,45196.67,2976653.31,在售,住宅
4栋C座3202,89.16,37587.43,66.48,50410.58,3351295.63,在售,住宅
4栋C座3201,89.16,37269.09,66.48,49983.63,3322912.19,在售,住宅
4栋B座3208,88.18,31109.59,65.86,41652.66,2743244.37,在售,住宅
4栋B座3207,88.18,32460.76,65.86,43461.74,2862390.23,在售,住宅
4栋B座3206,89.01,35349.78,66.48,47329.79,3146484.50,在售,住宅
4栋B座3205,89.01,35218.00,66.49,47146.25,3134754.21,在售,住宅
4栋A座3204,70.51,34428.00,50.89,47701.29,2427518.90,在售,住宅
4栋A座3203,70.51,35540.76,50.89,49243.06,2505979.54,在售,住宅
4栋A座3202,89.44,34234.46,64.56,47427.67,3061930.72,在售,住宅
4栋A座3201,89.44,34684.55,64.56,48051.22,3102186.93,在售,住宅
4栋C座3104,88.33,32308.41,65.86,43331.34,2853802.55,在售,住宅
4栋C座3103,88.33,33699.23,65.86,45196.67,2976653.31,在售,住宅
4栋C座3102,89.16,37587.43,66.48,50410.58,3351295.63,在售,住宅
4栋C座3101,89.16,37269.09,66.48,49983.63,3322912.19,在售,住宅
4栋B座3108,88.18,31109.59,65.86,41652.66,2743244.37,在售,住宅
4栋B座3107,88.18,32460.76,65.86,43461.74,2862390.23,在售,住宅
4栋B座3106,89.01,35349.78,66.48,47329.79,3146484.50,在售,住宅
4栋B座3105,89.01,35218.00,66.49,47146.25,3134754.21,在售,住宅
