房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
D座2403,166.50,36000.00,132.47,45247.00,5994000.00,在售,住宅
D座2402,147.86,49703.00,117.64,62470.00,7349085.00,在售,住宅
D座2401,108.03,73000.00,85.95,91753.22,7886190.00,在售,住宅
D座2303,167.02,56537.00,131.32,71906.86,9442810.00,在售,住宅
D座2302B,77.74,46077.00,61.13,58596.85,3582026.00,在售,住宅
D座2302A,68.08,46077.00,53.53,58601.19,3136922.00,在售,住宅
D座2301,110.51,54203.00,86.89,68937.43,5989974.00,在售,住宅
D座2203,168.54,55687.00,132.52,70823.17,9385487.00,在售,住宅
D座2202B,77.74,46847.00,61.13,59576.08,3641886.00,在售,住宅
D座2202A,65.00,46847.00,51.11,59578.45,3045055.00,在售,住宅
D座2201,112.72,53053.00,88.63,67473.02,5980134.00,在售,住宅
D座2103,167.02,55737.00,131.32,70889.38,9309194.00,在售,住宅
D座2102B,77.74,45717.00,61.13,58139.04,3554040.00,在售,住宅
D座2102A,68.08,45717.00,53.53,58143.34,3112413.00,在售,住宅
D座2101,110.51,53703.00,86.89,68301.51,5934719.00,在售,住宅
