房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
5座A单元46B,285.89,132860.71,184.45,205928.71,37983551.00,在售,住宅
5座A单元46A,235.33,114490.38,151.83,177455.19,26943023.00,在售,住宅
5座A单元45B,272.88,139696.69,175.68,216987.89,38120433.00,在售,住宅
5座A单元45A,235.62,116683.53,151.69,181244.47,27492974.00,在售,住宅
5座A单元44B,278.73,111379.00,179.56,172894.56,31044947.00,在售,住宅
5座A单元44A,235.46,114818.16,151.69,178225.88,27035084.00,在售,住宅
5座A单元43B,272.88,137950.16,175.68,214275.05,37643842.00,在售,住宅
5座A单元43A,235.62,115387.97,151.69,179232.07,27187714.00,在售,住宅
5座A单元42B,278.73,134199.93,179.56,208317.81,37405547.00,在售,住宅
5座A单元42A,235.46,114818.16,151.69,178225.88,27035084.00,在售,住宅
5座A单元41B,272.88,136203.64,175.68,211562.22,37167251.00,在售,住宅
5座A单元41A,235.62,114092.41,151.69,177219.68,26882454.00,在售,住宅
5座A单元40B,278.73,96688.55,179.56,150089.00,26949999.00,在售,住宅
5座A单元40A,235.46,92181.76,151.69,143088.00,21705117.00,在售,住宅
5座A单元39B,272.88,113969.00,175.68,177026.41,31099999.00,在售,住宅
5座A单元39A,235.62,112796.85,151.69,175207.29,26577195.00,在售,住宅
5座A单元38B,278.73,130780.19,179.56,203009.38,36452365.00,在售,住宅
5座A单元38A,235.46,112225.28,151.69,174201.10,26424565.00,在售,住宅
5座A单元37B,272.88,111476.91,175.68,173154.71,30419819.45,在售,住宅
5座A单元37A,235.62,111501.29,151.69,173194.90,26271935.00,在售,住宅
5座A单元36B,278.73,107753.00,179.56,167265.94,30034272.00,在售,住宅
5座A单元36A,235.46,111036.87,151.69,172356.40,26144743.00,在售,住宅
5座A单元35B,271.60,130374.89,174.75,202631.30,35409821.00,在售,住宅
5座A单元35A,234.54,110930.12,150.90,172415.84,26017551.00,在售,住宅
5座A单元34B,276.61,125859.80,178.07,195507.84,34814082.00,在售,住宅
5座A单元34A,234.40,110128.17,150.90,171067.22,25814045.00,在售,住宅
5座A单元33B,272.45,127781.54,175.31,198585.83,34814082.00,在售,住宅
5座A单元33A,234.52,88574.02,150.90,137656.00,20772379.00,在售,住宅
5座A单元32B,277.46,125044.81,178.64,194217.05,34694935.00,在售,住宅
5座A单元32A,234.38,109811.97,150.90,170561.49,25737730.00,在售,住宅
5座A单元31B,272.56,104739.50,175.38,162776.00,28547798.00,在售,住宅
5座A单元31A,234.51,109425.67,150.90,170055.76,25661415.00,在售,住宅
5座B单元30D,171.98,101977.74,114.31,153426.06,17538133.00,在售,住宅
5座B单元30C,179.23,75367.82,119.12,113399.72,13508175.00,在售,住宅
5座A单元30B,165.53,119345.59,104.28,189444.53,19755276.00,在售,住宅
5座A单元30A,171.64,111080.08,108.13,176322.80,19065785.00,在售,住宅
5座B单元29D,166.72,139241.16,110.81,209496.31,23214287.00,在售,住宅
5座B单元29C,184.09,104845.77,122.35,157752.82,19301058.00,在售,住宅
5座A单元29B,175.33,112202.20,110.57,177918.17,19672413.00,在售,住宅
5座A单元29A,166.12,114336.33,104.76,181305.38,18993552.00,在售,住宅
5座B单元28D,166.72,136001.16,110.81,204621.55,22674114.00,在售,住宅
5座B单元28C,173.96,93451.12,115.62,140605.00,16256756.00,在售,住宅
5座A单元28B,165.67,97326.00,104.28,154622.00,16123998.00,在售,住宅
5座A单元28A,168.29,112432.82,105.93,178620.97,18921320.00,在售,住宅
5座B单元27D,166.72,133841.16,110.81,201371.70,22313999.00,在售,住宅
5座B单元27C,184.09,103795.48,122.35,156172.54,19107711.00,在售,住宅
5座A单元27B,175.33,90551.43,110.57,143586.71,15876382.22,在售,住宅
5座A单元27A,166.12,113466.69,104.76,179926.37,18849087.00,在售,住宅
5座B单元26D,166.72,131681.16,110.81,198121.86,21953884.00,在售,住宅
5座B单元26C,173.96,109283.96,115.62,164426.90,19011039.00,在售,住宅
5座A单元26B,165.67,90153.00,104.28,143227.97,14935812.00,在售,住宅
5座A单元26A,168.29,94726.00,105.93,150491.36,15941549.00,在售,住宅
5座B单元25D,166.72,109942.00,110.81,165415.54,18329695.00,在售,住宅
5座B单元25C,184.09,102745.20,122.35,154592.26,18914364.00,在售,住宅
5座A单元25B,175.33,77575.55,110.57,123010.00,13601321.00,在售,住宅
5座A单元25A,166.12,112597.05,104.76,178547.36,18704622.00,在售,住宅
5座B单元24D,166.72,109557.61,110.81,164835.00,18265444.00,在售,住宅
5座B单元24C,173.96,107616.79,115.62,161918.50,18721017.00,在售,住宅
5座A单元24B,165.67,115743.55,104.28,183882.19,19175235.00,在售,住宅
5座A单元24A,168.29,110286.74,105.93,175211.52,18560157.00,在售,住宅
5座B单元23D,166.72,129899.16,110.81,195440.74,21656789.00,在售,住宅
5座B单元23C,184.09,101694.91,122.35,153011.99,18721017.00,在售,住宅
5座A单元23B,175.33,109366.53,110.57,173421.67,19175235.00,在售,住宅
5座A单元23A,166.12,94509.00,104.76,149866.36,15699999.00,在售,住宅
5座B单元22D,166.72,129305.16,110.81,194547.03,21557757.00,在售,住宅
5座B单元22C,173.96,107061.07,115.62,161082.38,18624345.00,在售,住宅
5座A单元22B,165.67,80709.51,104.28,128223.49,13371146.00,在售,住宅
5座A单元22A,168.29,109857.53,105.93,174529.63,18487924.00,在售,住宅
5座B单元21D,166.72,100924.00,110.81,151847.45,16826215.00,在售,住宅
5座B单元21C,184.09,100644.63,122.35,151431.71,18527670.00,在售,住宅
5座A单元21B,175.33,108421.31,110.57,171922.84,19009509.00,在售,住宅
5座A单元21A,166.12,110857.76,104.76,175789.34,18415692.00,在售,住宅
5座B单元20D,166.72,128117.16,110.81,192759.62,21359694.00,在售,住宅
5座B单元20C,173.96,105949.63,115.62,159410.11,18430998.00,在售,住宅
5座A单元20B,165.67,114243.04,104.28,181498.33,18926646.00,在售,住宅
5座A单元20A,168.29,108999.10,105.93,173165.85,18343459.00,在售,住宅
5座B单元19D,166.72,99715.79,110.81,150028.00,16624616.00,在售,住宅
5座B单元19C,184.09,99594.34,122.35,149851.43,18334323.00,在售,住宅
5座A单元19B,175.33,74523.11,110.57,118170.00,13066136.00,在售,住宅
5座A单元19A,166.12,109988.12,104.76,174410.33,18271227.00,在售,住宅
5座B单元18D,166.72,126929.16,110.81,190972.21,21161631.00,在售,住宅
5座B单元18C,173.96,81327.86,115.62,122364.00,14147794.00,在售,住宅
5座A单元18B,165.67,113242.71,104.28,179909.09,18760920.00,在售,住宅
5座A单元18A,168.29,108140.67,105.93,171802.07,18198994.00,在售,住宅
5座B单元17D,166.72,102804.23,110.81,154674.86,17139521.24,在售,住宅
5座B单元17C,184.09,76317.74,122.35,114829.00,14049332.00,在售,住宅
5座A单元17B,175.33,106530.86,110.57,168925.17,18678057.00,在售,住宅
5座A单元17A,166.12,109118.48,104.76,173031.32,18126762.00,在售,住宅
5座B单元16D,166.72,105622.58,110.81,158915.23,17609396.64,在售,住宅
5座B单元16C,173.96,103726.74,115.62,156065.59,18044304.00,在售,住宅
5座A单元16B,165.67,112242.37,104.28,178319.85,18595194.00,在售,住宅
5座A单元16A,168.29,107282.24,105.93,170438.29,18054529.00,在售,住宅
5座B单元15D,166.72,125147.16,110.81,188291.09,20864536.00,在售,住宅
5座B单元15C,184.09,60416.63,122.35,90903.00,11122097.00,在售,住宅
5座A单元15B,175.33,105638.15,110.57,167509.61,18521538.00,在售,住宅
5座A单元15A,166.12,69270.82,104.76,109844.00,11507268.00,在售,住宅
5座B单元14D,166.72,95480.79,110.81,143656.00,15918557.00,在售,住宅
5座B单元14C,173.96,101948.42,115.62,153389.96,17734948.00,在售,住宅
5座A单元14B,165.67,110463.99,104.28,175494.53,18300570.00,在售,住宅
5座A单元14A,168.29,83406.97,105.93,132507.00,14036558.00,在售,住宅
5座B单元13D,166.72,123959.16,110.81,186503.67,20666472.00,在售,住宅
5座B单元13C,184.09,74499.18,122.35,112092.00,13714554.00,在售,住宅
5座A单元13B,175.33,88975.08,110.57,141087.00,15600000.00,在售,住宅
5座A单元13A,166.12,107379.18,104.76,170273.30,17837831.00,在售,住宅
5座B单元12D,166.72,123365.16,110.81,185609.97,20567441.00,在售,住宅
5座B单元12C,173.96,62576.36,115.62,94151.00,10885783.00,在售,住宅
5座A单元12B,165.67,83248.00,104.28,132256.39,13791696.00,在售,住宅
5座A单元12A,168.29,105565.38,105.93,167710.74,17765599.00,在售,住宅
5座B单元11D,166.72,122771.16,110.81,184716.26,20468409.00,在售,住宅
5座B单元11C,184.09,95918.35,122.35,144320.47,17657610.00,在售,住宅
5座A单元11B,175.33,77293.00,110.57,122564.50,13551956.00,在售,住宅
5座A单元11A,166.12,106509.54,104.76,168894.29,17693366.00,在售,住宅
5座B单元10D,166.72,77501.07,110.81,116604.00,12920978.00,在售,住宅
5座B单元10C,173.96,101059.27,115.62,152052.16,17580271.00,在售,住宅
