房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
3栋2919,62.44,70522.00,42.70,103123.98,4403394.00,在售,办公
3栋2918,69.14,75223.00,47.29,109979.23,5200918.00,在售,办公
3栋2917,36.59,74030.00,25.02,108263.70,2708758.00,在售,办公
3栋2916,36.59,74030.00,25.02,108263.70,2708758.00,在售,办公
3栋2915,36.59,74030.00,25.02,108263.70,2708758.00,在售,办公
3栋2914,36.58,74030.00,25.02,108234.09,2708017.00,在售,办公
3栋2913,36.59,74030.00,25.02,108263.70,2708758.00,在售,办公
3栋2912,36.59,74030.00,25.02,108263.70,2708758.00,在售,办公
3栋2911,36.59,74030.00,25.02,108263.70,2708758.00,在售,办公
3栋2910,36.59,74030.00,25.02,108263.70,2708758.00,在售,办公
3栋2909,69.14,74653.00,47.29,109145.86,5161508.00,在售,办公
3栋2908,55.73,70107.00,38.11,102520.67,3907063.00,在售,办公
3栋2907,68.62,76312.00,46.93,111581.69,5236529.00,在售,办公
3栋2906,53.06,71541.00,36.29,104600.85,3795965.00,在售,办公
3栋2905,53.06,71541.00,36.29,104600.85,3795965.00,在售,办公
3栋2904,53.06,71541.00,36.29,104600.85,3795965.00,在售,办公
3栋2903,53.06,71541.00,36.29,104600.85,3795965.00,在售,办公
3栋2902,53.06,71541.00,36.29,104600.85,3795965.00,在售,办公
3栋2901,68.43,76623.00,46.80,112036.58,5243312.00,在售,办公
3栋2819,62.44,70147.00,42.70,102575.62,4379979.00,在售,办公
3栋2818,69.14,74848.00,47.29,109430.97,5174991.00,在售,办公
3栋2817,36.59,73655.00,25.02,107715.26,2695036.00,在售,办公
3栋2816,36.59,73655.00,25.02,107715.26,2695036.00,在售,办公
3栋2815,36.59,73655.00,25.02,107715.26,2695036.00,在售,办公
3栋2814,36.58,73655.00,25.02,107685.85,2694300.00,在售,办公
3栋2813,36.59,73655.00,25.02,107715.26,2695036.00,在售,办公
3栋2812,36.59,73655.00,25.02,107715.26,2695036.00,在售,办公
3栋2811,36.59,73655.00,25.02,107715.26,2695036.00,在售,办公
3栋2810,36.59,73655.00,25.02,107715.26,2695036.00,在售,办公
3栋2809,69.14,74278.00,47.29,108597.61,5135581.00,在售,办公
3栋2808,55.73,69732.00,38.11,101972.29,3886164.00,在售,办公
3栋2807,68.62,75937.00,46.93,111033.39,5210797.00,在售,办公
3栋2806,53.06,71166.00,36.29,104052.57,3776068.00,在售,办公
3栋2805,53.06,71166.00,36.29,104052.57,3776068.00,在售,办公
3栋2804,53.06,71166.00,36.29,104052.57,3776068.00,在售,办公
3栋2803,53.06,71166.00,36.29,104052.57,3776068.00,在售,办公
3栋2802,53.06,71166.00,36.29,104052.57,3776068.00,在售,办公
3栋2801,68.43,76248.00,46.80,111488.26,5217651.00,在售,办公
3栋2719,62.44,69772.00,42.70,102027.25,4356564.00,在售,办公
3栋2718,69.14,74473.00,47.29,108882.70,5149063.00,在售,办公
3栋2717,36.59,73280.00,25.02,107166.86,2681315.00,在售,办公
3栋2716,36.59,73280.00,25.02,107166.86,2681315.00,在售,办公
3栋2715,36.59,73280.00,25.02,107166.86,2681315.00,在售,办公
3栋2714,36.58,73280.00,25.02,107137.56,2680582.00,在售,办公
3栋2713,36.59,73280.00,25.02,107166.86,2681315.00,在售,办公
3栋2712,36.59,73280.00,25.02,107166.86,2681315.00,在售,办公
3栋2711,36.59,73280.00,25.02,107166.86,2681315.00,在售,办公
3栋2710,36.59,73280.00,25.02,107166.86,2681315.00,在售,办公
3栋2709,69.14,73903.00,47.29,108049.33,5109653.00,在售,办公
3栋2708,55.73,69357.00,38.11,101423.93,3865266.00,在售,办公
3栋2707,68.62,75562.00,46.93,110485.06,5185064.00,在售,办公
3栋2706,53.06,70791.00,36.29,103504.27,3756170.00,在售,办公
3栋2705,53.06,70791.00,36.29,103504.27,3756170.00,在售,办公
3栋2704,53.06,70791.00,36.29,103504.27,3756170.00,在售,办公
3栋2703,53.06,70791.00,36.29,103504.27,3756170.00,在售,办公
3栋2702,53.06,70791.00,36.29,103504.27,3756170.00,在售,办公
3栋2701,68.43,75873.00,46.80,110939.93,5191989.00,在售,办公
3栋2619,62.44,69397.00,42.70,101478.89,4333149.00,在售,办公
3栋2618,69.14,74098.00,47.29,108334.44,5123136.00,在售,办公
3栋2617,36.59,72905.00,25.02,106618.46,2667594.00,在售,办公
3栋2616,36.59,72905.00,25.02,106618.46,2667594.00,在售,办公
3栋2615,36.59,72905.00,25.02,106618.46,2667594.00,在售,办公
3栋2614,36.58,72905.00,25.02,106589.32,2666865.00,在售,办公
3栋2613,36.59,72905.00,25.02,106618.46,2667594.00,在售,办公
3栋2612,36.59,72905.00,25.02,106618.46,2667594.00,在售,办公
