房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
C座2905,87.99,35219.85,67.86,45667.47,3098995.15,在售,在售
C座2805,87.89,35174.14,67.79,45603.41,3091455.40,在售,在售
C座2705,87.89,35128.42,67.79,45544.14,3087437.63,在售,在售
C座2605,87.89,35082.71,67.79,45484.87,3083419.87,在售,在售
C座2505,87.89,35037.00,67.79,45425.61,3079402.10,在售,在售
C座2405,87.89,34991.28,67.79,45366.34,3075384.34,在售,在售
C座2305,87.89,34945.57,67.79,45307.07,3071366.57,在售,在售
C座2205,87.89,34899.86,67.79,45247.80,3067348.81,在售,在售
C座2105,87.89,34854.14,67.79,45188.53,3063331.04,在售,在售
C座2005,87.89,34808.43,67.79,45129.27,3059313.28,在售,在售
C座1905,87.89,34762.72,67.79,45070.00,3055295.51,在售,在售
C座1805,87.89,34717.00,67.79,45010.73,3051277.75,在售,在售
C座1705,87.89,34671.29,67.79,44951.46,3047259.98,在售,在售
C座1605,87.89,34625.57,67.79,44892.19,3043242.22,在售,在售
C座1505,87.89,34579.86,67.79,44832.93,3039224.45,在售,在售
C座1405,87.89,34077.01,67.79,44180.98,2995029.03,在售,在售
C座1305,87.89,34031.30,67.79,44121.71,2991011.27,在售,在售
C座1205,87.89,33985.59,67.79,44062.45,2986993.50,在售,在售
C座1105,87.89,33939.87,67.79,44003.18,2982975.74,在售,在售
C座1005,87.89,33912.44,67.79,43967.62,2980565.08,在售,在售
C座905,87.89,33885.02,67.79,43932.06,2978154.42,在售,在售
C座805,87.89,33857.59,67.79,43896.50,2975743.76,在售,在售
C座705,87.89,33811.87,67.79,43837.23,2971726.00,在售,在售
C座605,87.89,33802.73,67.79,43825.37,2970922.44,在售,在售
C座2804,87.90,34729.26,67.80,45025.11,3052702.46,在售,在售
C座2704,87.90,34682.78,67.80,44964.85,3048616.88,在售,在售
C座2604,87.90,34636.30,67.80,44904.59,3044531.29,在售,在售
C座2504,87.90,34589.82,67.80,44844.33,3040445.71,在售,在售
C座2404,87.90,34543.34,67.80,44784.07,3036360.13,在售,在售
C座2304,87.90,34496.86,67.80,44723.81,3032274.55,在售,在售
C座2204,87.90,34450.38,67.80,44663.55,3028188.96,在售,在售
C座2104,87.90,34403.90,67.80,44603.29,3024103.38,在售,在售
C座2004,87.90,34357.42,67.80,44543.03,3020017.80,在售,在售
C座1904,87.90,34310.94,67.80,44482.77,3015932.21,在售,在售
C座1804,87.90,34264.46,67.80,44422.51,3011846.63,在售,在售
C座1704,87.90,34217.98,67.80,44362.25,3007761.05,在售,在售
C座1604,87.90,34171.50,67.80,44301.99,3003675.46,在售,在售
C座1504,87.90,34125.02,67.80,44241.73,2999589.88,在售,在售
C座1404,87.90,33613.74,67.80,43578.88,2954648.47,在售,在售
C座1304,87.90,33567.26,67.80,43518.62,2950562.88,在售,在售
C座1204,87.90,33520.78,67.80,43458.36,2946477.30,在售,在售
C座1104,87.90,33474.30,67.80,43398.10,2942391.72,在售,在售
C座1004,87.90,33446.42,67.80,43361.95,2939940.37,在售,在售
C座904,87.90,33418.53,67.80,43325.79,2937489.02,在售,在售
C座804,87.90,33390.64,67.80,43289.64,2935037.67,在售,在售
C座704,87.90,33344.16,67.80,43229.38,2930952.08,在售,在售
C座604,87.90,33334.86,67.80,43217.32,2930134.97,在售,在售
C座2903,86.41,29277.16,66.65,37957.08,2529840.01,在售,在售
C座2803,86.41,29228.74,66.65,37894.31,2525655.99,在售,在售
C座2703,86.41,29180.32,66.65,37831.53,2521471.97,在售,在售
C座2603,86.41,29131.90,66.65,37768.76,2517287.95,在售,在售
C座2503,86.41,29083.48,66.65,37705.98,2513103.93,在售,在售
C座2403,86.41,29035.06,66.65,37643.20,2508919.91,在售,在售
C座2303,86.41,28986.64,66.65,37580.43,2504735.89,在售,在售
C座2203,86.41,28938.22,66.65,37517.65,2500551.87,在售,在售
C座2103,86.41,28889.80,66.65,37454.88,2496367.85,在售,在售
C座2003,86.41,28841.38,66.65,37392.10,2492183.83,在售,在售
C座1903,86.41,28792.96,66.65,37329.32,2487999.81,在售,在售
C座1803,86.41,28744.54,66.65,37266.55,2483815.79,在售,在售
C座1703,86.41,28696.12,66.65,37203.77,2479631.77,在售,在售
C座1603,86.41,28647.70,66.65,37141.00,2475447.75,在售,在售
C座1503,86.41,28599.27,66.65,37078.22,2471263.73,在售,在售
C座1403,86.41,28550.85,66.65,37015.44,2467079.71,在售,在售
C座1303,86.41,28502.43,66.65,36952.67,2462895.69,在售,在售
C座1203,86.41,28454.01,66.65,36889.89,2458711.67,在售,在售
C座1103,86.41,28405.59,66.65,36827.12,2454527.66,在售,在售
C座1003,86.41,28376.54,66.65,36789.45,2452017.24,在售,在售
C座903,86.41,28347.49,66.65,36751.79,2449506.83,在售,在售
C座803,86.41,28318.44,66.65,36714.12,2446996.42,在售,在售
C座703,86.41,28270.01,66.65,36651.34,2442812.40,在售,在售
