房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
B座2912,128.48,53800.00,87.42,79069.14,6912224.00,在售,办公
B座2911,180.75,53800.00,122.98,79072.61,9724350.00,在售,办公
B座2910,133.17,53800.00,90.61,79070.15,7164546.00,在售,办公
B座2909,133.16,53800.00,90.60,79072.94,7164008.00,在售,办公
B座2908,133.03,53800.00,90.52,79065.55,7157014.00,在售,办公
B座2907,200.20,53800.00,136.22,79068.86,10770760.00,在售,办公
B座2906,226.10,53800.00,153.84,79070.33,12164180.00,在售,办公
B座2905,200.17,53800.00,136.19,79074.43,10769146.00,在售,办公
B座2904,133.17,53800.00,90.61,79070.15,7164546.00,在售,办公
B座2903,133.16,53800.00,90.60,79072.94,7164008.00,在售,办公
B座2902,133.03,53800.00,90.52,79065.55,7157014.00,在售,办公
B座2901,180.85,53800.00,123.05,79071.35,9729730.00,在售,办公
B座2812,128.48,53800.00,87.42,79069.14,6912224.00,在售,办公
B座2811,180.75,53800.00,122.98,79072.61,9724350.00,在售,办公
B座2810,133.17,53800.00,90.61,79070.15,7164546.00,在售,办公
B座2809,133.16,53800.00,90.60,79072.94,7164008.00,在售,办公
B座2808,133.03,53800.00,90.52,79065.55,7157014.00,在售,办公
B座2807,200.20,53800.00,136.22,79068.86,10770760.00,在售,办公
B座2806,226.10,53800.00,153.84,79070.33,12164180.00,在售,办公
B座2805,200.17,53800.00,136.19,79074.43,10769146.00,在售,办公
B座2804,133.17,53800.00,90.61,79070.15,7164546.00,在售,办公
B座2803,133.16,53800.00,90.60,79072.94,7164008.00,在售,办公
B座2802,133.03,53800.00,90.52,79065.55,7157014.00,在售,办公
B座2801,180.85,53800.00,123.05,79071.35,9729730.00,在售,办公
B座2712,128.48,53800.00,87.42,79069.14,6912224.00,在售,办公
B座2711,180.75,53800.00,122.98,79072.61,9724350.00,在售,办公
B座2710,133.17,53800.00,90.61,79070.15,7164546.00,在售,办公
B座2709,133.16,53800.00,90.60,79072.94,7164008.00,在售,办公
B座2708,133.03,53800.00,90.52,79065.55,7157014.00,在售,办公
B座2707,200.20,53800.00,136.22,79068.86,10770760.00,在售,办公
B座2706,226.10,53800.00,153.84,79070.33,12164180.00,在售,办公
B座2705,200.17,53800.00,136.19,79074.43,10769146.00,在售,办公
B座2704,133.17,53800.00,90.61,79070.15,7164546.00,在售,办公
B座2703,133.16,53800.00,90.60,79072.94,7164008.00,在售,办公
B座2702,133.03,53800.00,90.52,79065.55,7157014.00,在售,办公
B座2701,180.85,53800.00,123.05,79071.35,9729730.00,在售,办公
B座2612,128.48,53800.00,87.42,79069.14,6912224.00,在售,办公
B座2611,180.75,53800.00,122.98,79072.61,9724350.00,在售,办公
B座2610,133.17,53800.00,90.61,79070.15,7164546.00,在售,办公
B座2609,133.16,53800.00,90.60,79072.94,7164008.00,在售,办公
B座2608,133.03,53800.00,90.52,79065.55,7157014.00,在售,办公
B座2607,200.20,53800.00,136.22,79068.86,10770760.00,在售,办公
B座2606,226.10,53800.00,153.84,79070.33,12164180.00,在售,办公
B座2605,200.17,53800.00,136.19,79074.43,10769146.00,在售,办公
B座2604,133.17,53800.00,90.61,79070.15,7164546.00,在售,办公
B座2603,133.16,53800.00,90.60,79072.94,7164008.00,在售,办公
B座2602,133.03,53800.00,90.52,79065.55,7157014.00,在售,办公
B座2601,180.85,53800.00,123.05,79071.35,9729730.00,在售,办公
B座2512,128.48,53800.00,87.42,79069.14,6912224.00,在售,办公
B座2511,180.75,53800.00,122.98,79072.61,9724350.00,在售,办公
B座2510,133.17,53800.00,90.61,79070.15,7164546.00,在售,办公
B座2509,133.16,53800.00,90.60,79072.94,7164008.00,在售,办公
B座2508,133.03,53800.00,90.52,79065.55,7157014.00,在售,办公
B座2507,200.20,53800.00,136.22,79068.86,10770760.00,在售,办公
B座2506,226.10,53800.00,153.84,79070.33,12164180.00,在售,办公
