房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
1栋2309,147.81,55555.55,87.82,93505.65,8211666.66,在售,办公
1栋2308,152.85,55555.55,90.82,93499.96,8491666.66,在售,办公
1栋2307,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2306,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2305,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2304,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2303,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2302,152.85,55555.55,90.82,93499.96,8491666.66,在售,办公
1栋2301,150.33,55555.55,89.32,93502.76,8351666.66,在售,办公
1栋2209,147.81,55555.55,87.82,93505.65,8211666.66,在售,办公
1栋2208,152.85,55555.55,90.82,93499.96,8491666.66,在售,办公
1栋2207,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2206,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2205,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2204,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2203,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2202,152.85,55555.55,90.82,93499.96,8491666.66,在售,办公
1栋2201,150.33,55555.55,89.32,93502.76,8351666.66,在售,办公
1栋2109,147.81,55555.55,87.82,93505.65,8211666.66,在售,办公
1栋2108,152.85,55555.55,90.82,93499.96,8491666.66,在售,办公
1栋2107,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2106,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2105,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2104,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2103,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2102,152.85,55555.55,90.82,93499.96,8491666.66,在售,办公
1栋2101,150.33,55555.55,89.32,93502.76,8351666.66,在售,办公
1栋2009,147.81,55555.55,87.82,93505.65,8211666.66,在售,办公
1栋2008,152.85,55555.55,90.82,93499.96,8491666.66,在售,办公
1栋2007,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2006,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2005,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2004,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2003,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2002,152.85,55555.55,90.82,93499.96,8491666.66,在售,办公
