房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
10栋29D,87.24,16317.33,65.09,21870.09,1423524.30,在售,住宅
10栋29C,89.17,15844.57,66.54,21233.25,1412860.90,在售,住宅
10栋29B,89.27,15678.69,66.61,21012.41,1399636.70,在售,住宅
10栋29A,88.32,16101.68,65.90,21579.67,1422100.90,在售,住宅
10栋28D,87.24,16311.83,65.09,21862.72,1423044.70,在售,住宅
10栋28C,89.17,15839.07,66.53,21229.07,1412370.30,在售,住宅
10栋28B,89.27,15673.19,66.61,21005.04,1399146.10,在售,住宅
10栋28A,88.32,16096.19,65.90,21572.31,1421615.80,在售,住宅
10栋27D,87.24,16284.33,65.09,21825.86,1420645.60,在售,住宅
10栋27C,89.17,15811.57,66.54,21189.03,1409918.40,在售,住宅
