房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
216,40.51,30212.04,38.64,31674.17,1223890.00,在售,商业
213,34.96,38668.00,32.55,41531.00,1351834.00,在售,商业
212,52.78,49280.00,49.15,52919.00,2600998.00,在售,商业
211,63.45,49280.00,59.09,52916.00,3126816.00,在售,商业
210,47.45,49280.00,44.19,52915.00,2338336.00,在售,商业
209,53.41,48180.00,49.74,51734.00,2573293.00,在售,商业
208,55.52,45650.00,51.70,49022.00,2534488.00,在售,商业
207,58.28,45320.00,54.27,48668.00,2641249.00,在售,商业
171,22.26,89980.00,20.99,95424.00,2002954.00,在售,商业
170,50.08,71921.00,47.23,76261.00,3601807.00,在售,商业
