房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
2号楼B座1919,51.35,60794.54,32.40,96351.85,3121800.00,在售,办公
2号楼B座1918,51.35,60629.01,32.40,96089.50,3113300.00,在售,办公
2号楼B座1917,34.23,59634.82,21.60,94504.62,2041300.00,在售,办公
2号楼B座1916,34.23,59634.82,21.60,94504.62,2041300.00,在售,办公
2号楼B座1915,34.23,59471.22,21.60,94245.37,2035700.00,在售,办公
2号楼B座1914,34.23,59634.82,21.60,94504.62,2041300.00,在售,办公
2号楼B座1913,34.23,59634.82,21.60,94504.62,2041300.00,在售,办公
2号楼B座1912,34.23,59634.82,21.60,94504.62,2041300.00,在售,办公
2号楼B座1911,51.35,61349.56,32.40,97231.48,3150300.00,在售,办公
2号楼B座1910,59.08,46296.54,37.28,73369.09,2735200.00,在售,办公
2号楼B座1909,51.57,64677.13,32.54,102501.53,3335400.00,在售,办公
2号楼B座1908,36.83,60773.82,23.24,96312.39,2238300.00,在售,办公
2号楼B座1907,36.80,61163.04,23.22,96933.67,2250800.00,在售,办公
2号楼B座1906,36.80,62057.06,23.22,98350.55,2283700.00,在售,办公
2号楼B座1905,36.80,61888.58,23.22,98083.54,2277500.00,在售,办公
2号楼B座1904,36.80,62057.06,23.22,98350.55,2283700.00,在售,办公
2号楼B座1903,36.83,62055.38,23.24,98343.37,2285500.00,在售,办公
2号楼B座1902,43.59,64211.97,27.50,101781.81,2799000.00,在售,办公
2号楼B座1901,51.61,64377.05,32.57,102011.05,3322500.00,在售,办公
2号楼B座1819,51.35,60983.44,32.40,96651.23,3131500.00,在售,办公
2号楼B座1818,51.35,60815.96,32.40,96385.80,3122900.00,在售,办公
2号楼B座1817,34.23,59821.79,21.60,94800.92,2047700.00,在售,办公
2号楼B座1816,34.23,59821.79,21.60,94800.92,2047700.00,在售,办公
2号楼B座1815,34.23,59658.19,21.60,94541.66,2042100.00,在售,办公
2号楼B座1814,34.23,59821.79,21.60,94800.92,2047700.00,在售,办公
2号楼B座1813,34.23,59821.79,21.60,94800.92,2047700.00,在售,办公
2号楼B座1812,34.23,59821.79,21.60,94800.92,2047700.00,在售,办公
2号楼B座1811,51.35,61536.51,32.40,97527.77,3159900.00,在售,办公
2号楼B座1810,59.08,46484.42,37.28,73666.84,2746300.00,在售,办公
2号楼B座1809,51.57,64865.23,32.54,102799.63,3345100.00,在售,办公
2号楼B座1808,36.83,60961.17,23.24,96609.29,2245200.00,在售,办公
2号楼B座1807,36.80,61347.82,23.22,97226.52,2257600.00,在售,办公
2号楼B座1806,36.80,62244.56,23.22,98647.71,2290600.00,在售,办公
2号楼B座1805,36.80,62078.80,23.22,98385.01,2284500.00,在售,办公
2号楼B座1804,36.80,62244.56,23.22,98647.71,2290600.00,在售,办公
