房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
2609,99.83,32123.98,75.24,42622.76,3206937.00,在售,住宅
2608,94.40,33702.05,71.15,44715.02,3181474.00,在售,住宅
2607,88.87,33810.27,66.98,44859.94,3004719.00,在售,住宅
2606,88.93,33810.27,67.03,44856.75,3006748.00,在售,住宅
2605,88.93,33810.27,67.03,44856.75,3006748.00,在售,住宅
2603,88.87,33810.27,66.98,44859.94,3004719.00,在售,住宅
2602,94.40,33472.69,71.15,44410.70,3159822.00,在售,住宅
2601,99.83,31912.20,75.24,42341.77,3185795.00,在售,住宅
2509,99.83,32123.98,75.24,42622.76,3206937.00,在售,住宅
2508,94.40,33702.05,71.15,44715.02,3181474.00,在售,住宅
2507,88.87,33810.27,66.98,44859.94,3004719.00,在售,住宅
2506,88.93,33810.27,67.03,44856.75,3006748.00,在售,住宅
2505,88.93,33810.27,67.03,44856.75,3006748.00,在售,住宅
2503,88.87,33810.27,66.98,44859.94,3004719.00,在售,住宅
2502,94.40,33472.69,71.15,44410.70,3159822.00,在售,住宅
