房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
商业328,72.43,100000.00,37.66,192326.07,7243000.00,在售,商铺
商业327,171.43,100000.00,89.15,192293.88,17143000.00,在售,商铺
商业326,62.93,100000.00,32.73,192270.08,6293000.00,在售,商铺
商业325,357.78,100000.00,186.05,192303.14,35778000.00,在售,商铺
商业323,392.15,100000.00,203.92,192305.80,39215000.00,在售,商铺
商业322,178.25,100000.00,92.69,192307.69,17825000.00,在售,商铺
商业310,86.12,100000.00,44.78,192317.99,8612000.00,在售,商铺
商业309,154.17,100000.00,80.17,192303.85,15417000.00,在售,商铺
商业308,112.80,100000.00,58.66,192294.57,11280000.00,在售,商铺
商业307,86.31,100000.00,44.88,192312.83,8631000.00,在售,商铺
商业306,82.08,100000.00,42.68,192314.90,8208000.00,在售,商铺
商业305,144.75,100000.00,75.27,192307.69,14475000.00,在售,商铺
商业303,135.48,100000.00,70.45,192306.60,13548000.00,在售,商铺
商业302,160.77,100000.00,83.60,192308.61,16077000.00,在售,商铺
商业301,193.65,100000.00,100.70,192303.87,19365000.00,在售,商铺
商业237,109.30,120000.00,55.93,234507.41,13116000.00,在售,商铺
商业236,63.96,120000.00,32.73,234500.45,7675200.00,在售,商铺
商业235,343.75,120000.00,175.89,234521.57,41250000.00,在售,商铺
商业227,80.76,120000.00,41.32,234540.17,9691200.00,在售,商铺
商业223,77.60,120000.00,39.70,234559.19,9312000.00,在售,商铺
商业222,87.71,120000.00,44.88,234518.71,10525200.00,在售,商铺
商业220,100.60,120000.00,51.48,234498.83,12072000.00,在售,商铺
商业219,117.37,120000.00,60.05,234544.54,14084400.00,在售,商铺
商业218,103.89,120000.00,53.16,234514.67,12466800.00,在售,商铺
商业217,83.23,120000.00,42.58,234560.82,9987600.00,在售,商铺
商业216,173.72,120000.00,88.88,234545.45,20846400.00,在售,商铺
商业215,89.48,120000.00,45.78,234547.83,10737600.00,在售,商铺
商业209,194.63,120000.00,99.58,234541.07,23355600.00,在售,商铺
商业208,87.72,120000.00,44.88,234545.45,10526400.00,在售,商铺
商业207,83.42,120000.00,42.68,234545.45,10010400.00,在售,商铺
商业206,147.11,120000.00,75.27,234531.68,17653200.00,在售,商铺
商业205,98.49,120000.00,50.39,234546.53,11818800.00,在售,商铺
商业203,123.32,120000.00,63.10,234522.97,14798400.00,在售,商铺
商业202,199.17,120000.00,101.91,234524.58,23900400.00,在售,商铺
商业201,101.27,120000.00,51.82,234511.77,12152400.00,在售,商铺
商业160,79.06,200000.00,44.49,355405.70,15812000.00,在售,商铺
商业159,58.00,200000.00,32.64,355392.15,11600000.00,在售,商铺
商业158,68.09,200000.00,38.32,355375.78,13618000.00,在售,商铺
商业157,96.07,200000.00,54.06,355419.90,19214000.00,在售,商铺
商业156,173.12,200000.00,97.43,355373.08,34624000.00,在售,商铺
商业155,141.84,200000.00,79.82,355399.64,28368000.00,在售,商铺
商业153,89.96,200000.00,50.62,355432.63,17992000.00,在售,商铺
商业152,107.23,200000.00,60.35,355360.39,21446000.00,在售,商铺
商业151,100.56,200000.00,56.59,355398.48,20112000.00,在售,商铺
商业150,104.49,200000.00,58.80,355408.16,20898000.00,在售,商铺
商业149,51.16,200000.00,28.79,355401.18,10232000.00,在售,商铺
商业148,140.10,200000.00,78.84,355403.34,28020000.00,在售,商铺
商业147,62.62,200000.00,35.24,355391.60,12524000.00,在售,商铺
商业146,107.19,200000.00,60.32,355404.50,21438000.00,在售,商铺
商业145,158.11,200000.00,88.98,355383.23,31622000.00,在售,商铺
商业138,115.18,200000.00,64.82,355384.14,23036000.00,在售,商铺
商业137,53.45,200000.00,30.08,355385.63,10690000.00,在售,商铺
商业136,100.50,200000.00,56.56,355374.82,20100000.00,在售,商铺
商业135,68.39,200000.00,38.49,355365.02,13678000.00,在售,商铺
商业133,63.60,200000.00,35.79,355406.53,12720000.00,在售,商铺
商业132,67.04,200000.00,37.73,355367.08,13408000.00,在售,商铺
商业131,58.15,200000.00,32.73,355331.50,11630000.00,在售,商铺
商业130,86.98,200000.00,48.95,355383.04,17396000.00,在售,商铺
商业129,98.48,200000.00,55.42,355395.16,19696000.00,在售,商铺
商业128,54.96,200000.00,30.93,355383.12,10992000.00,在售,商铺
商业127,59.66,200000.00,33.57,355436.40,11932000.00,在售,商铺
商业126,295.82,146664.86,156.40,277406.64,43386400.00,在售,商铺
商业125,406.91,149282.15,215.80,281484.70,60744400.00,在售,商铺
商业123,91.48,200000.00,51.48,355400.15,18296000.00,在售,商铺
商业122,77.56,200000.00,43.65,355372.27,15512000.00,在售,商铺
商业121,445.48,149961.38,236.46,282520.51,66804800.00,在售,商铺
商业120,64.60,200000.00,36.36,355335.53,12920000.00,在售,商铺
商业115,85.03,200000.00,47.85,355402.29,17006000.00,在售,商铺
商业113,359.08,152327.05,191.13,286180.08,54697600.00,在售,商铺
商业112,230.99,158429.36,123.86,295459.38,36595600.00,在售,商铺
商业111,296.87,152833.22,158.12,286944.09,45371600.00,在售,商铺
商业110,179.25,148987.44,95.04,280997.47,26706000.00,在售,商铺
商业109,105.07,200000.00,59.13,355386.43,21014000.00,在售,商铺
商业108,113.81,200000.00,64.05,355378.61,22762000.00,在售,商铺
商业107,167.57,200000.00,94.30,355397.66,33514000.00,在售,商铺
