房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
2-30,87.78,78315.00,65.63,104747.00,6874482.00,在售,商业
2-29,157.29,83272.00,117.60,111376.00,13097779.00,在售,商业
2-28,94.04,82281.00,70.31,110051.00,7737631.00,在售,商业
2-27,91.66,82281.00,68.53,110052.00,7541803.00,在售,商业
2-26,111.55,86246.00,83.40,115356.00,9620687.00,在售,商业
2-18,65.75,105081.00,49.16,140543.00,6909059.00,在售,商业
2-17,172.15,100125.00,128.71,133917.00,17236364.00,在售,商业
2-13,185.68,107064.00,138.83,143194.00,19879532.00,在售,商业
2-12,96.39,118960.00,72.07,159103.00,11466490.00,在售,商业
2-11,96.58,112021.00,72.21,149826.00,10818895.00,在售,商业
