房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
A2区商业105,206.59,120000.00,112.51,220343.08,24790800.00,在售,商业
A2区商业102,124.74,120000.00,67.93,220356.24,14968800.00,在售,商业
A2区商业099,217.09,120000.00,118.23,220340.01,26050800.00,在售,商业
A2区商业098,173.52,120000.00,94.49,220366.17,20822400.00,在售,商业
A2区商业097,107.42,120000.00,58.50,220348.71,12890400.00,在售,商业
A2区商业096,83.41,120000.00,45.42,220369.88,10009200.00,在售,商业
A2区商业095,107.43,120000.00,58.50,220369.23,12891600.00,在售,商业
A2区商业093,89.38,120000.00,48.68,220328.67,10725600.00,在售,商业
A2区商业092,107.15,120000.00,58.35,220359.89,12858000.00,在售,商业
A2区商业091,89.26,120000.00,48.61,220349.72,10711200.00,在售,商业
A2区商业090,106.14,120000.00,57.80,220359.86,12736800.00,在售,商业
A2区商业089,88.11,120000.00,47.98,220366.81,10573200.00,在售,商业
A2区商业088,130.72,120000.00,71.19,220345.55,15686400.00,在售,商业
A2区商业087,115.13,120000.00,62.70,220344.49,13815600.00,在售,商业
A2区商业086,122.95,120000.00,66.96,220340.50,14754000.00,在售,商业
A2区商业085,118.95,120000.00,64.78,220345.78,14274000.00,在售,商业
A2区商业083,89.53,120000.00,48.75,220381.53,10743600.00,在售,商业
A2区商业082,94.74,120000.00,51.59,220368.28,11368800.00,在售,商业
A2区商业081,68.07,120000.00,37.07,220350.68,8168400.00,在售,商业
A2区商业080,72.23,120000.00,39.34,220325.36,8667600.00,在售,商业
A2区商业079,63.42,120000.00,34.54,220335.84,7610400.00,在售,商业
A2区商业078,61.98,120000.00,33.75,220373.33,7437600.00,在售,商业
A2区商业077,111.36,120000.00,60.64,220369.39,13363200.00,在售,商业
A2区商业076,97.91,120000.00,53.32,220352.58,11749200.00,在售,商业
A2区商业075,24.79,120000.00,13.50,220355.55,2974800.00,在售,商业
A2区商业073,28.68,120000.00,15.62,220332.90,3441600.00,在售,商业
A2区商业072,97.17,120000.00,52.92,220340.13,11660400.00,在售,商业
A2区商业071,459.63,120000.00,250.31,220349.16,55155600.00,在售,商业
A2区商业070,213.02,120000.00,116.01,220346.52,25562400.00,在售,商业
A2区商业069,96.95,120000.00,52.80,220340.90,11634000.00,在售,商业
A2区商业068,126.75,120000.00,69.03,220338.98,15210000.00,在售,商业
A2区商业066,204.36,120000.00,111.29,220354.03,24523200.00,在售,商业
A2区商业065,23.88,120000.00,13.00,220430.76,2865600.00,在售,商业
A2区商业061,125.32,120000.00,68.25,220342.85,15038400.00,在售,商业
A2区商业059,20.07,120000.00,10.93,220347.66,2408400.00,在售,商业
A2区商业058,29.07,120000.00,15.83,220366.39,3488400.00,在售,商业
A2区商业057,379.91,120000.00,206.89,220354.77,45589200.00,在售,商业
A2区商业056,218.45,120000.00,118.97,220341.26,26214000.00,在售,商业
A2区商业055,101.95,120000.00,55.52,220353.02,12234000.00,在售,商业
A2区商业053,55.58,120000.00,30.27,220336.96,6669600.00,在售,商业
A2区商业052,79.41,120000.00,43.24,220379.27,9529200.00,在售,商业
A2区商业050,125.68,120000.00,68.44,220362.36,15081600.00,在售,商业
A2区商业048,105.73,120000.00,57.58,220347.34,12687600.00,在售,商业
A2区商业047,160.60,120000.00,87.46,220352.16,19272000.00,在售,商业
A2区商业073,49.70,200000.00,40.54,245189.93,9940000.00,在售,商业
A2区商业070,52.63,200000.00,42.93,245189.84,10526000.00,在售,商业
A2区商业069,181.40,200000.00,147.99,245151.69,36280000.00,在售,商业
A2区商业068,198.88,200000.00,162.24,245167.65,39776000.00,在售,商业
A2区商业067,186.90,142043.87,115.76,229336.55,26548000.00,在售,商业
A2区商业066,36.15,200000.00,29.49,245167.85,7230000.00,在售,商业
A2区商业065,36.50,200000.00,29.77,245213.30,7300000.00,在售,商业
A2区商业063,191.96,140754.32,118.04,228898.67,27019200.00,在售,商业
A2区商业061,64.71,200000.00,52.79,245160.06,12942000.00,在售,商业
A2区商业060,65.67,200000.00,53.57,245174.53,13134000.00,在售,商业
A2区商业059,172.02,200000.00,140.33,245164.96,34404000.00,在售,商业
A2区商业058,67.95,200000.00,55.43,245174.09,13590000.00,在售,商业
A2区商业057,68.38,200000.00,55.79,245133.53,13676000.00,在售,商业
A2区商业056,70.84,200000.00,57.79,245163.52,14168000.00,在售,商业
A2区商业055,28.43,200000.00,23.19,245191.89,5686000.00,在售,商业
A2区商业053,16.51,200000.00,13.47,245137.34,3302000.00,在售,商业
A2区商业052,57.22,200000.00,46.68,245158.52,11444000.00,在售,商业
A2区商业051,367.94,152568.35,241.00,232929.46,56136000.00,在售,商业
A2区商业050,18.60,200000.00,15.17,245220.83,3720000.00,在售,商业
A2区商业049,648.20,132071.58,379.53,225565.30,85608800.00,在售,商业
A2区商业048,155.50,200000.00,119.86,259469.38,31100000.00,在售,商业
A2区商业047,136.06,200000.00,104.87,259483.16,27212000.00,在售,商业
A2区商业046,163.96,200000.00,127.79,256608.49,32792000.00,在售,商业
A2区商业045,161.13,200000.00,125.58,256617.29,32226000.00,在售,商业
A2区商业043,23.27,200000.00,18.98,245205.47,4654000.00,在售,商业
A2区商业042,33.11,200000.00,27.01,245168.45,6622000.00,在售,商业
A2区商业041,71.59,200000.00,58.40,245171.23,14318000.00,在售,商业
A2区G座2610,48.12,44408.09,32.56,65630.14,2136917.41,在售,商务公寓
A2区G座2609,65.13,45108.09,44.07,66664.17,2937890.07,在售,商务公寓
A2区G座2608,65.13,38310.80,44.07,56618.00,2495182.00,在售,商务公寓
A2区G座2607,48.12,38142.80,32.55,56388.00,1835431.00,在售,商务公寓
A2区G座2606,48.23,38058.80,32.63,56254.00,1835575.00,在售,商务公寓
A2区G座2605,65.20,39570.80,44.11,58490.00,2580016.00,在售,商务公寓
A2区G座2603,48.55,38982.80,32.85,57613.00,1892614.00,在售,商务公寓
A2区G座2602,51.97,38730.80,35.16,57247.00,2012839.00,在售,商务公寓
A2区G座2601,51.97,44108.09,35.16,65196.17,2292297.57,在售,商务公寓
A2区G座2510,48.12,44358.09,32.56,65556.24,2134511.41,在售,商务公寓
A2区G座2509,65.13,45058.09,44.07,66590.27,2934633.57,在售,商务公寓
A2区G座2508,65.13,38268.80,44.07,56556.00,2492446.00,在售,商务公寓
A2区G座2507,48.12,38100.80,32.55,56325.00,1833410.00,在售,商务公寓
A2区G座2506,48.23,38016.80,32.63,56192.00,1833550.00,在售,商务公寓
A2区G座2505,65.20,39528.80,44.11,58428.00,2577277.00,在售,商务公寓
A2区G座2503,48.55,38940.80,32.85,57551.00,1890575.00,在售,商务公寓
A2区G座2502,51.97,38688.80,35.16,57185.00,2010656.00,在售,商务公寓
A2区G座2501,51.97,44058.09,35.16,65122.27,2289699.07,在售,商务公寓
A2区G座2410,48.12,44308.09,32.56,65482.35,2132105.41,在售,商务公寓
A2区G座2409,65.13,45008.09,44.07,66516.38,2931377.07,在售,商务公寓
A2区G座2408,65.13,38226.80,44.07,56494.00,2489711.00,在售,商务公寓
A2区G座2407,48.12,38058.80,32.55,56263.00,1831389.00,在售,商务公寓
A2区G座2406,48.23,37974.80,32.63,56130.00,1831524.00,在售,商务公寓
A2区G座2405,65.20,39486.80,44.11,58366.00,2574539.00,在售,商务公寓
A2区G座2403,48.55,38898.80,32.85,57489.00,1888536.00,在售,商务公寓
A2区G座2402,51.97,38646.80,35.16,57123.00,2008474.00,在售,商务公寓
A2区G座2401,51.97,44008.09,35.16,65048.36,2287100.57,在售,商务公寓
A2区G座2310,48.12,44258.09,32.56,65408.45,2129699.41,在售,商务公寓
A2区G座2309,65.13,44958.09,44.07,66442.49,2928120.57,在售,商务公寓
A2区G座2308,65.13,38184.80,44.07,56432.00,2486976.00,在售,商务公寓
A2区G座2307,48.12,38016.80,32.55,56201.00,1829368.00,在售,商务公寓
A2区G座2306,48.23,37932.80,32.63,56068.00,1829498.00,在售,商务公寓
A2区G座2305,65.20,39444.80,44.11,58304.00,2571800.00,在售,商务公寓
A2区G座2303,48.55,38856.80,32.85,57427.00,1886497.00,在售,商务公寓
A2区G座2302,51.97,38604.80,35.16,57061.00,2006291.00,在售,商务公寓
A2区G座2301,51.97,43958.09,35.16,64974.46,2284502.07,在售,商务公寓
A2区G座2210,48.12,44208.09,32.56,65334.56,2127293.41,在售,商务公寓
A2区G座2209,65.13,44908.09,44.07,66368.59,2924864.07,在售,商务公寓
A2区G座2208,65.13,38142.80,44.07,56370.00,2484240.00,在售,商务公寓
A2区G座2207,48.12,37974.80,32.55,56139.00,1827347.00,在售,商务公寓
